round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 487.017804145813
1, 0, 0.1, 0, 962.1549866199493
2, 0, 0.1067, 0, 1454.2075729370117
3, 0, 0.1, 0, 1944.0152232646942
4, 0, 0.1, 0, 2419.613233566284
5, 0, 0.1, 0, 2905.1487386226654
6, 0, 0.1, 0, 3359.7445697784424
7, 0, 0.1, 0, 3827.703795671463
8, 0, 0.1085, 0, 4283.201844930649
9, 0, 0.1192, 0, 4745.006271839142
10, 0, 0.1622, 0, 5209.834080219269
11, 0, 0.1628, 0, 5667.686064004898
12, 0, 0.1726, 0, 6135.421890497208
13, 0, 0.1556, 0, 6590.209570169449
14, 0, 0.1463, 0, 7047.906749725342
15, 0, 0.1347, 0, 7514.398247003555
16, 0, 0.1273, 0, 7967.799273252487
17, 0, 0.1438, 0, 8419.227999210358
18, 0, 0.1498, 0, 8875.280727624893
19, 0, 0.1629, 0, 9333.415894031525
20, 0, 0.1704, 0, 9674.758003473282
21, 0, 0.1678, 0, 9957.967602014542
22, 0, 0.1809, 0, 10272.621643304825
23, 0, 0.1966, 0, 10586.770734071732
24, 0, 0.1919, 0, 10898.669871807098
25, 0, 0.2039, 0, 11212.47780418396
26, 0, 0.2103, 0, 11525.193119049072
27, 0, 0.2102, 0, 11836.889634370804
28, 0, 0.2095, 0, 12142.922525882721
29, 0, 0.215, 0, 12448.305897951126
30, 0, 0.2206, 0, 12757.595333576202
31, 0, 0.2243, 0, 13058.768546581268
32, 0, 0.2231, 0, 13366.648683309555
33, 0, 0.2391, 0, 13678.477920293808
34, 0, 0.2439, 0, 13994.30702495575
35, 0, 0.234, 0, 14304.022047519684
36, 0, 0.2494, 0, 14612.318081140518
37, 0, 0.2499, 0, 14923.185033798218
38, 0, 0.2398, 0, 15222.419984579086
39, 0, 0.2522, 0, 15516.292553663254
40, 0, 0.257, 0, 15801.446408987045
41, 0, 0.2635, 0, 16081.991122961044
42, 0, 0.2681, 0, 16363.416755914688
43, 0, 0.2638, 0, 16645.61314344406
44, 0, 0.2754, 0, 16912.641646146774
45, 0, 0.2795, 0, 17164.947033643723
46, 0, 0.2862, 0, 17395.8460354805
47, 0, 0.2931, 0, 17626.28018283844
48, 0, 0.3001, 0, 17856.406012535095
49, 0, 0.2963, 0, 18085.02436184883
50, 0, 0.2983, 0, 18314.157893896103
51, 0, 0.3037, 0, 18543.937539577484
52, 0, 0.3065, 0, 18774.667959451675
53, 0, 0.3017, 0, 19006.009858608246
54, 0, 0.3085, 0, 19236.02840065956
55, 0, 0.3098, 0, 19469.849363088608
56, 0, 0.3142, 0, 19700.741646051407
57, 0, 0.3178, 0, 19932.157885074615
58, 0, 0.3233, 0, 20165.283654928207
59, 0, 0.3264, 0, 20398.956574440002
60, 0, 0.3376, 0, 20629.81328201294
61, 0, 0.3396, 0, 20863.088557720184
62, 0, 0.3387, 0, 21093.87725496292
63, 0, 0.3437, 0, 21329.997648477554
64, 0, 0.3421, 0, 21564.319904088974
65, 0, 0.3468, 0, 21803.583376169205
66, 0, 0.3523, 0, 22046.99524974823
67, 0, 0.3601, 0, 22289.60985636711
68, 0, 0.3562, 0, 22530.643278598785
69, 0, 0.3623, 0, 22798.616459608078
70, 0, 0.3612, 0, 23086.032722473145
71, 0, 0.3664, 0, 23373.224853754044
72, 0, 0.3742, 0, 23658.840472459793
73, 0, 0.3738, 0, 23945.901030778885
74, 0, 0.3782, 0, 24245.74272918701
75, 0, 0.3763, 0, 24544.375789642334
76, 0, 0.38, 0, 24840.32775068283
77, 0, 0.3805, 0, 25135.1024582386
78, 0, 0.3899, 0, 25433.609250068665
79, 0, 0.3883, 0, 25731.605781555176
80, 0, 0.3893, 0, 26028.944291353226
81, 0, 0.3894, 0, 26326.7103638649
82, 0, 0.3902, 0, 26626.376011133194
83, 0, 0.3926, 0, 26924.143075704575
84, 0, 0.396, 0, 27221.386271953583
85, 0, 0.3984, 0, 27518.38325071335
86, 0, 0.4055, 0, 27815.210823059082
87, 0, 0.4021, 0, 28114.748396635056
88, 0, 0.4044, 0, 28413.200821638107
89, 0, 0.4032, 0, 28710.318922281265
90, 0, 0.408, 0, 29008.10591673851
91, 0, 0.4089, 0, 29306.64531135559
92, 0, 0.4031, 0, 29604.243408679962
93, 0, 0.4086, 0, 29903.597761631012
94, 0, 0.4139, 0, 30201.881977319717
95, 0, 0.4125, 0, 30499.075325250626
96, 0, 0.4146, 0, 30797.725138425827
97, 0, 0.4142, 0, 31094.805504322052
98, 0, 0.4153, 0, 31392.518510580063
99, 0, 0.4172, 0, 31691.249138355255
100, 0, 0.4178, 0, 31990.11513543129
101, 0, 0.4189, 0, 32278.83084845543
102, 0, 0.4198, 0, 32576.248487472534
103, 0, 0.4204, 0, 32873.95908308029
104, 0, 0.4229, 0, 33172.50987935066
105, 0, 0.4236, 0, 33471.290199518204
106, 0, 0.428, 0, 33768.70351290703
107, 0, 0.4242, 0, 34067.91789674759
108, 0, 0.4256, 0, 34365.15750026703
109, 0, 0.4303, 0, 34662.831139326096
110, 0, 0.4297, 0, 34960.04857635498
111, 0, 0.4304, 0, 35257.49348902702
112, 0, 0.4298, 0, 35556.230529785156
113, 0, 0.4332, 0, 35856.04890656471
114, 0, 0.434, 0, 36155.835361003876
115, 0, 0.4382, 0, 36453.85126423836
116, 0, 0.4365, 0, 36752.4369828701
117, 0, 0.4388, 0, 37050.998056173325
118, 0, 0.4398, 0, 37350.353642463684
119, 0, 0.4402, 0, 37648.32913470268
120, 0, 0.4393, 0, 37945.61575245857
121, 0, 0.443, 0, 38244.34822559357
122, 0, 0.4406, 0, 38542.297736406326
123, 0, 0.4418, 0, 38839.68128180504
124, 0, 0.4427, 0, 39138.54923081398
125, 0, 0.446, 0, 39436.62019133568
126, 0, 0.4461, 0, 39733.789360523224
127, 0, 0.4479, 0, 40030.91315674782
128, 0, 0.4473, 0, 40327.9874150753
129, 0, 0.4492, 0, 40627.24451971054
130, 0, 0.4465, 0, 40927.14976811409
131, 0, 0.4508, 0, 41224.742173194885
132, 0, 0.4485, 0, 41522.7098736763
133, 0, 0.451, 0, 41821.21721148491
134, 0, 0.4529, 0, 42120.548567056656
135, 0, 0.4518, 0, 42419.03252315521
136, 0, 0.4524, 0, 42698.37560129166
137, 0, 0.4517, 0, 42970.571069955826
138, 0, 0.4523, 0, 43243.135615587234
139, 0, 0.4571, 0, 43516.34534859657
140, 0, 0.453, 0, 43788.846364974976
141, 0, 0.454, 0, 44062.16057395935
142, 0, 0.4554, 0, 44334.995765686035
143, 0, 0.4532, 0, 44608.45608377457
144, 0, 0.4572, 0, 44882.434727191925
145, 0, 0.4574, 0, 45155.06827163696
146, 0, 0.4567, 0, 45428.48911166191
147, 0, 0.4578, 0, 45700.37836122513
148, 0, 0.4573, 0, 45973.70001959801
149, 0, 0.4608, 0, 46246.89413523674
150, 0, 0.4613, 0, 46519.85869693756
151, 0, 0.4626, 0, 46790.89783334732
152, 0, 0.4619, 0, 47064.85766553879
153, 0, 0.462, 0, 47337.80199885368
154, 0, 0.462, 0, 47611.40367650986
155, 0, 0.4651, 0, 47882.41220211983
156, 0, 0.4623, 0, 48155.29206895828
157, 0, 0.4643, 0, 48428.62201166153
158, 0, 0.4677, 0, 48701.27803564072
159, 0, 0.4673, 0, 48974.522408008575
160, 0, 0.4683, 0, 49246.74645900726
161, 0, 0.4668, 0, 49520.73911643028
162, 0, 0.4678, 0, 49819.73449468613
163, 0, 0.4645, 0, 50202.0968003273
164, 0, 0.4669, 0, 50590.4387114048
165, 0, 0.4674, 0, 50924.89859700203
166, 0, 0.4679, 0, 51230.25554680824
167, 0, 0.4708, 0, 51541.68857860565
168, 0, 0.4706, 0, 51842.81713604927
169, 0, 0.4719, 0, 52144.67867875099
170, 0, 0.4706, 0, 52467.643743276596
171, 0, 0.4721, 0, 52760.463895082474
172, 0, 0.4714, 0, 53080.654525756836
173, 0, 0.4715, 0, 53376.57563781738
174, 0, 0.4725, 0, 53664.880432128906
175, 0, 0.4696, 0, 53996.745754003525
176, 0, 0.4724, 0, 54296.93710422516
177, 0, 0.4746, 0, 54598.057510614395
178, 0, 0.4726, 0, 54914.806721925735
179, 0, 0.4736, 0, 55215.23141670227
180, 0, 0.4719, 0, 55521.36135625839
181, 0, 0.4735, 0, 55832.11302304268
182, 0, 0.4757, 0, 56140.19970488548
183, 0, 0.4757, 0, 56453.41060709953
184, 0, 0.4759, 0, 56718.45387220383
185, 0, 0.4745, 0, 57028.90335536003
186, 0, 0.4754, 0, 57375.221269369125
187, 0, 0.4768, 0, 57735.47097301483
188, 0, 0.4764, 0, 58055.38107728958
189, 0, 0.4763, 0, 58424.01174259186
190, 0, 0.4779, 0, 58774.40423536301
191, 0, 0.4789, 0, 59125.030262470245
192, 0, 0.4761, 0, 59481.8701877594
193, 0, 0.4774, 0, 59807.22614240646
194, 0, 0.477, 0, 60182.52691221237
195, 0, 0.4763, 0, 60544.27946090698
196, 0, 0.4789, 0, 60888.48717498779
197, 0, 0.4764, 0, 61264.51929688454
198, 0, 0.4758, 0, 61659.24799180031
199, 0, 0.478, 0, 62023.8685400486
