round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 454.4627764225006
1, 0, 0.1, 0, 1002.4725017547607
2, 0, 0.1, 0, 1551.1300828456879
3, 0, 0.1, 0, 2097.0447885990143
4, 0, 0.1, 0, 2647.7526149749756
5, 0, 0.1, 0, 3201.888683319092
6, 0, 0.1, 0, 3751.8306860923767
7, 0, 0.1, 0, 4302.3714962005615
8, 0, 0.1, 0, 4853.286475658417
9, 0, 0.1, 0, 5406.096133232117
10, 0, 0.1, 0, 5960.022591114044
11, 0, 0.1, 0, 6506.44077706337
12, 0, 0.1, 0, 7002.921853542328
13, 0, 0.1, 0, 7435.509759902954
14, 0, 0.1, 0, 7931.988571882248
15, 0, 0.1, 0, 8471.553833246231
16, 0, 0.1, 0, 9019.403575181961
17, 0, 0.1, 0, 9562.188478469849
18, 0, 0.1, 0, 10104.209373235703
19, 0, 0.1, 0, 10645.44988822937
20, 0, 0.1, 0, 11186.664306402206
21, 0, 0.1, 0, 11724.512367725372
22, 0, 0.1, 0, 12249.641289949417
23, 0, 0.1, 0, 12777.588521957397
24, 0, 0.1, 0, 13301.647007703781
25, 0, 0.1, 0, 13830.701410531998
26, 0, 0.1, 0, 14367.814881563187
27, 0, 0.1, 0, 14888.00824046135
28, 0, 0.1, 0, 15444.669137954712
29, 0, 0.1, 0, 16010.474392652512
30, 0, 0.1, 0, 16572.496883153915
31, 0, 0.1, 0, 17152.72643852234
32, 0, 0.1, 0, 17752.942403554916
33, 0, 0.1, 0, 18355.98375892639
34, 0, 0.1, 0, 18955.518504858017
35, 0, 0.1, 0, 19554.92569422722
36, 0, 0.1, 0, 20150.360693216324
37, 0, 0.1, 0, 20743.50700545311
38, 0, 0.1, 0, 21326.069251298904
39, 0, 0.1, 0, 21906.497903347015
40, 0, 0.1, 0, 22488.80027294159
41, 0, 0.1, 0, 23068.114396333694
42, 0, 0.1, 0, 23645.709311246872
43, 0, 0.1, 0, 24212.871476888657
44, 0, 0.1, 0, 24855.958488225937
45, 0, 0.1, 0, 25508.63889503479
46, 0, 0.1, 0, 26164.596159219742
47, 0, 0.1, 0, 26809.368540763855
48, 0, 0.1, 0, 27452.547287464142
49, 0, 0.1, 0, 28098.432520627975
50, 0, 0.1, 0, 28730.987418174744
51, 0, 0.1, 0, 29351.20491528511
52, 0, 0.1, 0, 29882.85284948349
53, 0, 0.1, 0, 30378.175670862198
54, 0, 0.1, 0, 30877.88471007347
55, 0, 0.1, 0, 31379.263349056244
56, 0, 0.1, 0, 31864.72301673889
57, 0, 0.1, 0, 32271.553364276886
58, 0, 0.1, 0, 32675.111266851425
59, 0, 0.1, 0, 33084.22549843788
60, 0, 0.1, 0, 33495.45181632042
61, 0, 0.1, 0, 33915.439554452896
62, 0, 0.1, 0, 34343.6443772316
63, 0, 0.1, 0, 34820.76794195175
64, 0, 0.1, 0, 35292.1929731369
65, 0, 0.1, 0, 35772.56602811813
66, 0, 0.1, 0, 36260.942757606506
67, 0, 0.1, 0, 36747.20087194443
68, 0, 0.1, 0, 37235.27410054207
69, 0, 0.1, 0, 37723.53913855553
70, 0, 0.1, 0, 38211.91666841507
71, 0, 0.1, 0, 38700.35545325279
72, 0, 0.1, 0, 39188.78044486046
73, 0, 0.1, 0, 39677.89619231224
74, 0, 0.1, 0, 40166.62580871582
75, 0, 0.1, 0, 40655.165762901306
76, 0, 0.1, 0, 41143.795701265335
77, 0, 0.1, 0, 41632.67868185043
78, 0, 0.1, 0, 42120.399547576904
79, 0, 0.1, 0, 42608.708507061005
80, 0, 0.1, 0, 43096.84299325943
81, 0, 0.1, 0, 43585.82720160484
82, 0, 0.1, 0, 44066.598804712296
83, 0, 0.1, 0, 44554.6425845623
84, 0, 0.1, 0, 45042.7035779953
85, 0, 0.1, 0, 45531.54597854614
86, 0, 0.1, 0, 46019.16293859482
87, 0, 0.1, 0, 46506.90906667709
88, 0, 0.1, 0, 46995.83140659332
89, 0, 0.1, 0, 47485.04677653313
90, 0, 0.1, 0, 47973.48661470413
91, 0, 0.1, 0, 48462.51466202736
92, 0, 0.1, 0, 48951.52255630493
93, 0, 0.1, 0, 49439.210235357285
94, 0, 0.1, 0, 49927.531685590744
95, 0, 0.1, 0, 50417.00736808777
96, 0, 0.1, 0, 50907.416435956955
97, 0, 0.1, 0, 51398.257866859436
98, 0, 0.1102, 0, 51889.28039216995
99, 0, 0.1106, 0, 52379.68739056587
100, 0, 0.111, 0, 52870.65816736221
101, 0, 0.1237, 0, 53362.33924531937
102, 0, 0.1245, 0, 53864.308495521545
103, 0, 0.127, 0, 54368.404878139496
104, 0, 0.1246, 0, 54872.45617842674
105, 0, 0.1305, 0, 55376.011591911316
106, 0, 0.1347, 0, 55879.16233468056
107, 0, 0.1344, 0, 56381.811378240585
108, 0, 0.1389, 0, 56884.768460035324
109, 0, 0.1336, 0, 57387.94489526749
110, 0, 0.1493, 0, 57892.360219955444
111, 0, 0.1496, 0, 58396.29623222351
112, 0, 0.1686, 0, 58899.224220991135
113, 0, 0.1632, 0, 59402.753048181534
114, 0, 0.1943, 0, 59906.35551261902
115, 0, 0.1971, 0, 60411.02311825752
116, 0, 0.1715, 0, 60914.8974943161
117, 0, 0.1731, 0, 61443.93640875816
118, 0, 0.1997, 0, 62151.82963895798
119, 0, 0.2014, 0, 62934.009664297104
120, 0, 0.1768, 0, 64271.0976793766
121, 0, 0.1733, 0, 65165.5834710598
122, 0, 0.1834, 0, 66052.79126024246
123, 0, 0.186, 0, 66962.71158003807
124, 0, 0.1877, 0, 67890.52285933495
125, 0, 0.1909, 0, 68710.97472476959
126, 0, 0.2233, 0, 69467.69504141808
127, 0, 0.2225, 0, 70278.61425256729
128, 0, 0.2162, 0, 71123.51628756523
129, 0, 0.2274, 0, 71845.0609998703
130, 0, 0.2227, 0, 72495.52931880951
131, 0, 0.2303, 0, 73014.24207091331
132, 0, 0.2353, 0, 73549.89597916603
133, 0, 0.2395, 0, 74082.8341050148
134, 0, 0.2361, 0, 74519.10271501541
135, 0, 0.2481, 0, 74985.5945224762
136, 0, 0.2448, 0, 75456.79619836807
137, 0, 0.2395, 0, 75961.63172101974
138, 0, 0.2527, 0, 76422.49631810188
139, 0, 0.2543, 0, 76913.11639928818
140, 0, 0.2604, 0, 77395.86960959435
141, 0, 0.2643, 0, 77879.87171053886
142, 0, 0.2614, 0, 78362.58669066429
143, 0, 0.264, 0, 78844.17221999168
144, 0, 0.2655, 0, 79325.21217799187
145, 0, 0.2691, 0, 79806.65346074104
146, 0, 0.2683, 0, 80288.28736543655
147, 0, 0.2643, 0, 80769.4700140953
148, 0, 0.2685, 0, 81251.62719011307
