round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1023, 0, 3487.780740261078
1, 0, 0.1, 0, 7005.003007650375
2, 0, 0.1, 0, 10766.678226470947
3, 0, 0.1, 0, 14512.207412719727
4, 0, 0.1317, 0, 18275.50830578804
5, 0, 0.1041, 0, 21992.259048223495
6, 0, 0.1125, 0, 25736.79104423523
7, 0, 0.1021, 0, 29518.9875998497
8, 0, 0.1046, 0, 33360.34422826767
9, 0, 0.1546, 0, 37144.347330093384
10, 0, 0.1383, 0, 40900.9277985096
11, 0, 0.1711, 0, 44508.37273097038
12, 0, 0.1762, 0, 48133.494180202484
13, 0, 0.1364, 0, 51749.40843296051
14, 0, 0.2062, 0, 55351.1199092865
15, 0, 0.1839, 0, 58779.83817267418
16, 0, 0.2359, 0, 62216.68694424629
17, 0, 0.2287, 0, 65613.65489697456
18, 0, 0.2016, 0, 69003.51934933662
19, 0, 0.2063, 0, 72428.49058628082
20, 0, 0.2377, 0, 75846.91388702393
21, 0, 0.2385, 0, 79342.78441905975
22, 0, 0.2517, 0, 82816.62403655052
23, 0, 0.2576, 0, 86312.2635858059
24, 0, 0.2772, 0, 89732.74221611023
25, 0, 0.2753, 0, 92755.85560131073
26, 0, 0.2874, 0, 95797.036257267
27, 0, 0.2882, 0, 98852.4105834961
28, 0, 0.2911, 0, 101948.60578012466
29, 0, 0.2887, 0, 105062.47102046013
30, 0, 0.2938, 0, 108363.56107258797
31, 0, 0.2994, 0, 111795.17655229568
32, 0, 0.2974, 0, 115175.20949172974
33, 0, 0.3011, 0, 118567.2091062069
34, 0, 0.3091, 0, 121918.40281534195
35, 0, 0.3061, 0, 125299.1931579113
36, 0, 0.303, 0, 128607.77157306671
37, 0, 0.3163, 0, 131784.08390140533
38, 0, 0.3192, 0, 134898.1277089119
39, 0, 0.3227, 0, 138263.28004479408
40, 0, 0.3273, 0, 141625.23856163025
41, 0, 0.3273, 0, 145038.81191062927
42, 0, 0.3344, 0, 148406.56495428085
43, 0, 0.3402, 0, 151726.03354525566
44, 0, 0.3387, 0, 155012.01669430733
45, 0, 0.3431, 0, 158372.247071743
46, 0, 0.3486, 0, 161721.60685920715
47, 0, 0.3558, 0, 164995.82160162926
48, 0, 0.3515, 0, 168171.2239742279
49, 0, 0.362, 0, 171342.08044195175
50, 0, 0.3555, 0, 174520.59132742882
51, 0, 0.3604, 0, 177702.6148147583
52, 0, 0.3664, 0, 180897.50716662407
53, 0, 0.3633, 0, 184110.40105581284
54, 0, 0.3688, 0, 187314.40059876442
55, 0, 0.3578, 0, 190488.21450066566
56, 0, 0.3708, 0, 193673.41414308548
57, 0, 0.3731, 0, 196841.76524329185
58, 0, 0.3785, 0, 200034.86596608162
59, 0, 0.3741, 0, 203249.84254479408
60, 0, 0.3759, 0, 206448.90920853615
61, 0, 0.3751, 0, 209683.8262579441
62, 0, 0.383, 0, 212956.6965894699
63, 0, 0.3726, 0, 216212.18779301643
64, 0, 0.3844, 0, 219528.56510186195
65, 0, 0.3848, 0, 223007.25196051598
66, 0, 0.3892, 0, 226493.83717250824
67, 0, 0.3879, 0, 229983.63145184517
68, 0, 0.3873, 0, 233480.5491566658
69, 0, 0.3916, 0, 236979.5837316513
70, 0, 0.3924, 0, 240460.96525478363
71, 0, 0.3911, 0, 243950.50669789314
72, 0, 0.3983, 0, 247451.63366031647
73, 0, 0.3907, 0, 250947.37755727768
74, 0, 0.3945, 0, 254540.07703638077
75, 0, 0.3973, 0, 258134.14226651192
76, 0, 0.3931, 0, 261746.50402474403
77, 0, 0.4018, 0, 265340.6412577629
78, 0, 0.3957, 0, 268916.0291118622
79, 0, 0.4011, 0, 272502.46890378
80, 0, 0.3973, 0, 276119.09436655045
81, 0, 0.4058, 0, 279713.15246486664
82, 0, 0.4078, 0, 283339.53634500504
83, 0, 0.414, 0, 286947.6945095062
84, 0, 0.4061, 0, 290573.9322690964
85, 0, 0.4043, 0, 294169.82691025734
86, 0, 0.4098, 0, 297782.66752147675
87, 0, 0.4085, 0, 301385.8132483959
88, 0, 0.4117, 0, 304982.10929203033
89, 0, 0.4049, 0, 308651.37942767143
90, 0, 0.4148, 0, 312214.68751502037
91, 0, 0.4153, 0, 315714.2177467346
92, 0, 0.4174, 0, 319205.43831443787
93, 0, 0.4105, 0, 322707.2491414547
94, 0, 0.4159, 0, 326209.0356025696
95, 0, 0.4191, 0, 329706.15542030334
96, 0, 0.4158, 0, 333203.36556839943
97, 0, 0.4122, 0, 336718.30096673965
98, 0, 0.4157, 0, 340228.66793727875
99, 0, 0.4171, 0, 343720.44205093384
