,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1023,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.1317,0,0
5,5,10,0,0.1041,0,0
6,6,10,0,0.1125,0,0
7,7,10,0,0.1021,0,0
8,8,10,0,0.1046,0,0
9,9,10,0,0.1546,0,0
10,10,10,0,0.1383,0,0
11,11,10,0,0.1711,0,0
12,12,10,0,0.1762,0,0
13,13,10,0,0.1364,0,0
14,14,10,0,0.2062,0,0
15,15,10,0,0.1839,0,0
16,16,10,0,0.2359,0,0
17,17,10,0,0.2287,0,0
18,18,10,0,0.2016,0,0
19,19,10,0,0.2063,0,0
20,20,10,0,0.2377,0,0
21,21,10,0,0.2385,0,0
22,22,10,0,0.2517,0,0
23,23,10,0,0.2576,0,0
24,24,10,0,0.2772,0,0
25,25,10,0,0.2753,0,0
26,26,10,0,0.2874,0,0
27,27,10,0,0.2882,0,0
28,28,10,0,0.2911,0,0
29,29,10,0,0.2887,0,0
30,30,10,0,0.2938,0,0
31,31,10,0,0.2994,0,0
32,32,10,0,0.2974,0,0
33,33,10,0,0.3011,0,0
34,34,10,0,0.3091,0,0
35,35,10,0,0.3061,0,0
36,36,10,0,0.303,0,0
37,37,10,0,0.3163,0,0
38,38,10,0,0.3192,0,0
39,39,10,0,0.3227,0,0
40,40,10,0,0.3273,0,0
41,41,10,0,0.3273,0,0
42,42,10,0,0.3344,0,0
43,43,10,0,0.3402,0,0
44,44,10,0,0.3387,0,0
45,45,10,0,0.3431,0,0
46,46,10,0,0.3486,0,0
47,47,10,0,0.3558,0,0
48,48,10,0,0.3515,0,0
49,49,10,0,0.362,0,0
50,50,10,0,0.3555,0,0
51,51,10,0,0.3604,0,0
52,52,10,0,0.3664,0,0
53,53,10,0,0.3633,0,0
54,54,10,0,0.3688,0,0
55,55,10,0,0.3578,0,0
56,56,10,0,0.3708,0,0
57,57,10,0,0.3731,0,0
58,58,10,0,0.3785,0,0
59,59,10,0,0.3741,0,0
60,60,10,0,0.3759,0,0
61,61,10,0,0.3751,0,0
62,62,10,0,0.383,0,0
63,63,10,0,0.3726,0,0
64,64,10,0,0.3844,0,0
65,65,10,0,0.3848,0,0
66,66,10,0,0.3892,0,0
67,67,10,0,0.3879,0,0
68,68,10,0,0.3873,0,0
69,69,10,0,0.3916,0,0
70,70,10,0,0.3924,0,0
71,71,10,0,0.3911,0,0
72,72,10,0,0.3983,0,0
73,73,10,0,0.3907,0,0
74,74,10,0,0.3945,0,0
75,75,10,0,0.3973,0,0
76,76,10,0,0.3931,0,0
77,77,10,0,0.4018,0,0
78,78,10,0,0.3957,0,0
79,79,10,0,0.4011,0,0
80,80,10,0,0.3973,0,0
81,81,10,0,0.4058,0,0
82,82,10,0,0.4078,0,0
83,83,10,0,0.414,0,0
84,84,10,0,0.4061,0,0
85,85,10,0,0.4043,0,0
86,86,10,0,0.4098,0,0
87,87,10,0,0.4085,0,0
88,88,10,0,0.4117,0,0
89,89,10,0,0.4049,0,0
90,90,10,0,0.4148,0,0
91,91,10,0,0.4153,0,0
92,92,10,0,0.4174,0,0
93,93,10,0,0.4105,0,0
94,94,10,0,0.4159,0,0
95,95,10,0,0.4191,0,0
96,96,10,0,0.4158,0,0
97,97,10,0,0.4122,0,0
98,98,10,0,0.4157,0,0
99,99,10,0,0.4171,0,0
100,100,10,0,0.4125,0,0
101,101,10,0,0.4204,0,0
102,102,10,0,0.4124,0,0
103,103,10,0,0.4179,0,0
104,104,10,0,0.4146,0,0
105,105,10,0,0.4205,0,0
106,106,10,0,0.4205,0,0
107,107,10,0,0.4148,0,0
108,108,10,0,0.4127,0,0
109,109,10,0,0.4128,0,0
110,110,10,0,0.4139,0,0
111,111,10,0,0.4164,0,0
112,112,10,0,0.4248,0,0
113,113,10,0,0.4183,0,0
114,114,10,0,0.4205,0,0
115,115,10,0,0.4167,0,0
116,116,10,0,0.4177,0,0
117,117,10,0,0.4162,0,0
118,118,10,0,0.4221,0,0
119,119,10,0,0.4203,0,0
120,120,10,0,0.4232,0,0
121,121,10,0,0.4213,0,0
122,122,10,0,0.4221,0,0
123,123,10,0,0.423,0,0
124,124,10,0,0.4204,0,0
125,125,10,0,0.4231,0,0
126,126,10,0,0.4192,0,0
127,127,10,0,0.4234,0,0
128,128,10,0,0.4191,0,0
129,129,10,0,0.421,0,0
130,130,10,0,0.4111,0,0
131,131,10,0,0.4206,0,0
132,132,10,0,0.4183,0,0
133,133,10,0,0.4183,0,0
134,134,10,0,0.4166,0,0
135,135,10,0,0.412,0,0
136,136,10,0,0.4129,0,0
137,137,10,0,0.4131,0,0
138,138,10,0,0.4152,0,0
139,139,10,0,0.4177,0,0
140,140,10,0,0.4182,0,0
141,141,10,0,0.418,0,0
142,142,10,0,0.4129,0,0
143,143,10,0,0.4196,0,0
144,144,10,0,0.4158,0,0
145,145,10,0,0.4154,0,0
146,146,10,0,0.4138,0,0
147,147,10,0,0.4117,0,0
148,148,10,0,0.4148,0,0
149,149,10,0,0.4146,0,0
