round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 3460.14190864563
1, 0, 0.1, 0, 7003.117401361465
2, 0, 0.1, 0, 10798.184072256088
3, 0, 0.1, 0, 14571.174954652786
4, 0, 0.1, 0, 18343.977999925613
5, 0, 0.1069, 0, 22085.039553403854
6, 0, 0.1505, 0, 25856.872641324997
7, 0, 0.1002, 0, 29668.47794985771
8, 0, 0.1517, 0, 33533.649712085724
9, 0, 0.1395, 0, 37340.144790410995
10, 0, 0.109, 0, 41117.072814941406
11, 0, 0.112, 0, 44744.881544589996
12, 0, 0.1315, 0, 48388.53455924988
13, 0, 0.1151, 0, 52043.09375786781
14, 0, 0.1395, 0, 55640.179762363434
15, 0, 0.142, 0, 59094.99186015129
16, 0, 0.1292, 0, 62554.094021081924
17, 0, 0.1601, 0, 65972.71957397461
18, 0, 0.1138, 0, 69377.22534799576
19, 0, 0.173, 0, 72807.60039877892
20, 0, 0.1462, 0, 76249.37858176231
21, 0, 0.1556, 0, 79732.0173099041
22, 0, 0.1779, 0, 83229.2477812767
23, 0, 0.1681, 0, 86715.98828911781
24, 0, 0.1691, 0, 90080.29299163818
25, 0, 0.1976, 0, 93120.73031711578
26, 0, 0.1896, 0, 96180.60108828545
27, 0, 0.2102, 0, 99233.75623035431
28, 0, 0.2108, 0, 102325.71160006523
29, 0, 0.2062, 0, 105481.55380630493
30, 0, 0.231, 0, 108825.5578801632
31, 0, 0.2468, 0, 112272.72989320755
32, 0, 0.237, 0, 115670.69430160522
33, 0, 0.2628, 0, 119069.43976449966
34, 0, 0.2671, 0, 122434.80502080917
35, 0, 0.2678, 0, 125806.25822114944
36, 0, 0.2748, 0, 129148.80772638321
37, 0, 0.2697, 0, 132270.0845375061
38, 0, 0.2821, 0, 135449.77734351158
39, 0, 0.2809, 0, 138834.8077378273
40, 0, 0.2869, 0, 142224.67911863327
41, 0, 0.2919, 0, 145645.34512019157
42, 0, 0.3041, 0, 149040.2185432911
43, 0, 0.301, 0, 152348.0698711872
44, 0, 0.3089, 0, 155661.03833389282
45, 0, 0.3055, 0, 159015.19466400146
46, 0, 0.3189, 0, 162400.04127001762
47, 0, 0.3171, 0, 165633.7260313034
48, 0, 0.3198, 0, 168821.7974345684
49, 0, 0.3175, 0, 172009.59919071198
50, 0, 0.3174, 0, 175204.3795530796
51, 0, 0.3195, 0, 178406.56621432304
52, 0, 0.3255, 0, 181627.9513013363
53, 0, 0.3275, 0, 184851.48832273483
54, 0, 0.329, 0, 188065.89209532738
55, 0, 0.3304, 0, 191262.0916135311
56, 0, 0.3333, 0, 194458.06376814842
57, 0, 0.3403, 0, 197643.43460559845
58, 0, 0.3374, 0, 200864.07011461258
59, 0, 0.3427, 0, 204090.2376616001
60, 0, 0.3484, 0, 207308.9743540287
61, 0, 0.3366, 0, 210566.64486670494
62, 0, 0.3501, 0, 213856.02294158936
63, 0, 0.35, 0, 217154.43913125992
64, 0, 0.3503, 0, 220536.71486592293
65, 0, 0.3527, 0, 224035.2523970604
66, 0, 0.3608, 0, 227547.55067324638
67, 0, 0.3622, 0, 231061.0579416752
68, 0, 0.3603, 0, 234574.51617836952
69, 0, 0.3626, 0, 238082.61697268486
70, 0, 0.3655, 0, 241585.45026516914
71, 0, 0.3669, 0, 245089.61596894264
72, 0, 0.3699, 0, 248609.68784999847
73, 0, 0.3726, 0, 252162.8322930336
74, 0, 0.3664, 0, 255778.96269869804
75, 0, 0.3702, 0, 259405.6655626297
76, 0, 0.3769, 0, 263036.55000400543
77, 0, 0.3849, 0, 266652.49184679985
78, 0, 0.3805, 0, 270258.3339176178
79, 0, 0.3837, 0, 273886.1727952957
80, 0, 0.3835, 0, 277524.25299978256
81, 0, 0.3858, 0, 281142.1913022995
82, 0, 0.3851, 0, 284781.1218781471
83, 0, 0.3846, 0, 288427.4152789116
84, 0, 0.3862, 0, 292039.5364730358
85, 0, 0.3865, 0, 295676.05419397354
86, 0, 0.3871, 0, 299278.9089434147
87, 0, 0.3878, 0, 302887.25693297386
88, 0, 0.3904, 0, 306545.7599275112
89, 0, 0.389, 0, 310201.5714507103
90, 0, 0.3896, 0, 313723.376162529
91, 0, 0.3996, 0, 317252.3013961315
92, 0, 0.3949, 0, 320768.88824534416
93, 0, 0.3946, 0, 324301.3799045086
94, 0, 0.3972, 0, 327818.1818740368
95, 0, 0.3966, 0, 331341.584815979
96, 0, 0.401, 0, 334864.08807325363
97, 0, 0.4003, 0, 338391.32622647285
98, 0, 0.404, 0, 341921.9765100479
99, 0, 0.4019, 0, 345423.73633408546
