round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 537.3579630851746
1, 0.10012, 0.0999, 0.0999, 1074.103758573532
2, 0.12306, 0.1262, 0.1262, 1611.778769493103
3, 0.1014, 0.1009, 0.1009, 2160.073933839798
4, 0.1051, 0.1042, 0.1042, 2701.892354249954
5, 0.09996, 0.1, 0.1, 3243.9883105754852
6, 0.10464, 0.0999, 0.0999, 3779.6826524734497
7, 0.12474, 0.1274, 0.1274, 4324.642111778259
8, 0.12474, 0.1307, 0.1307, 4863.707787036896
9, 0.13948, 0.1417, 0.1417, 5398.916462182999
10, 0.12346, 0.1288, 0.1288, 5933.97135925293
11, 0.13702, 0.1364, 0.1364, 6468.685585737228
12, 0.12854, 0.1337, 0.1337, 7002.968560695648
13, 0.13538, 0.1384, 0.1384, 7540.403895378113
14, 0.1351, 0.1399, 0.1399, 8079.853570699692
15, 0.15648, 0.1658, 0.1658, 8623.427537202835
16, 0.16108, 0.1746, 0.1746, 9164.486969709396
17, 0.1755, 0.1889, 0.1889, 9700.542239665985
18, 0.18416, 0.1945, 0.1945, 10239.519907474518
19, 0.21528, 0.2319, 0.2319, 10774.806148290634
20, 0.22248, 0.2385, 0.2385, 11309.173823833466
21, 0.2388, 0.2651, 0.2651, 11844.011709451675
22, 0.24094, 0.2541, 0.2541, 12378.403940677643
23, 0.23778, 0.2543, 0.2543, 12913.673634767532
24, 0.23836, 0.2515, 0.2515, 13447.588601112366
25, 0.23194, 0.2519, 0.2519, 13987.42005944252
26, 0.21964, 0.2281, 0.2281, 14521.289987802505
27, 0.23866, 0.26, 0.26, 15055.571772813797
28, 0.22896, 0.2415, 0.2415, 15590.256954431534
29, 0.23712, 0.2612, 0.2612, 16123.663666009903
30, 0.24812, 0.2705, 0.2705, 16657.11446428299
31, 0.24338, 0.2624, 0.2624, 17191.661554336548
32, 0.23842, 0.2591, 0.2591, 17726.137842416763
33, 0.2462, 0.2701, 0.2701, 18260.617495536804
34, 0.2455, 0.2713, 0.2713, 18795.341084241867
35, 0.25086, 0.275, 0.275, 19330.299176216125
36, 0.26886, 0.3, 0.3, 19864.930398225784
37, 0.2562, 0.285, 0.285, 20399.207538366318
38, 0.27542, 0.3013, 0.3013, 20933.64945268631
39, 0.26502, 0.2928, 0.2928, 21468.285112142563
40, 0.28146, 0.308, 0.308, 22002.548451423645
41, 0.27322, 0.2992, 0.2992, 22536.593695163727
42, 0.27494, 0.2974, 0.2974, 23071.950882911682
43, 0.27, 0.2954, 0.2954, 23606.809829950333
44, 0.27666, 0.3001, 0.3001, 24141.560990810394
45, 0.28282, 0.3089, 0.3089, 24675.046226978302
46, 0.2883, 0.31, 0.31, 25209.191237926483
47, 0.29068, 0.3159, 0.3159, 25743.75171661377
48, 0.27914, 0.303, 0.303, 26277.756272792816
49, 0.30032, 0.3263, 0.3263, 26813.613592863083
50, 0.28972, 0.3149, 0.3149, 27347.795395374298
51, 0.30276, 0.3308, 0.3308, 27889.2046585083
52, 0.28358, 0.3061, 0.3061, 28431.561801195145
53, 0.30458, 0.33, 0.33, 28972.302485466003
54, 0.28966, 0.3177, 0.3177, 29515.281807661057
55, 0.305, 0.3303, 0.3303, 30056.895983934402
56, 0.2831, 0.3082, 0.3082, 30598.636741161346
57, 0.30744, 0.3323, 0.3323, 31141.511788129807
58, 0.2774, 0.2984, 0.2984, 31684.43578004837
59, 0.3137, 0.3419, 0.3419, 32234.437218666077
60, 0.2936, 0.3179, 0.3179, 32796.82966756821
61, 0.3161, 0.3446, 0.3446, 33352.351798295975
62, 0.30144, 0.3281, 0.3281, 33921.9500951767
63, 0.31646, 0.3432, 0.3432, 34466.797433137894
64, 0.29562, 0.3229, 0.3229, 35014.731407642365
65, 0.32116, 0.3486, 0.3486, 35558.24380636215
66, 0.30566, 0.3347, 0.3347, 36099.40659880638
67, 0.32174, 0.3489, 0.3489, 36643.924110889435
68, 0.30634, 0.3389, 0.3389, 37186.605991601944
69, 0.32066, 0.3475, 0.3475, 37730.639075279236
70, 0.3043, 0.3343, 0.3343, 38273.33226299286
71, 0.31678, 0.339, 0.339, 38814.2150247097
72, 0.3008, 0.338, 0.338, 39356.65383672714
73, 0.32298, 0.3472, 0.3472, 39901.15704417229
74, 0.30594, 0.3429, 0.3429, 40445.018146038055
75, 0.32078, 0.3455, 0.3455, 40986.94736003876
76, 0.31498, 0.3466, 0.3466, 41529.54023981094
77, 0.33048, 0.3537, 0.3537, 42070.49886679649
78, 0.31822, 0.3446, 0.3446, 42613.666023015976
79, 0.33168, 0.3549, 0.3549, 43156.94593024254
80, 0.31688, 0.3482, 0.3482, 43697.80837917328
81, 0.3348, 0.3659, 0.3659, 44242.45609641075
82, 0.32536, 0.3566, 0.3566, 44785.84678316116
83, 0.30528, 0.3259, 0.3259, 45325.89670777321
84, 0.30916, 0.3348, 0.3348, 45866.60173726082
85, 0.33564, 0.3627, 0.3627, 46407.8488740921
86, 0.31268, 0.3406, 0.3406, 46948.2966401577
87, 0.32774, 0.3573, 0.3573, 47490.72227072716
88, 0.30412, 0.3326, 0.3326, 48032.33349466324
89, 0.3242, 0.3476, 0.3476, 48572.54557466507
90, 0.29486, 0.3227, 0.3227, 49113.47933483124
91, 0.31936, 0.3415, 0.3415, 49655.02151942253
92, 0.29834, 0.3244, 0.3244, 50198.82959032059
93, 0.32794, 0.3495, 0.3495, 50740.29204463959
94, 0.30576, 0.3321, 0.3321, 51280.13586997986
95, 0.33228, 0.3518, 0.3518, 51820.24328780174
96, 0.3162, 0.346, 0.346, 52363.29734969139
97, 0.32878, 0.3508, 0.3508, 52904.31358098984
98, 0.31742, 0.3485, 0.3485, 53447.58140397072
99, 0.3295, 0.3555, 0.3555, 53989.14992380142
100, 0.31288, 0.3436, 0.3436, 54533.56299638748
101, 0.33456, 0.3588, 0.3588, 55078.8518846035
102, 0.32148, 0.3509, 0.3509, 55624.954058647156
103, 0.33476, 0.3607, 0.3607, 56169.231362104416
104, 0.32384, 0.3513, 0.3513, 56725.18986034393
105, 0.33482, 0.3635, 0.3635, 57280.429581165314
106, 0.32274, 0.3543, 0.3543, 57830.15953230858
107, 0.33308, 0.359, 0.359, 58417.78029489517
108, 0.32, 0.3493, 0.3493, 59013.309838056564
109, 0.33488, 0.3651, 0.3651, 59612.532104730606
110, 0.31692, 0.339, 0.339, 60190.9237101078
111, 0.34282, 0.3704, 0.3704, 60801.8811879158
112, 0.3251, 0.355, 0.355, 61419.61360502243
113, 0.34224, 0.37, 0.37, 62038.53784489632
114, 0.31922, 0.3511, 0.3511, 62655.91627621651
115, 0.34496, 0.3656, 0.3656, 63380.457921504974
116, 0.31374, 0.3392, 0.3392, 64174.795046806335
117, 0.34032, 0.3626, 0.3626, 64976.137139081955
118, 0.31538, 0.3408, 0.3408, 65781.59885644913
119, 0.34102, 0.3649, 0.3649, 66584.53320932388
120, 0.32118, 0.3462, 0.3462, 67376.75653481483
121, 0.34464, 0.3714, 0.3714, 68177.74577379227
122, 0.32266, 0.346, 0.346, 68978.79257392883
123, 0.3443, 0.3704, 0.3704, 69781.60735583305
124, 0.33132, 0.3533, 0.3533, 70581.1783285141
125, 0.33622, 0.3625, 0.3625, 71377.96057987213
126, 0.33334, 0.3573, 0.3573, 72179.02475595474
127, 0.332, 0.3599, 0.3599, 72980.71066856384
128, 0.33318, 0.3614, 0.3614, 73788.09516406059
129, 0.33376, 0.3596, 0.3596, 74590.08184170723
130, 0.33586, 0.3625, 0.3625, 75400.07663965225
131, 0.33226, 0.3607, 0.3607, 76199.03469133377
132, 0.33844, 0.3646, 0.3646, 77000.25807738304
133, 0.33294, 0.3587, 0.3587, 77813.39763450623
134, 0.34442, 0.3746, 0.3746, 78608.84956789017
135, 0.33206, 0.3612, 0.3612, 79424.36949491501
136, 0.34846, 0.3769, 0.3769, 80238.91166114807
137, 0.32528, 0.3544, 0.3544, 81016.13626623154
138, 0.34362, 0.3718, 0.3718, 81782.04247403145
139, 0.3287, 0.3528, 0.3528, 82547.23932552338
140, 0.34042, 0.3667, 0.3667, 83315.33768773079
141, 0.32734, 0.3498, 0.3498, 84088.5464565754
142, 0.34064, 0.3679, 0.3679, 84884.60451865196
143, 0.33046, 0.3526, 0.3526, 85701.59361767769
144, 0.34658, 0.3761, 0.3761, 86515.40033078194
145, 0.3382, 0.361, 0.361, 87332.10024833679
146, 0.34342, 0.3719, 0.3719, 88149.07681822777
147, 0.3415, 0.368, 0.368, 88950.23909687996
148, 0.33982, 0.3715, 0.3715, 89748.15053296089
149, 0.3335, 0.3559, 0.3559, 90555.76824450493
