round, train_acc, test_acc, f1, time_stamp
0, 0.10002, 0.1, 0.1, 549.919463634491
1, 0.1, 0.1, 0.1, 1133.7996423244476
2, 0.1, 0.1, 0.1, 1725.8390867710114
3, 0.1, 0.1, 0.1, 2341.342228412628
4, 0.1, 0.1, 0.1, 2955.6608135700226
5, 0.1, 0.1, 0.1, 3556.3460190296173
6, 0.1, 0.1, 0.1, 4169.35293340683
7, 0.1, 0.1, 0.1, 4809.59971165657
8, 0.1, 0.1, 0.1, 5456.531183719635
9, 0.1, 0.1, 0.1, 6130.49199795723
10, 0.1, 0.1, 0.1, 6797.23868060112
11, 0.1, 0.1, 0.1, 7471.1973667144775
12, 0.1, 0.1, 0.1, 8159.424777984619
13, 0.1, 0.1, 0.1, 8866.628951072693
14, 0.1, 0.1, 0.1, 9540.520306825638
15, 0.1, 0.1, 0.1, 10231.910004854202
16, 0.11244, 0.1107, 0.1107, 10923.510871171951
17, 0.12282, 0.1191, 0.1191, 11580.090536355972
18, 0.16596, 0.1679, 0.1679, 12236.245940446854
19, 0.18788, 0.1897, 0.1897, 12938.017287254333
20, 0.20024, 0.2032, 0.2032, 13641.4595348835
21, 0.18072, 0.176, 0.176, 14310.372061729431
22, 0.2096, 0.2166, 0.2166, 14990.987424135208
23, 0.1959, 0.1953, 0.1953, 15665.848207712173
24, 0.19908, 0.2014, 0.2014, 16333.165955543518
25, 0.1014, 0.1008, 0.1008, 17021.73188996315
26, 0.1, 0.1, 0.1, 17696.56253886223
27, 0.1, 0.1, 0.1, 18337.093000650406
28, 0.1, 0.1, 0.1, 19012.283029794693
29, 0.1, 0.1, 0.1, 19678.935176372528
30, 0.1, 0.1, 0.1, 20356.63017463684
31, 0.1, 0.1, 0.1, 21029.161997795105
32, 0.1, 0.1, 0.1, 21685.930900096893
33, 0.1, 0.1, 0.1, 22363.32192015648
34, 0.1, 0.1, 0.1, 23032.54633450508
35, 0.1, 0.1, 0.1, 23682.81059384346
36, 0.1, 0.1, 0.1, 24320.46554851532
37, 0.1, 0.1, 0.1, 24953.366636276245
38, 0.1, 0.1, 0.1, 25621.60813355446
39, 0.1, 0.1, 0.1, 26295.726953983307
40, 0.1, 0.1, 0.1, 26970.35429596901
41, 0.1, 0.1, 0.1, 27647.157703876495
42, 0.1, 0.1, 0.1, 28259.01608300209
43, 0.1, 0.1, 0.1, 28829.592247486115
44, 0.1, 0.1, 0.1, 29399.360769033432
45, 0.1, 0.1, 0.1, 29967.758371591568
46, 0.1, 0.1, 0.1, 30531.33629131317
47, 0.1, 0.1, 0.1, 31101.344547986984
48, 0.1, 0.1, 0.1, 31668.420424938202
49, 0.1, 0.1, 0.1, 32286.905740499496
50, 0.1, 0.1, 0.1, 32963.293342113495
51, 0.1, 0.1, 0.1, 33634.65303874016
52, 0.1, 0.1, 0.1, 34294.50575256348
53, 0.1, 0.1, 0.1, 34974.76298952103
54, 0.1, 0.1, 0.1, 35661.80075788498
55, 0.1, 0.1, 0.1, 36332.874645233154
56, 0.1, 0.1, 0.1, 36990.89283299446
57, 0.1, 0.1, 0.1, 37658.055982112885
58, 0.1, 0.1, 0.1, 38336.43920683861
59, 0.1, 0.1, 0.1, 39006.59229803085
60, 0.1, 0.1, 0.1, 39671.185571432114
61, 0.1, 0.1, 0.1, 40348.75680375099
62, 0.1, 0.1, 0.1, 41037.653250694275
63, 0.1, 0.1, 0.1, 41722.45977830887
64, 0.1, 0.1, 0.1, 42405.40458536148
65, 0.1, 0.1, 0.1, 43081.110350608826
66, 0.1, 0.1, 0.1, 43754.46532511711
67, 0.1, 0.1, 0.1, 44422.58561182022
68, 0.1, 0.1, 0.1, 45096.691157341
69, 0.1, 0.1, 0.1, 45781.24846434593
70, 0.1, 0.1, 0.1, 46459.157437086105
71, 0.1, 0.1, 0.1, 47138.10552692413
72, 0.1, 0.1, 0.1, 47790.78131723404
73, 0.1, 0.1, 0.1, 48441.7958920002
74, 0.1, 0.1, 0.1, 49094.68846607208
75, 0.1, 0.1, 0.1, 49744.86700129509
76, 0.1, 0.1, 0.1, 50395.04876303673
77, 0.1, 0.1, 0.1, 51045.16754627228
78, 0.1, 0.1, 0.1, 51694.48807263374
79, 0.1, 0.1, 0.1, 52326.71630477905
80, 0.1, 0.1, 0.1, 52964.46034741402
81, 0.1, 0.1, 0.1, 53605.37519478798
82, 0.1, 0.1, 0.1, 54246.651440382004
83, 0.1, 0.1, 0.1, 54891.529082775116
84, 0.1, 0.1, 0.1, 55530.653568029404
85, 0.1, 0.1, 0.1, 56175.459956884384
86, 0.1, 0.1, 0.1, 56809.134174108505
87, 0.1, 0.1, 0.1, 57442.962171554565
