,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.20996,0.2158,0.2158,"[[714, 68, 0, 1, 0, 41, 17, 18, 0, 141], [474, 145, 0, 1, 3, 94, 66, 50, 0, 167], [213, 154, 0, 0, 7, 262, 177, 83, 0, 104], [127, 156, 0, 0, 5, 343, 149, 85, 0, 135], [99, 102, 0, 1, 4, 297, 313, 86, 0, 98], [154, 203, 0, 1, 8, 349, 127, 70, 0, 88], [28, 82, 0, 1, 5, 314, 402, 91, 0, 77], [114, 129, 0, 1, 9, 192, 99, 149, 0, 307], [697, 69, 0, 0, 0, 47, 3, 15, 0, 169], [362, 76, 0, 0, 5, 66, 35, 61, 0, 395]]"
1,1,10,0.27568,0.2858,0.2858,"[[417, 66, 0, 14, 4, 40, 46, 49, 189, 175], [71, 223, 0, 9, 12, 92, 94, 87, 246, 166], [116, 57, 0, 42, 59, 119, 394, 107, 47, 59], [40, 40, 0, 53, 43, 202, 355, 162, 28, 77], [46, 23, 0, 27, 77, 77, 572, 96, 22, 60], [26, 80, 0, 45, 45, 256, 340, 113, 39, 56], [9, 11, 0, 23, 46, 80, 690, 107, 5, 29], [23, 51, 0, 28, 96, 111, 180, 301, 36, 174], [155, 65, 0, 12, 1, 60, 24, 38, 442, 203], [36, 71, 0, 24, 8, 32, 77, 114, 239, 399]]"
2,2,10,0.31774,0.3417,0.3417,"[[447, 93, 3, 15, 10, 26, 29, 65, 210, 102], [58, 379, 0, 12, 21, 37, 55, 79, 171, 188], [124, 70, 3, 58, 204, 112, 182, 159, 50, 38], [51, 52, 2, 100, 112, 211, 176, 180, 39, 77], [57, 23, 0, 39, 366, 79, 223, 149, 26, 38], [43, 77, 1, 72, 133, 280, 144, 154, 52, 44], [14, 29, 2, 40, 194, 79, 482, 120, 6, 34], [40, 82, 1, 40, 139, 77, 49, 428, 34, 110], [139, 97, 0, 27, 3, 29, 11, 34, 485, 175], [41, 114, 1, 18, 11, 21, 54, 99, 194, 447]]"
3,3,10,0.35996,0.3874,0.3874,"[[453, 81, 9, 26, 12, 12, 29, 63, 224, 91], [31, 491, 1, 15, 11, 23, 38, 45, 118, 227], [120, 65, 38, 83, 181, 98, 192, 155, 42, 26], [49, 51, 25, 132, 82, 188, 211, 150, 31, 81], [56, 21, 24, 54, 330, 61, 244, 154, 22, 34], [30, 36, 29, 99, 90, 338, 164, 145, 37, 32], [9, 20, 15, 67, 165, 57, 528, 90, 13, 36], [40, 49, 16, 49, 99, 85, 62, 491, 17, 92], [115, 99, 0, 31, 3, 12, 14, 26, 555, 145], [28, 158, 2, 26, 2, 13, 54, 53, 146, 518]]"
4,4,10,0.39226,0.4251,0.4251,"[[456, 74, 32, 34, 11, 13, 27, 50, 213, 90], [17, 562, 2, 20, 7, 19, 29, 35, 87, 222], [77, 40, 126, 106, 159, 105, 203, 133, 27, 24], [30, 38, 49, 214, 44, 206, 217, 98, 16, 88], [45, 23, 52, 76, 302, 39, 261, 157, 20, 25], [20, 20, 56, 150, 50, 376, 148, 124, 25, 31], [3, 14, 30, 86, 125, 42, 587, 59, 13, 41], [22, 34, 23, 60, 82, 94, 72, 523, 12, 78], [114, 108, 2, 36, 6, 15, 17, 19, 547, 136], [18, 174, 2, 30, 2, 15, 46, 45, 110, 558]]"
5,5,10,0.4173,0.4579,0.4579,"[[445, 61, 67, 24, 12, 15, 25, 37, 237, 77], [17, 613, 8, 22, 6, 15, 24, 28, 85, 182], [61, 35, 237, 97, 146, 88, 159, 121, 29, 27], [26, 34, 61, 300, 35, 216, 170, 75, 12, 71], [42, 23, 102, 78, 310, 43, 204, 151, 24, 23], [13, 20, 80, 173, 40, 411, 101, 113, 26, 23], [2, 15, 55, 114, 111, 37, 571, 49, 13, 33], [15, 31, 37, 79, 58, 101, 50, 551, 14, 64], [103, 107, 10, 28, 6, 13, 12, 18, 597, 106], [17, 187, 3, 31, 3, 15, 41, 47, 112, 544]]"
6,6,10,0.43912,0.4792,0.4792,"[[434, 52, 82, 22, 16, 13, 30, 35, 241, 75], [14, 624, 14, 15, 7, 14, 26, 25, 79, 182], [49, 25, 317, 88, 116, 80, 162, 112, 23, 28], [18, 22, 67, 302, 41, 219, 186, 77, 11, 57], [42, 25, 125, 66, 319, 41, 202, 137, 25, 18], [8, 14, 87, 167, 35, 428, 102, 118, 21, 20], [0, 15, 66, 95, 102, 34, 606, 43, 12, 27], [13, 17, 30, 77, 60, 106, 51, 583, 12, 51], [87, 104, 13, 28, 8, 16, 18, 19, 612, 95], [19, 182, 6, 32, 3, 15, 39, 44, 93, 567]]"
7,7,10,0.455,0.4948,0.4948,"[[483, 61, 67, 15, 17, 10, 29, 21, 230, 67], [15, 707, 9, 9, 5, 9, 14, 15, 79, 138], [60, 37, 312, 73, 110, 84, 165, 99, 29, 31], [24, 30, 62, 274, 38, 223, 201, 62, 19, 67], [46, 28, 110, 64, 316, 48, 211, 131, 26, 20], [14, 23, 73, 161, 32, 432, 104, 112, 21, 28], [0, 21, 60, 83, 81, 35, 641, 37, 13, 29], [23, 27, 30, 66, 58, 92, 48, 586, 14, 56], [96, 100, 7, 18, 8, 12, 11, 16, 647, 85], [20, 236, 6, 20, 2, 8, 33, 31, 94, 550]]"
8,8,10,0.46464,0.5002,0.5002,"[[514, 51, 90, 16, 20, 13, 34, 24, 184, 54], [18, 657, 19, 13, 6, 11, 22, 22, 76, 156], [56, 25, 372, 79, 137, 65, 129, 94, 20, 23], [17, 20, 90, 306, 51, 207, 192, 68, 11, 38], [45, 24, 136, 72, 369, 43, 157, 124, 20, 10], [6, 17, 100, 188, 45, 420, 91, 101, 16, 16], [2, 11, 72, 84, 122, 35, 618, 30, 11, 15], [19, 18, 41, 73, 68, 101, 42, 586, 11, 41], [120, 86, 15, 28, 12, 12, 22, 16, 614, 75], [29, 190, 12, 29, 6, 12, 43, 45, 88, 546]]"
9,9,10,0.47786,0.5117,0.5117,"[[510, 48, 60, 12, 16, 10, 38, 15, 212, 79], [15, 674, 10, 9, 4, 7, 15, 15, 78, 173], [65, 27, 351, 73, 102, 69, 176, 75, 33, 29], [22, 25, 63, 301, 42, 170, 244, 54, 20, 59], [44, 23, 128, 61, 340, 43, 218, 100, 26, 17], [8, 20, 76, 194, 39, 390, 140, 86, 20, 27], [1, 19, 57, 58, 65, 25, 719, 22, 11, 23], [24, 23, 32, 68, 62, 84, 59, 578, 15, 55], [98, 85, 6, 22, 7, 10, 16, 12, 667, 77], [27, 188, 7, 24, 4, 8, 39, 26, 90, 587]]"
10,10,10,0.48642,0.5235,0.5235,"[[528, 58, 60, 13, 15, 13, 26, 20, 180, 87], [12, 730, 9, 10, 4, 9, 8, 16, 53, 149], [68, 28, 357, 90, 100, 91, 114, 90, 28, 34], [22, 28, 62, 327, 39, 220, 150, 76, 19, 57], [46, 26, 123, 81, 349, 58, 146, 131, 24, 16], [10, 18, 67, 202, 38, 458, 63, 100, 17, 27], [0, 21, 61, 88, 84, 42, 629, 39, 10, 26], [20, 26, 29, 56, 52, 103, 27, 622, 12, 53], [104, 105, 6, 28, 8, 10, 7, 15, 643, 74], [25, 218, 9, 20, 3, 12, 25, 27, 69, 592]]"
11,11,10,0.49368,0.5283,0.5283,"[[511, 33, 73, 15, 16, 13, 30, 24, 189, 96], [17, 649, 8, 13, 7, 10, 10, 21, 68, 197], [59, 20, 371, 79, 117, 93, 124, 78, 31, 28], [18, 16, 65, 318, 46, 224, 176, 70, 16, 51], [40, 17, 131, 70, 370, 47, 159, 123, 25, 18], [5, 9, 71, 188, 51, 478, 74, 88, 14, 22], [3, 12, 62, 82, 85, 35, 657, 31, 9, 24], [17, 13, 37, 51, 58, 95, 39, 627, 13, 50], [88, 80, 8, 31, 12, 12, 9, 14, 669, 77], [25, 161, 8, 26, 4, 11, 27, 31, 74, 633]]"
12,12,10,0.50348,0.5377,0.5377,"[[519, 40, 59, 21, 16, 10, 31, 25, 196, 83], [14, 685, 8, 13, 6, 9, 10, 17, 72, 166], [57, 24, 362, 90, 117, 81, 137, 74, 32, 26], [18, 18, 65, 358, 47, 198, 163, 70, 19, 44], [35, 19, 126, 71, 393, 42, 152, 120, 26, 16], [8, 10, 72, 202, 48, 452, 76, 93, 16, 23], [2, 14, 59, 77, 82, 25, 679, 32, 10, 20], [17, 18, 33, 53, 59, 85, 41, 639, 11, 44], [83, 84, 6, 29, 10, 11, 11, 12, 685, 69], [26, 181, 8, 24, 5, 9, 29, 34, 79, 605]]"
13,13,10,0.50994,0.5437,0.5437,"[[522, 40, 66, 18, 15, 15, 30, 31, 182, 81], [19, 676, 11, 11, 4, 11, 13, 17, 65, 173], [54, 19, 399, 86, 113, 89, 118, 69, 30, 23], [14, 16, 72, 349, 48, 214, 153, 75, 19, 40], [33, 17, 137, 73, 408, 47, 131, 112, 27, 15], [6, 10, 79, 202, 46, 470, 66, 88, 12, 21], [1, 13, 71, 73, 81, 43, 663, 25, 10, 20], [13, 13, 39, 58, 61, 96, 26, 643, 11, 40], [76, 79, 12, 31, 14, 14, 9, 12, 685, 68], [24, 176, 9, 22, 5, 11, 26, 32, 73, 622]]"
14,14,10,0.52036,0.5503,0.5503,"[[549, 44, 59, 18, 18, 13, 31, 23, 170, 75], [21, 695, 9, 13, 6, 9, 10, 12, 60, 165], [59, 19, 382, 87, 118, 91, 130, 58, 31, 25], [17, 15, 69, 369, 52, 193, 157, 63, 20, 45], [34, 18, 126, 72, 385, 50, 155, 114, 30, 16], [8, 13, 78, 206, 42, 472, 73, 76, 10, 22], [1, 16, 56, 75, 66, 33, 705, 19, 10, 19], [16, 15, 28, 65, 60, 92, 35, 634, 11, 44], [81, 80, 12, 28, 14, 10, 10, 11, 690, 64], [27, 175, 8, 27, 3, 9, 26, 25, 78, 622]]"
15,15,10,0.52634,0.5569,0.5569,"[[571, 48, 49, 19, 18, 8, 30, 25, 158, 74], [25, 705, 5, 7, 7, 10, 12, 12, 57, 160], [67, 21, 374, 83, 124, 77, 130, 65, 33, 26], [17, 18, 67, 371, 53, 189, 153, 66, 20, 46], [38, 20, 113, 73, 414, 37, 136, 128, 28, 13], [11, 13, 70, 201, 50, 467, 71, 85, 11, 21], [2, 17, 50, 67, 79, 32, 696, 24, 11, 22], [17, 17, 36, 57, 51, 84, 31, 653, 10, 44], [94, 82, 8, 27, 12, 9, 11, 12, 681, 64], [29, 168, 8, 25, 5, 7, 19, 29, 73, 637]]"
16,16,10,0.53238,0.5642,0.5642,"[[562, 41, 58, 19, 17, 9, 27, 24, 184, 59], [27, 691, 5, 9, 7, 9, 11, 10, 63, 168], [64, 20, 403, 78, 121, 81, 121, 55, 34, 23], [19, 19, 68, 396, 57, 195, 130, 54, 20, 42], [36, 15, 124, 76, 424, 43, 121, 115, 32, 14], [11, 11, 76, 195, 51, 479, 67, 76, 15, 19], [5, 14, 56, 74, 82, 33, 686, 19, 9, 22], [17, 13, 38, 61, 60, 92, 27, 641, 10, 41], [76, 71, 10, 22, 12, 9, 9, 12, 721, 58], [27, 157, 8, 29, 5, 8, 20, 27, 80, 639]]"
17,17,10,0.53924,0.5696,0.5696,"[[600, 43, 48, 21, 22, 11, 26, 24, 146, 59], [28, 681, 6, 8, 9, 8, 11, 9, 60, 180], [66, 20, 383, 87, 133, 93, 108, 53, 33, 24], [18, 19, 60, 416, 58, 197, 120, 49, 18, 45], [34, 12, 115, 78, 455, 43, 120, 102, 28, 13], [10, 13, 73, 199, 55, 495, 52, 71, 11, 21], [4, 13, 53, 87, 80, 35, 676, 19, 9, 24], [14, 12, 29, 62, 68, 99, 26, 639, 10, 41], [93, 73, 11, 26, 14, 10, 8, 13, 691, 61], [26, 153, 8, 28, 4, 7, 15, 28, 71, 660]]"
18,18,10,0.54624,0.569,0.569,"[[546, 48, 46, 24, 23, 8, 30, 22, 183, 70], [23, 698, 5, 6, 5, 10, 12, 10, 51, 180], [61, 17, 378, 92, 121, 85, 127, 58, 33, 28], [18, 19, 55, 418, 50, 197, 120, 58, 19, 46], [30, 12, 115, 75, 424, 40, 136, 123, 32, 13], [12, 13, 71, 209, 47, 481, 61, 71, 15, 20], [2, 11, 46, 81, 53, 32, 719, 17, 11, 28], [16, 14, 31, 65, 57, 93, 27, 643, 9, 45], [70, 77, 10, 21, 17, 8, 11, 13, 709, 64], [24, 156, 7, 25, 3, 8, 19, 23, 61, 674]]"
19,19,10,0.54822,0.5768,0.5768,"[[613, 34, 45, 23, 23, 11, 31, 30, 136, 54], [29, 673, 7, 6, 6, 11, 17, 12, 57, 182], [63, 14, 382, 75, 137, 92, 123, 62, 31, 21], [16, 18, 62, 382, 58, 217, 131, 63, 17, 36], [30, 11, 101, 67, 461, 41, 126, 132, 23, 8], [12, 11, 69, 170, 54, 501, 62, 90, 13, 18], [3, 8, 46, 69, 61, 35, 728, 22, 7, 21], [14, 10, 28, 57, 63, 91, 28, 667, 9, 33], [94, 66, 9, 20, 20, 13, 11, 13, 695, 59], [32, 137, 10, 23, 5, 10, 22, 30, 65, 666]]"
20,20,10,0.55524,0.5803,0.5803,"[[625, 42, 47, 22, 14, 8, 28, 27, 129, 58], [35, 715, 5, 9, 6, 8, 14, 11, 50, 147], [72, 17, 381, 83, 136, 85, 115, 58, 30, 23], [19, 18, 64, 390, 55, 209, 131, 57, 22, 35], [30, 16, 107, 68, 470, 41, 115, 114, 31, 8], [14, 12, 62, 179, 54, 501, 64, 79, 15, 20], [4, 12, 51, 66, 67, 33, 719, 16, 8, 24], [21, 12, 26, 59, 67, 89, 24, 652, 11, 39], [96, 76, 9, 16, 15, 8, 11, 12, 708, 49], [32, 176, 9, 23, 4, 9, 18, 26, 61, 642]]"
21,21,10,0.56054,0.5816,0.5816,"[[602, 44, 39, 22, 19, 10, 28, 25, 164, 47], [27, 735, 4, 9, 8, 9, 15, 11, 59, 123], [70, 16, 376, 86, 120, 84, 128, 64, 33, 23], [16, 19, 61, 402, 53, 203, 131, 58, 21, 36], [31, 14, 97, 66, 446, 38, 138, 130, 30, 10], [10, 12, 58, 197, 48, 498, 65, 77, 15, 20], [4, 11, 49, 69, 53, 36, 732, 19, 7, 20], [17, 12, 20, 63, 60, 91, 23, 664, 13, 37], [85, 73, 7, 17, 16, 7, 12, 12, 725, 46], [29, 181, 7, 22, 5, 9, 20, 27, 64, 636]]"
