round, train_acc, test_acc, f1, time_stamp
0, 0.20996, 0.2158, 0.2158, 345.31040120124817
1, 0.27568, 0.2858, 0.2858, 694.274304151535
2, 0.31774, 0.3417, 0.3417, 1037.5235710144043
3, 0.35996, 0.3874, 0.3874, 1382.300953388214
4, 0.39226, 0.4251, 0.4251, 1736.1849884986877
5, 0.4173, 0.4579, 0.4579, 2080.2681300640106
6, 0.43912, 0.4792, 0.4792, 2424.5494186878204
7, 0.455, 0.4948, 0.4948, 2768.663593530655
8, 0.46464, 0.5002, 0.5002, 3111.587521791458
9, 0.47786, 0.5117, 0.5117, 3454.643845319748
10, 0.48642, 0.5235, 0.5235, 3797.9241359233856
11, 0.49368, 0.5283, 0.5283, 4140.505241632462
12, 0.50348, 0.5377, 0.5377, 4483.136459827423
13, 0.50994, 0.5437, 0.5437, 4825.912455797195
14, 0.52036, 0.5503, 0.5503, 5167.616193771362
15, 0.52634, 0.5569, 0.5569, 5509.771484613419
16, 0.53238, 0.5642, 0.5642, 5852.106939077377
17, 0.53924, 0.5696, 0.5696, 6194.714775085449
18, 0.54624, 0.569, 0.569, 6538.317497253418
19, 0.54822, 0.5768, 0.5768, 6881.109337568283
20, 0.55524, 0.5803, 0.5803, 7223.169893741608
21, 0.56054, 0.5816, 0.5816, 7564.968981266022
22, 0.56146, 0.5863, 0.5863, 7907.984775543213
23, 0.56602, 0.5892, 0.5892, 8250.191831111908
24, 0.56684, 0.5945, 0.5945, 8592.088852643967
25, 0.57198, 0.5979, 0.5979, 8934.445688009262
26, 0.57634, 0.6006, 0.6006, 9275.435132741928
27, 0.57854, 0.6042, 0.6042, 9613.304465532303
28, 0.58326, 0.6074, 0.6074, 9949.840593099594
29, 0.58164, 0.6068, 0.6068, 10287.037157058716
30, 0.5873, 0.6099, 0.6099, 10624.343876600266
31, 0.59098, 0.6153, 0.6153, 10960.861837387085
32, 0.59358, 0.6148, 0.6148, 11298.021653413773
33, 0.59242, 0.6168, 0.6168, 11634.798904895782
34, 0.59554, 0.6175, 0.6175, 11971.5938205719
35, 0.59978, 0.624, 0.624, 12308.28810930252
36, 0.60244, 0.6269, 0.6269, 12644.535735607147
37, 0.60318, 0.6268, 0.6268, 12980.57099533081
38, 0.60034, 0.6276, 0.6276, 13316.103335142136
39, 0.60466, 0.6265, 0.6265, 13653.287690162659
40, 0.6085, 0.6303, 0.6303, 13989.6674554348
41, 0.60974, 0.6303, 0.6303, 14325.568129301071
42, 0.61126, 0.6353, 0.6353, 14662.131583690643
43, 0.61368, 0.632, 0.632, 14999.035007715225
44, 0.61466, 0.6316, 0.6316, 15336.382576704025
45, 0.61506, 0.631, 0.631, 15673.2893948555
46, 0.61558, 0.6368, 0.6368, 16010.346299648285
47, 0.6159, 0.6403, 0.6403, 16347.696154594421
48, 0.61788, 0.6383, 0.6383, 16684.806792497635
49, 0.61964, 0.6412, 0.6412, 17022.010801315308
