round, train_acc, test_acc, f1, time_stamp
0, 0, 0.3922, 0, 4341.561233282089
1, 0, 0.5001, 0, 9706.26604270935
2, 0, 0.5345, 0, 15504.261185884476
3, 0, 0.5581, 0, 21537.02108025551
4, 0, 0.5762, 0, 27413.17448949814
5, 0, 0.5901, 0, 33070.38163495064
6, 0, 0.6064, 0, 38640.85679650307
7, 0, 0.6185, 0, 44317.25383710861
8, 0, 0.6284, 0, 48875.54988145828
9, 0, 0.6348, 0, 53320.1348361969
10, 0, 0.6411, 0, 57839.03075122833
11, 0, 0.6418, 0, 62450.15162444115
12, 0, 0.6466, 0, 66891.83274388313
13, 0, 0.6515, 0, 71398.49786424637
14, 0, 0.6538, 0, 75868.64725732803
15, 0, 0.6562, 0, 80474.05135297775
16, 0, 0.6603, 0, 85120.58990645409
17, 0, 0.6576, 0, 89581.96643638611
18, 0, 0.661, 0, 94100.95388364792
19, 0, 0.6632, 0, 98529.2647702694
20, 0, 0.6655, 0, 103086.51831269264
21, 0, 0.6697, 0, 107495.30949306488
22, 0, 0.6706, 0, 112082.60590267181
23, 0, 0.6712, 0, 117366.43484473228
24, 0, 0.6744, 0, 122584.99814081192
25, 0, 0.6725, 0, 127758.00585699081
26, 0, 0.6763, 0, 132969.06896281242
27, 0, 0.6775, 0, 138229.9631614685
28, 0, 0.6776, 0, 143468.44236540794
29, 0, 0.6784, 0, 148723.92291021347
30, 0, 0.6789, 0, 153804.06856799126
31, 0, 0.6786, 0, 158914.8632926941
32, 0, 0.679, 0, 164112.4185409546
33, 0, 0.6813, 0, 169145.64762425423
