,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.3015,0,0
1,1,5,0,0.4319,0,0
2,2,5,0,0.4886,0,0
3,3,5,0,0.5134,0,0
4,4,5,0,0.5302,0,0
5,5,5,0,0.5431,0,0
6,6,5,0,0.5575,0,0
7,7,5,0,0.5666,0,0
8,8,5,0,0.5746,0,0
9,9,5,0,0.5815,0,0
10,10,5,0,0.5905,0,0
11,11,5,0,0.596,0,0
12,12,5,0,0.6031,0,0
13,13,5,0,0.6105,0,0
14,14,5,0,0.614,0,0
15,15,5,0,0.6187,0,0
16,16,5,0,0.6224,0,0
17,17,5,0,0.6257,0,0
18,18,5,0,0.6313,0,0
19,19,5,0,0.6305,0,0
20,20,5,0,0.6385,0,0
21,21,5,0,0.6374,0,0
22,22,5,0,0.6435,0,0
23,23,5,0,0.6442,0,0
24,24,5,0,0.6473,0,0
25,25,5,0,0.6536,0,0
26,26,5,0,0.657,0,0
27,27,5,0,0.6584,0,0
28,28,5,0,0.6599,0,0
29,29,5,0,0.6617,0,0
30,30,5,0,0.6632,0,0
31,31,5,0,0.6639,0,0
32,32,5,0,0.662,0,0
33,33,5,0,0.664,0,0
34,34,5,0,0.665,0,0
35,35,5,0,0.6669,0,0
36,36,5,0,0.6694,0,0
37,37,5,0,0.6691,0,0
38,38,5,0,0.6709,0,0
39,39,5,0,0.6694,0,0
40,40,5,0,0.6728,0,0
41,41,5,0,0.6751,0,0
42,42,5,0,0.6742,0,0
43,43,5,0,0.6735,0,0
44,44,5,0,0.6775,0,0
45,45,5,0,0.6782,0,0
46,46,5,0,0.6774,0,0
47,47,5,0,0.6804,0,0
48,48,5,0,0.6804,0,0
49,49,5,0,0.6803,0,0
