,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.2498,0,0
1,1,5,0,0.3337,0,0
2,2,5,0,0.3967,0,0
3,3,5,0,0.4408,0,0
4,4,5,0,0.4788,0,0
5,5,5,0,0.4997,0,0
6,6,5,0,0.5206,0,0
7,7,5,0,0.5189,0,0
8,8,5,0,0.5303,0,0
9,9,5,0,0.5391,0,0
10,10,5,0,0.5496,0,0
11,11,5,0,0.5539,0,0
12,12,5,0,0.5596,0,0
13,13,5,0,0.5677,0,0
14,14,5,0,0.5723,0,0
15,15,5,0,0.5766,0,0
16,16,5,0,0.5809,0,0
17,17,5,0,0.5866,0,0
18,18,5,0,0.5919,0,0
19,19,5,0,0.5958,0,0
20,20,5,0,0.5967,0,0
21,21,5,0,0.6024,0,0
22,22,5,0,0.604,0,0
23,23,5,0,0.6064,0,0
24,24,5,0,0.6107,0,0
25,25,5,0,0.6098,0,0
26,26,5,0,0.6122,0,0
27,27,5,0,0.6149,0,0
28,28,5,0,0.6213,0,0
29,29,5,0,0.6202,0,0
30,30,5,0,0.6221,0,0
31,31,5,0,0.6211,0,0
32,32,5,0,0.6258,0,0
33,33,5,0,0.6294,0,0
34,34,5,0,0.6321,0,0
35,35,5,0,0.6335,0,0
36,36,5,0,0.6337,0,0
37,37,5,0,0.6333,0,0
38,38,5,0,0.635,0,0
39,39,5,0,0.639,0,0
40,40,5,0,0.6393,0,0
41,41,5,0,0.641,0,0
42,42,5,0,0.6467,0,0
43,43,5,0,0.6462,0,0
44,44,5,0,0.6463,0,0
45,45,5,0,0.6492,0,0
46,46,5,0,0.6482,0,0
47,47,5,0,0.6487,0,0
48,48,5,0,0.6525,0,0
49,49,5,0,0.6528,0,0
