round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1954, 0, 739.9260501861572
1, 0, 0.2821, 0, 1479.097981929779
2, 0, 0.3516, 0, 2210.917239665985
3, 0, 0.3997, 0, 2941.1903653144836
4, 0, 0.429, 0, 3672.421887397766
5, 0, 0.4483, 0, 4403.111700057983
6, 0, 0.4642, 0, 5134.125591278076
7, 0, 0.4779, 0, 5864.710854291916
8, 0, 0.4926, 0, 6596.257696628571
9, 0, 0.5048, 0, 7327.709821224213
10, 0, 0.5086, 0, 8058.924180030823
11, 0, 0.5218, 0, 8789.886350631714
12, 0, 0.5308, 0, 9520.573383808136
13, 0, 0.5363, 0, 10249.626036405563
14, 0, 0.543, 0, 10978.927950382233
15, 0, 0.5487, 0, 11712.513433933258
16, 0, 0.5521, 0, 12448.562381267548
17, 0, 0.5566, 0, 13184.129668951035
18, 0, 0.5633, 0, 13921.070886850357
19, 0, 0.5691, 0, 14657.0425491333
20, 0, 0.5735, 0, 15389.591311216354
21, 0, 0.5783, 0, 16123.348110437393
22, 0, 0.5801, 0, 16857.07546234131
23, 0, 0.5878, 0, 17591.272564888
24, 0, 0.5918, 0, 18325.289061546326
25, 0, 0.5954, 0, 19059.136239767075
26, 0, 0.5996, 0, 19794.134702444077
27, 0, 0.6055, 0, 20528.7665681839
28, 0, 0.6082, 0, 21261.315227270126
29, 0, 0.6141, 0, 21996.31482744217
30, 0, 0.6187, 0, 22730.473112106323
31, 0, 0.6195, 0, 23464.383754491806
32, 0, 0.6239, 0, 24198.060137987137
33, 0, 0.6281, 0, 24931.59349131584
34, 0, 0.6301, 0, 25663.124037742615
35, 0, 0.635, 0, 26392.855515241623
36, 0, 0.6379, 0, 27122.48845386505
37, 0, 0.6401, 0, 27852.514771461487
38, 0, 0.6438, 0, 28581.907247781754
39, 0, 0.6442, 0, 29310.725382328033
40, 0, 0.647, 0, 30044.199706554413
41, 0, 0.6458, 0, 30775.505432367325
42, 0, 0.6502, 0, 31505.43562602997
43, 0, 0.6548, 0, 32234.841558933258
44, 0, 0.6524, 0, 32964.369529247284
45, 0, 0.6553, 0, 33695.43961405754
46, 0, 0.658, 0, 34429.17047405243
47, 0, 0.6575, 0, 35162.39948487282
48, 0, 0.6604, 0, 35895.92515349388
49, 0, 0.6593, 0, 36628.94307255745
