,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.16988,0.1744,"[[854, 1, 2, 29, 0, 8, 2, 28, 52, 24], [656, 6, 0, 72, 5, 38, 7, 103, 55, 58], [530, 6, 2, 179, 3, 37, 3, 213, 5, 22], [410, 3, 1, 333, 4, 33, 2, 180, 4, 30], [339, 3, 0, 268, 18, 27, 10, 305, 7, 23], [477, 1, 1, 297, 1, 31, 2, 164, 3, 23], [268, 3, 2, 299, 10, 73, 24, 306, 0, 15], [467, 1, 1, 185, 3, 25, 2, 196, 18, 102], [766, 0, 1, 70, 0, 7, 0, 12, 107, 37], [602, 0, 0, 40, 2, 6, 1, 94, 82, 173]]"
1,1,0.23474,0.2423,"[[86, 16, 0, 0, 0, 70, 67, 40, 457, 264], [8, 90, 0, 1, 0, 119, 164, 43, 286, 289], [17, 23, 0, 0, 1, 151, 498, 59, 131, 120], [11, 13, 0, 3, 1, 255, 462, 93, 44, 118], [13, 5, 0, 1, 1, 109, 675, 48, 49, 99], [5, 18, 0, 2, 0, 294, 464, 55, 63, 99], [3, 6, 0, 0, 0, 69, 801, 62, 7, 52], [6, 19, 0, 3, 2, 134, 379, 171, 33, 253], [14, 12, 0, 0, 0, 90, 34, 30, 432, 388], [8, 15, 0, 1, 0, 45, 136, 77, 173, 545]]"
2,2,0.1018,0.1021,"[[0, 3, 4, 6, 27, 0, 957, 3, 0, 0], [0, 16, 0, 2, 5, 0, 977, 0, 0, 0], [0, 1, 3, 3, 6, 0, 987, 0, 0, 0], [0, 0, 0, 2, 3, 0, 994, 1, 0, 0], [0, 0, 0, 1, 4, 0, 995, 0, 0, 0], [0, 0, 0, 2, 3, 0, 995, 0, 0, 0], [0, 2, 0, 0, 2, 0, 996, 0, 0, 0], [0, 1, 1, 0, 9, 0, 989, 0, 0, 0], [0, 2, 0, 2, 16, 0, 976, 4, 0, 0], [0, 6, 0, 2, 5, 0, 986, 1, 0, 0]]"
3,3,0.309,0.33,"[[420, 60, 3, 1, 19, 17, 15, 14, 411, 40], [33, 438, 0, 0, 10, 25, 51, 22, 294, 127], [232, 72, 19, 8, 171, 227, 76, 86, 73, 36], [148, 45, 15, 13, 57, 372, 81, 102, 98, 69], [126, 23, 13, 1, 323, 186, 114, 103, 87, 24], [114, 66, 13, 7, 59, 425, 73, 103, 102, 38], [67, 38, 5, 9, 192, 207, 311, 96, 38, 37], [128, 93, 9, 5, 75, 147, 36, 314, 83, 110], [98, 86, 0, 0, 3, 25, 5, 13, 715, 55], [52, 129, 1, 3, 2, 38, 48, 27, 378, 322]]"
4,4,0.2671,0.2879,"[[1, 36, 182, 200, 218, 11, 89, 96, 49, 118], [0, 302, 6, 141, 11, 37, 76, 92, 21, 314], [0, 16, 69, 264, 119, 22, 412, 64, 1, 33], [0, 38, 23, 382, 28, 46, 362, 42, 1, 78], [0, 27, 27, 96, 218, 6, 525, 54, 4, 43], [0, 33, 12, 405, 38, 105, 310, 41, 2, 54], [0, 49, 4, 69, 46, 3, 747, 13, 1, 68], [1, 23, 8, 204, 90, 22, 197, 358, 2, 95], [1, 54, 44, 126, 130, 30, 111, 38, 186, 280], [2, 93, 4, 158, 13, 13, 71, 114, 21, 511]]"
5,5,0.18118,0.1894,"[[355, 42, 0, 0, 3, 0, 3, 2, 595, 0], [93, 274, 0, 0, 1, 5, 8, 13, 595, 11], [485, 89, 30, 0, 46, 20, 8, 32, 289, 1], [320, 107, 8, 0, 19, 57, 10, 25, 440, 14], [499, 25, 12, 0, 129, 14, 8, 35, 278, 0], [329, 141, 5, 0, 16, 45, 11, 43, 405, 5], [361, 54, 17, 0, 107, 34, 91, 45, 289, 2], [572, 95, 0, 0, 15, 6, 2, 48, 260, 2], [60, 42, 0, 0, 0, 2, 0, 0, 895, 1], [94, 73, 1, 0, 1, 3, 6, 4, 791, 27]]"
6,6,0.12116,0.1205,"[[0, 5, 0, 0, 875, 0, 12, 2, 58, 48], [0, 64, 2, 0, 737, 0, 44, 9, 16, 128], [0, 2, 1, 0, 961, 0, 11, 4, 11, 10], [0, 1, 1, 0, 954, 0, 13, 9, 3, 19], [0, 3, 0, 0, 967, 0, 6, 5, 2, 17], [0, 0, 0, 0, 954, 0, 21, 12, 2, 11], [0, 2, 0, 0, 975, 0, 8, 3, 0, 12], [0, 1, 0, 0, 979, 0, 2, 7, 0, 11], [0, 35, 0, 0, 813, 0, 32, 1, 50, 69], [0, 26, 1, 0, 816, 0, 31, 8, 10, 108]]"
7,7,0.15028,0.1562,"[[14, 127, 0, 0, 0, 21, 0, 4, 834, 0], [1, 304, 0, 0, 0, 20, 0, 1, 674, 0], [46, 193, 0, 0, 0, 277, 0, 17, 467, 0], [18, 348, 0, 0, 0, 227, 0, 2, 405, 0], [42, 175, 0, 0, 0, 330, 0, 22, 431, 0], [22, 327, 0, 0, 0, 271, 0, 5, 375, 0], [5, 248, 0, 0, 0, 463, 0, 3, 281, 0], [49, 323, 0, 0, 0, 251, 0, 49, 328, 0], [2, 69, 0, 0, 0, 5, 0, 0, 924, 0], [3, 343, 0, 0, 0, 31, 0, 0, 623, 0]]"
8,8,0.13032,0.1345,"[[79, 1, 57, 12, 658, 0, 23, 0, 4, 166], [30, 8, 65, 44, 483, 0, 78, 0, 5, 287], [18, 2, 57, 7, 845, 0, 21, 1, 0, 49], [2, 0, 39, 22, 827, 0, 47, 0, 2, 61], [10, 0, 24, 7, 910, 0, 18, 0, 1, 30], [1, 1, 41, 8, 864, 0, 35, 0, 2, 48], [2, 0, 14, 5, 869, 0, 26, 0, 0, 84], [6, 1, 42, 10, 890, 0, 10, 0, 1, 40], [71, 1, 30, 10, 501, 0, 59, 0, 16, 312], [17, 1, 57, 33, 579, 0, 80, 0, 6, 227]]"
9,9,0.13558,0.1365,"[[10, 62, 0, 0, 0, 7, 0, 0, 921, 0], [3, 194, 0, 0, 0, 15, 0, 3, 784, 1], [25, 240, 3, 0, 0, 100, 0, 33, 598, 1], [15, 289, 0, 0, 0, 104, 0, 24, 566, 2], [23, 190, 1, 0, 0, 144, 0, 65, 577, 0], [19, 313, 3, 0, 0, 108, 0, 34, 521, 2], [4, 297, 0, 0, 0, 252, 0, 38, 407, 2], [30, 259, 0, 0, 0, 59, 0, 81, 564, 7], [2, 27, 0, 0, 0, 2, 0, 0, 969, 0], [13, 106, 1, 0, 0, 16, 0, 7, 857, 0]]"
