round, train_acc, test_acc, f1, time_stamp
0, 0.16988, 0.1744, 0.1744, 339.0102400779724
1, 0.23474, 0.2423, 0.2423, 678.5725021362305
2, 0.1018, 0.1021, 0.1021, 1019.0796287059784
3, 0.309, 0.33, 0.33, 1359.0435123443604
4, 0.2671, 0.2879, 0.2879, 1699.188709974289
5, 0.18118, 0.1894, 0.1894, 2039.3816502094269
6, 0.12116, 0.1205, 0.1205, 2379.267339706421
7, 0.15028, 0.1562, 0.1562, 2718.343815803528
8, 0.13032, 0.1345, 0.1345, 3058.218948841095
9, 0.13558, 0.1365, 0.1365, 3397.5325310230255
10, 0.09444, 0.0958, 0.0958, 3735.6359009742737
11, 0.16628, 0.1786, 0.1786, 4074.3151285648346
12, 0.12238, 0.126, 0.126, 4413.3461809158325
13, 0.10484, 0.1044, 0.1044, 4751.35861825943
14, 0.13858, 0.1419, 0.1419, 5087.613301038742
15, 0.17222, 0.1706, 0.1706, 5423.697984457016
16, 0.21898, 0.2353, 0.2353, 5760.224116802216
17, 0.14326, 0.1497, 0.1497, 6096.233994245529
18, 0.23654, 0.2567, 0.2567, 6432.79790687561
19, 0.12894, 0.1359, 0.1359, 6769.405925512314
20, 0.18202, 0.1899, 0.1899, 7106.034209489822
21, 0.12904, 0.1313, 0.1313, 7442.986461162567
22, 0.10494, 0.106, 0.106, 7779.5847980976105
23, 0.10772, 0.1077, 0.1077, 8116.147015810013
24, 0.11378, 0.1186, 0.1186, 8453.068318128586
25, 0.13258, 0.1375, 0.1375, 8790.230463266373
26, 0.11318, 0.1204, 0.1204, 9127.314755678177
27, 0.13928, 0.1462, 0.1462, 9464.021359443665
28, 0.1657, 0.1751, 0.1751, 9800.512692451477
29, 0.19778, 0.2108, 0.2108, 10135.886902809143
30, 0.16188, 0.1682, 0.1682, 10471.857338666916
31, 0.12686, 0.1321, 0.1321, 10808.75931429863
32, 0.1476, 0.1528, 0.1528, 11146.322165489197
33, 0.18746, 0.2043, 0.2043, 11483.631130933762
34, 0.11638, 0.1142, 0.1142, 11821.451892375946
35, 0.11294, 0.1169, 0.1169, 12158.51944565773
36, 0.13644, 0.1443, 0.1443, 12495.9237139225
37, 0.15808, 0.1658, 0.1658, 12833.321461439133
38, 0.1181, 0.1186, 0.1186, 13169.460364103317
39, 0.112, 0.1152, 0.1152, 13507.00041770935
40, 0.1108, 0.113, 0.113, 13854.445270299911
41, 0.12352, 0.1268, 0.1268, 14191.615730524063
42, 0.17894, 0.1813, 0.1813, 14528.684571266174
43, 0.15048, 0.1602, 0.1602, 14865.660597324371
44, 0.12682, 0.1308, 0.1308, 15200.88340473175
45, 0.13794, 0.138, 0.138, 15536.890211343765
46, 0.10016, 0.1003, 0.1003, 15873.39033460617
47, 0.10008, 0.1005, 0.1005, 16210.284291505814
48, 0.10798, 0.108, 0.108, 16549.300696372986
49, 0.16786, 0.173, 0.173, 16894.607498645782
