,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.20372,0.2082,"[[744, 69, 0, 1, 0, 40, 13, 15, 0, 118], [500, 139, 0, 0, 1, 87, 59, 56, 0, 158], [228, 172, 0, 0, 6, 256, 153, 85, 0, 100], [141, 174, 0, 0, 4, 338, 130, 87, 0, 126], [110, 112, 0, 1, 6, 311, 266, 100, 0, 94], [183, 216, 0, 1, 5, 325, 105, 86, 0, 79], [38, 98, 0, 0, 5, 335, 360, 95, 0, 69], [131, 148, 0, 0, 15, 190, 71, 139, 0, 306], [720, 69, 0, 0, 0, 43, 2, 16, 0, 150], [390, 82, 0, 0, 5, 58, 31, 65, 0, 369]]"
1,1,0.27118,0.2796,"[[445, 61, 0, 13, 1, 44, 46, 46, 178, 166], [82, 214, 0, 6, 10, 94, 96, 89, 253, 156], [130, 55, 0, 41, 52, 139, 375, 109, 38, 61], [48, 43, 0, 44, 35, 226, 339, 158, 23, 84], [49, 27, 0, 20, 56, 85, 581, 102, 21, 59], [36, 87, 0, 43, 39, 268, 331, 109, 33, 54], [11, 11, 0, 29, 37, 90, 675, 115, 4, 28], [31, 57, 0, 27, 77, 116, 190, 284, 34, 184], [178, 63, 0, 13, 1, 64, 21, 39, 428, 193], [54, 70, 0, 19, 9, 40, 75, 116, 235, 382]]"
2,2,0.31204,0.3347,"[[508, 88, 2, 15, 9, 28, 30, 63, 163, 94], [83, 360, 0, 14, 21, 43, 55, 84, 178, 162], [140, 70, 1, 56, 173, 129, 200, 149, 43, 39], [67, 49, 1, 107, 103, 211, 180, 177, 39, 66], [62, 21, 0, 35, 321, 90, 265, 145, 23, 38], [56, 80, 1, 77, 119, 282, 157, 140, 46, 42], [17, 27, 2, 49, 163, 83, 500, 121, 8, 30], [50, 85, 1, 41, 133, 80, 58, 410, 34, 108], [202, 81, 0, 25, 3, 35, 11, 30, 446, 167], [63, 108, 1, 21, 11, 24, 53, 97, 210, 412]]"
3,3,0.34968,0.3754,"[[470, 70, 5, 25, 10, 16, 29, 66, 224, 85], [43, 451, 0, 14, 12, 27, 45, 54, 146, 208], [125, 66, 29, 76, 172, 111, 198, 152, 43, 28], [52, 47, 15, 113, 89, 218, 195, 159, 37, 75], [59, 20, 12, 49, 326, 78, 242, 156, 24, 34], [39, 45, 20, 86, 93, 335, 162, 147, 41, 32], [10, 21, 11, 64, 164, 68, 518, 98, 13, 33], [46, 56, 7, 44, 98, 91, 61, 481, 23, 93], [130, 91, 0, 30, 2, 24, 12, 29, 543, 139], [36, 140, 0, 21, 4, 19, 59, 60, 173, 488]]"
4,4,0.38448,0.411,"[[460, 83, 25, 35, 10, 13, 26, 52, 204, 92], [20, 559, 1, 21, 7, 20, 23, 37, 88, 224], [89, 51, 95, 112, 149, 105, 212, 132, 32, 23], [37, 42, 36, 209, 44, 203, 207, 106, 15, 101], [45, 26, 42, 76, 281, 46, 269, 162, 22, 31], [26, 26, 46, 146, 55, 367, 147, 127, 24, 36], [4, 15, 24, 99, 113, 47, 568, 71, 13, 46], [28, 45, 24, 66, 80, 86, 63, 514, 13, 81], [130, 110, 2, 33, 6, 17, 14, 18, 519, 151], [22, 188, 2, 29, 2, 13, 43, 40, 123, 538]]"
5,5,0.40982,0.4456,"[[428, 75, 61, 25, 12, 15, 24, 42, 244, 74], [16, 599, 5, 18, 4, 19, 24, 31, 93, 191], [60, 39, 209, 104, 147, 96, 165, 127, 30, 23], [28, 39, 58, 269, 34, 217, 178, 84, 14, 79], [36, 24, 93, 76, 294, 46, 219, 156, 29, 27], [15, 21, 77, 160, 37, 409, 114, 113, 28, 26], [2, 17, 43, 110, 109, 41, 571, 56, 14, 37], [14, 37, 32, 75, 60, 103, 53, 547, 14, 65], [90, 101, 10, 26, 5, 16, 13, 18, 604, 117], [18, 184, 3, 31, 3, 17, 42, 49, 127, 526]]"
6,6,0.43002,0.4716,"[[443, 52, 89, 19, 15, 15, 24, 31, 236, 76], [19, 604, 13, 15, 6, 14, 22, 28, 84, 195], [53, 28, 304, 83, 115, 87, 159, 114, 29, 28], [22, 28, 66, 297, 37, 219, 172, 76, 14, 69], [42, 26, 132, 67, 311, 40, 196, 137, 29, 20], [11, 15, 88, 159, 37, 425, 101, 114, 27, 23], [1, 13, 65, 105, 104, 36, 587, 46, 15, 28], [17, 20, 33, 70, 59, 107, 46, 575, 13, 60], [105, 95, 13, 28, 6, 17, 11, 19, 612, 94], [21, 173, 9, 26, 3, 19, 40, 44, 107, 558]]"
7,7,0.44568,0.4873,"[[452, 67, 68, 16, 15, 8, 28, 27, 249, 70], [17, 677, 10, 10, 5, 8, 19, 17, 84, 153], [59, 36, 310, 72, 106, 83, 173, 100, 31, 30], [20, 33, 61, 260, 37, 218, 205, 70, 19, 77], [46, 29, 113, 62, 300, 40, 232, 130, 29, 19], [13, 19, 71, 152, 32, 433, 117, 110, 24, 29], [0, 19, 55, 79, 78, 27, 657, 41, 13, 31], [19, 27, 27, 59, 60, 95, 54, 583, 15, 61], [91, 104, 8, 17, 7, 13, 13, 18, 643, 86], [19, 214, 6, 17, 3, 14, 39, 34, 96, 558]]"
8,8,0.45488,0.496,"[[491, 52, 92, 19, 19, 14, 27, 23, 188, 75], [18, 653, 16, 13, 8, 12, 21, 25, 65, 169], [50, 27, 359, 85, 124, 82, 133, 95, 22, 23], [19, 21, 85, 303, 45, 228, 176, 64, 10, 49], [40, 25, 138, 69, 350, 48, 165, 128, 21, 16], [5, 15, 93, 174, 39, 448, 88, 100, 16, 22], [1, 13, 75, 87, 115, 42, 603, 33, 9, 22], [16, 21, 38, 71, 62, 117, 40, 579, 10, 46], [103, 94, 13, 29, 11, 15, 14, 18, 614, 89], [23, 189, 13, 29, 4, 16, 45, 42, 79, 560]]"
9,9,0.46958,0.5054,"[[507, 58, 60, 11, 16, 9, 33, 16, 218, 72], [19, 676, 10, 8, 6, 7, 17, 13, 81, 163], [68, 30, 350, 65, 105, 68, 181, 74, 29, 30], [29, 25, 61, 292, 36, 166, 251, 55, 22, 63], [45, 26, 117, 59, 337, 40, 227, 104, 28, 17], [12, 21, 84, 187, 35, 383, 138, 89, 22, 29], [2, 19, 59, 59, 69, 23, 711, 22, 12, 24], [22, 29, 34, 69, 63, 89, 62, 554, 14, 64], [93, 90, 6, 21, 8, 9, 14, 13, 665, 81], [24, 196, 9, 23, 3, 9, 41, 27, 89, 579]]"
