round, train_acc, test_acc, f1, time_stamp
0, 0.20372, 0.2082, 0.2082, 353.18882417678833
1, 0.27118, 0.2796, 0.2796, 707.7509570121765
2, 0.31204, 0.3347, 0.3347, 1063.2000715732574
3, 0.34968, 0.3754, 0.3754, 1417.6157948970795
4, 0.38448, 0.411, 0.411, 1772.3380374908447
5, 0.40982, 0.4456, 0.4456, 2127.5247514247894
6, 0.43002, 0.4716, 0.4716, 2482.240504026413
7, 0.44568, 0.4873, 0.4873, 2836.6022520065308
8, 0.45488, 0.496, 0.496, 3190.967231988907
9, 0.46958, 0.5054, 0.5054, 3544.719569683075
10, 0.47738, 0.5139, 0.5139, 3899.101316690445
11, 0.48346, 0.5234, 0.5234, 4254.453467607498
12, 0.49292, 0.5294, 0.5294, 4609.31543803215
13, 0.49842, 0.5355, 0.5355, 4961.403876543045
14, 0.50944, 0.5401, 0.5401, 5315.333422660828
15, 0.51524, 0.5465, 0.5465, 5667.919238090515
16, 0.5203, 0.5542, 0.5542, 6021.771142244339
17, 0.52712, 0.5619, 0.5619, 6376.019601583481
18, 0.53434, 0.5633, 0.5633, 6727.088305711746
19, 0.53642, 0.5688, 0.5688, 7079.413105726242
20, 0.5434, 0.574, 0.574, 7433.468373298645
21, 0.54636, 0.5761, 0.5761, 7788.977804660797
22, 0.54988, 0.5807, 0.5807, 8143.568593740463
23, 0.55548, 0.5819, 0.5819, 8499.024604797363
24, 0.55372, 0.583, 0.583, 8854.892748117447
25, 0.56282, 0.591, 0.591, 9208.350753068924
26, 0.56646, 0.5901, 0.5901, 9560.114944696426
27, 0.56766, 0.596, 0.596, 9911.446106672287
28, 0.5731, 0.5995, 0.5995, 10262.78482580185
29, 0.57256, 0.6019, 0.6019, 10613.8471930027
30, 0.57864, 0.6034, 0.6034, 10965.368072509766
31, 0.57858, 0.6062, 0.6062, 11315.522761821747
32, 0.58434, 0.6095, 0.6095, 11665.402762413025
33, 0.5861, 0.6114, 0.6114, 12017.067175388336
34, 0.5877, 0.6113, 0.6113, 12367.616018772125
35, 0.59134, 0.612, 0.612, 12718.244277477264
36, 0.59484, 0.6153, 0.6153, 13069.260512113571
37, 0.59324, 0.6149, 0.6149, 13420.285443544388
38, 0.59474, 0.6188, 0.6188, 13772.293590784073
39, 0.59972, 0.6172, 0.6172, 14123.253420591354
40, 0.60112, 0.6223, 0.6223, 14474.575508594513
41, 0.60238, 0.6214, 0.6214, 14825.763037204742
42, 0.6035, 0.6238, 0.6238, 15177.244743585587
43, 0.60386, 0.6244, 0.6244, 15529.031124591827
44, 0.60674, 0.6239, 0.6239, 15880.548926353455
45, 0.6052, 0.626, 0.626, 16233.611428260803
46, 0.61098, 0.6277, 0.6277, 16585.181280612946
47, 0.6096, 0.6298, 0.6298, 16937.91370654106
48, 0.61306, 0.6292, 0.6292, 17290.521641731262
49, 0.61596, 0.6323, 0.6323, 17643.087700605392
