round, train_acc, test_acc, f1, time_stamp
0, 0.11874, 0.1175, 0.1175, 574.6017470359802
1, 0.11392, 0.1139, 0.1139, 1123.2030980587006
2, 0.10742, 0.1065, 0.1065, 1625.3811383247375
3, 0.10262, 0.1021, 0.1021, 2127.7161757946014
4, 0.10208, 0.1019, 0.1019, 2630.111499071121
5, 0.10258, 0.103, 0.103, 3131.0527498722076
6, 0.10722, 0.1066, 0.1066, 3632.8862648010254
7, 0.12782, 0.13, 0.13, 4131.912603378296
8, 0.1632, 0.1679, 0.1679, 4628.693284988403
9, 0.18358, 0.1938, 0.1938, 5126.122308731079
10, 0.20986, 0.2233, 0.2233, 5624.2234354019165
11, 0.24132, 0.2542, 0.2542, 6121.940234184265
12, 0.24746, 0.2613, 0.2613, 6620.077293634415
13, 0.25354, 0.2689, 0.2689, 7117.583962202072
14, 0.25836, 0.2734, 0.2734, 7614.252468585968
15, 0.2629, 0.2784, 0.2784, 8111.46542930603
16, 0.27182, 0.2845, 0.2845, 8608.643162965775
17, 0.27422, 0.2932, 0.2932, 9105.530022382736
18, 0.27864, 0.2998, 0.2998, 9603.314252138138
19, 0.28426, 0.304, 0.304, 10100.797585725784
20, 0.292, 0.3113, 0.3113, 10598.458024978638
21, 0.29858, 0.3224, 0.3224, 11096.240705490112
22, 0.30848, 0.3325, 0.3325, 11593.541806936264
23, 0.31372, 0.3417, 0.3417, 12091.346129179
24, 0.32398, 0.3549, 0.3549, 12589.414347410202
25, 0.33292, 0.3649, 0.3649, 13087.195700883865
26, 0.34636, 0.3759, 0.3759, 13585.155912160873
27, 0.35256, 0.3843, 0.3843, 14082.912163972855
28, 0.35376, 0.3899, 0.3899, 14580.098575353622
29, 0.36104, 0.3906, 0.3906, 15076.764465808868
30, 0.36322, 0.4007, 0.4007, 15574.059728622437
31, 0.36726, 0.4032, 0.4032, 16071.162598848343
32, 0.37186, 0.4075, 0.4075, 16568.122384786606
33, 0.37374, 0.4117, 0.4117, 17065.52610898018
34, 0.37776, 0.4174, 0.4174, 17563.214725255966
35, 0.38318, 0.4189, 0.4189, 18059.143996477127
36, 0.38598, 0.4199, 0.4199, 18555.73154258728
37, 0.3874, 0.425, 0.425, 19052.757393598557
38, 0.39236, 0.4252, 0.4252, 19550.240472316742
39, 0.39566, 0.4307, 0.4307, 20047.4502723217
40, 0.39936, 0.4346, 0.4346, 20543.964354753494
41, 0.4034, 0.4373, 0.4373, 21040.41456055641
42, 0.40788, 0.4414, 0.4414, 21536.984498500824
43, 0.40854, 0.4449, 0.4449, 22033.866953134537
44, 0.41326, 0.4503, 0.4503, 22529.470696926117
45, 0.41476, 0.4524, 0.4524, 23025.715550899506
46, 0.41842, 0.4562, 0.4562, 23522.35796070099
47, 0.42154, 0.4599, 0.4599, 24021.07471179962
48, 0.4215, 0.4609, 0.4609, 24520.51736187935
49, 0.42256, 0.4631, 0.4631, 25018.389801979065
