,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.25288,0.2628,"[[306, 55, 65, 19, 10, 70, 25, 17, 226, 207], [28, 190, 47, 11, 14, 164, 100, 26, 184, 236], [95, 52, 96, 30, 77, 245, 211, 41, 41, 112], [32, 33, 63, 88, 76, 341, 156, 55, 17, 139], [24, 30, 68, 45, 117, 203, 346, 45, 21, 101], [35, 50, 58, 83, 80, 384, 144, 48, 28, 90], [11, 33, 41, 25, 63, 240, 453, 58, 2, 74], [20, 77, 43, 58, 85, 178, 123, 93, 30, 293], [70, 60, 49, 13, 4, 116, 4, 11, 366, 307], [20, 71, 27, 14, 22, 60, 66, 26, 159, 535]]"
1,1,0.28096,0.2984,"[[498, 38, 0, 10, 7, 28, 35, 45, 231, 108], [98, 217, 0, 9, 10, 76, 97, 63, 272, 158], [186, 52, 0, 40, 85, 149, 286, 100, 37, 65], [94, 30, 2, 86, 58, 247, 228, 132, 45, 78], [89, 8, 0, 40, 156, 103, 406, 114, 32, 52], [86, 43, 1, 71, 70, 298, 211, 108, 63, 49], [35, 18, 0, 26, 64, 109, 586, 112, 6, 44], [66, 57, 0, 54, 96, 100, 138, 256, 46, 187], [214, 41, 0, 8, 1, 68, 10, 27, 477, 154], [73, 49, 0, 18, 7, 36, 70, 60, 277, 410]]"
2,2,0.3103,0.3377,"[[601, 43, 4, 7, 15, 13, 45, 63, 122, 87], [121, 323, 4, 3, 11, 27, 111, 47, 133, 220], [188, 46, 13, 43, 146, 75, 324, 107, 18, 40], [103, 27, 9, 62, 57, 183, 335, 142, 15, 67], [104, 9, 6, 30, 242, 59, 402, 109, 14, 25], [108, 33, 9, 49, 71, 263, 288, 117, 24, 38], [25, 15, 6, 15, 86, 41, 676, 95, 6, 35], [71, 48, 6, 29, 115, 68, 173, 366, 20, 104], [308, 60, 1, 3, 2, 42, 24, 37, 361, 162], [107, 75, 2, 8, 7, 11, 96, 85, 139, 470]]"
3,3,0.3348,0.3626,"[[535, 67, 13, 12, 9, 6, 62, 131, 85, 80], [45, 472, 1, 13, 1, 8, 74, 70, 48, 268], [99, 43, 30, 82, 78, 32, 370, 228, 14, 24], [40, 24, 10, 122, 6, 78, 394, 250, 13, 63], [57, 17, 4, 28, 100, 6, 499, 252, 16, 21], [27, 34, 7, 112, 13, 169, 346, 253, 9, 30], [6, 7, 2, 25, 27, 9, 765, 121, 2, 36], [26, 39, 3, 35, 21, 30, 163, 619, 10, 54], [272, 97, 4, 12, 5, 21, 47, 71, 324, 147], [48, 146, 1, 19, 0, 5, 89, 148, 54, 490]]"
4,4,0.3799,0.4162,"[[523, 53, 33, 30, 15, 14, 48, 93, 120, 71], [35, 480, 2, 29, 6, 25, 49, 65, 72, 237], [65, 27, 105, 129, 80, 91, 259, 204, 21, 19], [18, 25, 29, 256, 5, 205, 233, 152, 17, 60], [42, 12, 38, 67, 143, 33, 372, 246, 28, 19], [11, 22, 19, 184, 18, 347, 179, 175, 18, 27], [4, 5, 6, 73, 38, 33, 727, 78, 10, 26], [18, 28, 14, 74, 16, 77, 90, 628, 17, 38], [182, 86, 19, 17, 11, 39, 32, 40, 468, 106], [39, 145, 5, 45, 3, 26, 51, 120, 81, 485]]"
5,5,0.40702,0.4426,"[[408, 82, 33, 28, 24, 12, 46, 47, 252, 68], [16, 564, 1, 24, 8, 21, 28, 35, 117, 186], [51, 26, 143, 122, 183, 113, 185, 108, 37, 32], [14, 37, 29, 253, 23, 234, 217, 91, 26, 76], [42, 22, 42, 61, 314, 59, 247, 135, 48, 30], [8, 30, 23, 200, 37, 385, 153, 97, 31, 36], [0, 10, 9, 94, 135, 52, 620, 37, 14, 29], [18, 50, 15, 90, 49, 90, 74, 531, 25, 58], [60, 90, 11, 20, 9, 34, 26, 14, 659, 77], [13, 176, 3, 37, 5, 24, 30, 42, 121, 549]]"
6,6,0.41882,0.4612,"[[478, 69, 24, 20, 32, 7, 54, 37, 200, 79], [18, 571, 1, 18, 10, 11, 34, 35, 114, 188], [80, 22, 186, 99, 167, 68, 216, 98, 34, 30], [26, 40, 42, 242, 41, 165, 272, 73, 34, 65], [43, 20, 55, 54, 343, 34, 265, 117, 44, 25], [9, 32, 50, 189, 41, 327, 192, 102, 29, 29], [3, 15, 24, 51, 102, 30, 717, 27, 8, 23], [22, 48, 22, 60, 52, 88, 80, 556, 22, 50], [84, 80, 11, 19, 16, 18, 29, 13, 635, 95], [19, 187, 2, 23, 6, 12, 47, 46, 101, 557]]"
7,7,0.41154,0.4488,"[[546, 81, 15, 13, 17, 5, 57, 36, 154, 76], [29, 649, 3, 9, 6, 5, 39, 27, 90, 143], [104, 41, 210, 71, 69, 46, 288, 112, 28, 31], [40, 46, 46, 210, 11, 137, 314, 105, 26, 65], [70, 29, 55, 43, 172, 19, 410, 142, 36, 24], [23, 63, 69, 166, 7, 236, 231, 147, 21, 37], [4, 18, 26, 33, 25, 19, 808, 34, 9, 24], [33, 56, 21, 50, 24, 49, 107, 588, 14, 58], [157, 129, 7, 6, 6, 9, 24, 18, 545, 99], [24, 227, 2, 12, 3, 7, 61, 57, 83, 524]]"
8,8,0.41268,0.4462,"[[503, 59, 31, 7, 20, 14, 59, 50, 184, 73], [35, 600, 5, 5, 8, 9, 33, 29, 122, 154], [79, 33, 218, 49, 55, 52, 342, 117, 33, 22], [27, 36, 51, 171, 12, 145, 376, 101, 29, 52], [51, 21, 57, 29, 145, 17, 474, 147, 38, 21], [22, 37, 72, 117, 12, 273, 284, 127, 19, 37], [4, 13, 24, 19, 25, 19, 831, 33, 12, 20], [21, 36, 27, 42, 26, 55, 134, 600, 16, 43], [115, 96, 9, 5, 10, 12, 32, 25, 623, 73], [31, 205, 4, 9, 3, 12, 59, 60, 119, 498]]"
9,9,0.42542,0.462,"[[438, 58, 36, 14, 33, 16, 35, 49, 235, 86], [15, 587, 5, 2, 15, 16, 19, 30, 140, 171], [65, 31, 227, 56, 126, 103, 192, 122, 50, 28], [19, 28, 39, 189, 31, 241, 245, 113, 34, 61], [40, 22, 58, 28, 307, 51, 243, 175, 44, 32], [13, 26, 55, 130, 36, 393, 152, 132, 25, 38], [2, 13, 26, 50, 95, 47, 678, 49, 15, 25], [18, 34, 20, 50, 55, 83, 57, 609, 15, 59], [71, 93, 7, 6, 17, 24, 16, 19, 686, 61], [20, 203, 2, 14, 11, 19, 33, 40, 152, 506]]"
