round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 254.91983366012573
1, 0.1, 0.1, 0.1, 508.99767661094666
2, 0.1, 0.1, 0.1, 763.5747139453888
3, 0.1, 0.1, 0.1, 1017.633599281311
4, 0.1, 0.1, 0.1, 1272.6938028335571
5, 0.1, 0.1, 0.1, 1528.7544453144073
6, 0.1, 0.1, 0.1, 1784.1382019519806
7, 0.10002, 0.1, 0.1, 2040.9242103099823
8, 0.1, 0.1, 0.1, 2298.029415845871
9, 0.1, 0.1, 0.1, 2558.1029431819916
10, 0.1, 0.1, 0.1, 2817.8712742328644
11, 0.1, 0.1, 0.1, 3073.0846450328827
12, 0.1, 0.1, 0.1, 3328.43856549263
13, 0.10002, 0.1, 0.1, 3584.9390964508057
14, 0.09998, 0.1, 0.1, 3841.700457572937
15, 0.10002, 0.1, 0.1, 4098.174907207489
16, 0.1, 0.1, 0.1, 4354.761127710342
17, 0.1, 0.1, 0.1, 4611.587180376053
18, 0.1, 0.1, 0.1, 4868.968011856079
19, 0.09998, 0.1, 0.1, 5129.076489448547
20, 0.1, 0.1, 0.1, 5391.657762527466
21, 0.10004, 0.1, 0.1, 5657.730571269989
22, 0.10014, 0.1, 0.1, 5941.368832349777
23, 0.09998, 0.1001, 0.1001, 6209.91104888916
24, 0.10002, 0.1002, 0.1002, 6471.873450994492
25, 0.10004, 0.1001, 0.1001, 6726.728912830353
26, 0.10014, 0.1, 0.1, 6979.906834125519
27, 0.10032, 0.0997, 0.0997, 7232.704099178314
28, 0.1003, 0.0999, 0.0999, 7486.877053976059
29, 0.10066, 0.1001, 0.1001, 7740.801023721695
30, 0.10114, 0.1006, 0.1006, 7994.298019170761
31, 0.10194, 0.1014, 0.1014, 8248.116637945175
32, 0.10288, 0.1024, 0.1024, 8501.997691392899
33, 0.104, 0.1039, 0.1039, 8755.742790460587
34, 0.10566, 0.1065, 0.1065, 9009.827033519745
35, 0.10708, 0.1078, 0.1078, 9264.425740242004
36, 0.11022, 0.1105, 0.1105, 9518.499013900757
37, 0.11298, 0.1138, 0.1138, 9772.868976593018
38, 0.11638, 0.1176, 0.1176, 10027.104355812073
39, 0.11988, 0.1221, 0.1221, 10281.107177257538
40, 0.12368, 0.1264, 0.1264, 10535.067090511322
41, 0.1259, 0.1288, 0.1288, 10788.665721654892
42, 0.13028, 0.132, 0.132, 11042.682890892029
43, 0.13336, 0.1349, 0.1349, 11297.019543170929
44, 0.1347, 0.1371, 0.1371, 11550.534502506256
45, 0.13506, 0.1372, 0.1372, 11804.113242864609
46, 0.13408, 0.1384, 0.1384, 12058.787617444992
47, 0.1342, 0.1378, 0.1378, 12312.22410082817
48, 0.13292, 0.1365, 0.1365, 12566.465268611908
49, 0.13092, 0.1352, 0.1352, 12821.709299325943
