round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 3311.447311401367
1, 0, 0.1, 0, 6656.241651773453
2, 0, 0.1, 0, 9818.43345117569
3, 0, 0.1, 0, 12558.632871627808
4, 0, 0.1, 0, 15298.899558782578
5, 0, 0.1, 0, 18040.166387557983
6, 0, 0.1, 0, 20778.26059818268
7, 0, 0.1, 0, 23517.603997945786
8, 0, 0.1, 0, 26260.091497659683
9, 0, 0.1, 0, 28997.98242855072
10, 0, 0.1, 0, 31736.635894060135
11, 0, 0.1, 0, 34478.87868189812
12, 0, 0.1, 0, 37220.768527030945
13, 0, 0.1083, 0, 39958.01518344879
14, 0, 0.1402, 0, 42699.04246354103
15, 0, 0.1567, 0, 45437.328632593155
16, 0, 0.1372, 0, 48177.77838754654
17, 0, 0.1335, 0, 50917.97885966301
18, 0, 0.1263, 0, 53655.25341296196
19, 0, 0.1361, 0, 56393.92422437668
20, 0, 0.1435, 0, 59134.004657030106
21, 0, 0.1577, 0, 61873.64586186409
22, 0, 0.1756, 0, 64616.20260453224
23, 0, 0.1691, 0, 67358.19902515411
24, 0, 0.1725, 0, 70096.05961632729
25, 0, 0.1734, 0, 72826.92797756195
26, 0, 0.1958, 0, 75565.57658791542
27, 0, 0.1928, 0, 78294.74306631088
28, 0, 0.2081, 0, 81046.19199991226
29, 0, 0.2248, 0, 83809.75599718094
30, 0, 0.236, 0, 86568.22591781616
31, 0, 0.2355, 0, 89342.80069541931
32, 0, 0.2389, 0, 92097.41909956932
33, 0, 0.2417, 0, 94843.11363005638
34, 0, 0.2459, 0, 97596.68582606316
35, 0, 0.2415, 0, 100387.6806628704
36, 0, 0.2432, 0, 103273.85343146324
37, 0, 0.2468, 0, 106294.75220251083
38, 0, 0.2505, 0, 109286.3618068695
39, 0, 0.2459, 0, 112142.9972794056
40, 0, 0.2552, 0, 114963.34956789017
41, 0, 0.2654, 0, 117844.24302124977
42, 0, 0.2638, 0, 120749.29297733307
43, 0, 0.2688, 0, 123717.77291584015
44, 0, 0.2635, 0, 126695.99872899055
45, 0, 0.2716, 0, 129640.61974143982
46, 0, 0.2736, 0, 132521.15498685837
47, 0, 0.2723, 0, 135319.66360259056
48, 0, 0.2806, 0, 138063.1035797596
49, 0, 0.2812, 0, 140807.92828655243
