,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.2168,0,0
1,1,5,0,0.2756,0,0
2,2,5,0,0.3106,0,0
3,3,5,0,0.3435,0,0
4,4,5,0,0.3881,0,0
5,5,5,0,0.4094,0,0
6,6,5,0,0.4229,0,0
7,7,5,0,0.4559,0,0
8,8,5,0,0.4723,0,0
9,9,5,0,0.4844,0,0
10,10,5,0,0.4996,0,0
11,11,5,0,0.5075,0,0
12,12,5,0,0.5131,0,0
13,13,5,0,0.5216,0,0
14,14,5,0,0.5228,0,0
15,15,5,0,0.5259,0,0
16,16,5,0,0.5348,0,0
17,17,5,0,0.5388,0,0
18,18,5,0,0.5464,0,0
19,19,5,0,0.5437,0,0
20,20,5,0,0.545,0,0
21,21,5,0,0.5508,0,0
22,22,5,0,0.5568,0,0
23,23,5,0,0.5589,0,0
24,24,5,0,0.5647,0,0
25,25,5,0,0.5653,0,0
26,26,5,0,0.5688,0,0
27,27,5,0,0.5716,0,0
28,28,5,0,0.575,0,0
29,29,5,0,0.5794,0,0
30,30,5,0,0.5777,0,0
31,31,5,0,0.5858,0,0
32,32,5,0,0.5873,0,0
33,33,5,0,0.5883,0,0
34,34,5,0,0.5914,0,0
35,35,5,0,0.5944,0,0
36,36,5,0,0.6021,0,0
37,37,5,0,0.6005,0,0
38,38,5,0,0.6027,0,0
39,39,5,0,0.6034,0,0
40,40,5,0,0.6051,0,0
41,41,5,0,0.6064,0,0
42,42,5,0,0.6079,0,0
43,43,5,0,0.6126,0,0
44,44,5,0,0.6171,0,0
45,45,5,0,0.6163,0,0
46,46,5,0,0.6184,0,0
47,47,5,0,0.6187,0,0
48,48,5,0,0.6224,0,0
49,49,5,0,0.6254,0,0
