round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 592.6840801239014
1, 0.09992, 0.1, 0.1, 1185.0556001663208
2, 0.1, 0.1005, 0.1005, 1776.5186731815338
3, 0.1, 0.1, 0.1, 2368.727257490158
4, 0.1, 0.1, 0.1, 2961.0871562957764
5, 0.1, 0.1, 0.1, 3554.1957082748413
6, 0.1, 0.1, 0.1, 4146.189390659332
7, 0.1, 0.1, 0.1, 4737.84174990654
8, 0.1, 0.1, 0.1, 5329.428271770477
9, 0.1, 0.1, 0.1, 5921.012619495392
10, 0.1, 0.1, 0.1, 6513.25222826004
11, 0.1, 0.1, 0.1, 7103.738408088684
12, 0.1, 0.1, 0.1, 7695.577924966812
13, 0.1, 0.1, 0.1, 8287.361100435257
14, 0.1, 0.1, 0.1, 8880.897752285004
15, 0.1, 0.1, 0.1, 9472.99797463417
16, 0.1, 0.1, 0.1, 10066.041203975677
17, 0.1, 0.1, 0.1, 10659.35183095932
18, 0.1, 0.1, 0.1, 11252.877626180649
19, 0.1, 0.1, 0.1, 11845.991075515747
20, 0.1, 0.1, 0.1, 12439.324301242828
21, 0.1, 0.1, 0.1, 13032.800552845001
22, 0.1, 0.1, 0.1, 13626.647619724274
23, 0.1, 0.1, 0.1, 14220.277963399887
24, 0.1, 0.1, 0.1, 14814.02102637291
25, 0.1, 0.1, 0.1, 15407.59195137024
26, 0.1, 0.1, 0.1, 16001.106432437897
27, 0.1, 0.1, 0.1, 16594.30898499489
28, 0.1, 0.1, 0.1, 17188.02614545822
29, 0.1, 0.1, 0.1, 17782.06438088417
30, 0.1, 0.1, 0.1, 18376.026165485382
31, 0.1, 0.1, 0.1, 18970.047597169876
32, 0.1, 0.1, 0.1, 19563.780856370926
33, 0.1, 0.1, 0.1, 20157.067559719086
34, 0.1, 0.1, 0.1, 20751.7219851017
35, 0.1, 0.1, 0.1, 21345.35816669464
36, 0.1, 0.1, 0.1, 21938.761966705322
37, 0.1, 0.1, 0.1, 22530.894855499268
38, 0.1, 0.1, 0.1, 23124.111937999725
39, 0.1, 0.1, 0.1, 23716.21445441246
40, 0.1, 0.1, 0.1, 24308.465816259384
41, 0.1, 0.1, 0.1, 24901.542083501816
42, 0.1, 0.1, 0.1, 25494.631113529205
43, 0.1, 0.1, 0.1, 26087.572741031647
44, 0.1, 0.1, 0.1, 26680.620224952698
45, 0.1, 0.1, 0.1, 27272.954317092896
46, 0.1, 0.1, 0.1, 27865.777569055557
47, 0.1, 0.1, 0.1, 28458.058231830597
48, 0.1, 0.1, 0.1, 29050.162848711014
49, 0.1, 0.1, 0.1, 29642.709823846817
