round, train_acc, test_acc, f1, time_stamp
0, 0.27156, 0.287, 0.287, 579.1537618637085
1, 0.35884, 0.3939, 0.3939, 1023.1030387878418
2, 0.4222, 0.4596, 0.4596, 1439.6696727275848
3, 0.44802, 0.4918, 0.4918, 1827.3818852901459
4, 0.46978, 0.5098, 0.5098, 2215.348768234253
5, 0.48764, 0.5273, 0.5273, 2604.4119708538055
6, 0.502, 0.5391, 0.5391, 2992.3516471385956
7, 0.51622, 0.5493, 0.5493, 3383.1159722805023
8, 0.52402, 0.5563, 0.5563, 3758.580274105072
9, 0.5336, 0.5665, 0.5665, 4134.254046678543
10, 0.54394, 0.5731, 0.5731, 4509.047010421753
11, 0.55398, 0.583, 0.583, 4883.660528182983
12, 0.56248, 0.5909, 0.5909, 5258.616989612579
13, 0.56766, 0.5972, 0.5972, 5635.123177051544
14, 0.57342, 0.5958, 0.5958, 6008.0938766002655
15, 0.58126, 0.6025, 0.6025, 6379.437360286713
16, 0.58706, 0.6076, 0.6076, 6750.730944633484
17, 0.5928, 0.6122, 0.6122, 7122.831506967545
18, 0.59832, 0.6163, 0.6163, 7495.425931930542
19, 0.60032, 0.6217, 0.6217, 7867.308918714523
20, 0.60652, 0.6223, 0.6223, 8238.749687194824
21, 0.60674, 0.627, 0.627, 8611.100396156311
22, 0.609, 0.6313, 0.6313, 8984.371668338776
23, 0.6138, 0.6324, 0.6324, 9356.818167209625
24, 0.62078, 0.6363, 0.6363, 9730.066856622696
25, 0.62184, 0.6395, 0.6395, 10103.975449323654
26, 0.62578, 0.643, 0.643, 10477.941452980042
27, 0.62828, 0.6421, 0.6421, 10851.970229625702
28, 0.63084, 0.6412, 0.6412, 11225.874291181564
29, 0.63308, 0.6427, 0.6427, 11598.410146713257
30, 0.63608, 0.6389, 0.6389, 11971.74661064148
31, 0.6401, 0.6484, 0.6484, 12345.434849262238
32, 0.63744, 0.6472, 0.6472, 12718.33520913124
33, 0.64156, 0.6508, 0.6508, 13092.022782802582
34, 0.643, 0.652, 0.652, 13464.35769534111
35, 0.64454, 0.6513, 0.6513, 13836.458061695099
36, 0.64724, 0.6522, 0.6522, 14209.169713020325
37, 0.64724, 0.6556, 0.6556, 14581.499604225159
38, 0.64538, 0.6563, 0.6563, 14954.274448394775
39, 0.65016, 0.6563, 0.6563, 15327.319730043411
40, 0.6556, 0.6566, 0.6566, 15699.65291428566
41, 0.65566, 0.6552, 0.6552, 16072.244079351425
42, 0.65402, 0.6586, 0.6586, 16444.718676805496
43, 0.65646, 0.6563, 0.6563, 16818.51396870613
44, 0.65482, 0.6602, 0.6602, 17191.090239048004
45, 0.66156, 0.6644, 0.6644, 17563.41796064377
46, 0.66248, 0.6594, 0.6594, 17936.290585756302
47, 0.66078, 0.664, 0.664, 18308.816189050674
48, 0.66122, 0.6654, 0.6654, 18681.483821630478
49, 0.66204, 0.6669, 0.6669, 19054.345492601395
