,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.32466,0.3542,0.3542,"[[257, 53, 3, 19, 13, 20, 43, 55, 438, 99], [6, 366, 1, 17, 5, 18, 94, 25, 256, 212], [69, 46, 22, 82, 216, 58, 281, 103, 91, 32], [34, 25, 10, 145, 117, 129, 285, 133, 55, 67], [30, 10, 7, 60, 308, 46, 359, 93, 51, 36], [20, 33, 12, 94, 152, 263, 231, 104, 64, 27], [5, 15, 7, 57, 118, 21, 662, 69, 16, 30], [24, 37, 7, 41, 174, 74, 108, 384, 52, 99], [36, 52, 0, 30, 5, 30, 26, 23, 653, 145], [10, 90, 1, 24, 7, 11, 91, 37, 247, 482]]"
1,1,20,0.4457,0.4862,0.4862,"[[480, 77, 57, 18, 15, 11, 22, 26, 222, 72], [12, 682, 8, 10, 6, 13, 19, 13, 82, 155], [71, 37, 357, 78, 128, 75, 112, 83, 31, 28], [23, 45, 82, 320, 31, 171, 174, 69, 18, 67], [46, 34, 145, 55, 355, 35, 168, 111, 32, 19], [17, 27, 103, 184, 34, 392, 106, 90, 23, 24], [3, 19, 90, 89, 118, 24, 583, 32, 12, 30], [27, 40, 49, 67, 66, 84, 35, 555, 17, 60], [110, 104, 13, 17, 6, 17, 10, 15, 608, 100], [22, 231, 8, 28, 5, 9, 29, 37, 101, 530]]"
2,2,20,0.48336,0.5229,0.5229,"[[519, 64, 67, 10, 17, 10, 31, 18, 194, 70], [15, 696, 11, 9, 5, 8, 15, 11, 79, 151], [64, 28, 384, 81, 137, 70, 116, 69, 32, 19], [23, 34, 74, 331, 38, 167, 190, 63, 29, 51], [33, 34, 127, 62, 386, 37, 157, 107, 37, 20], [13, 20, 87, 182, 45, 389, 118, 96, 29, 21], [2, 18, 69, 67, 96, 23, 653, 29, 14, 29], [27, 22, 37, 65, 58, 78, 40, 609, 17, 47], [88, 86, 13, 12, 5, 13, 14, 9, 691, 69], [24, 229, 8, 14, 7, 6, 33, 32, 76, 571]]"
3,3,20,0.50864,0.5454,0.5454,"[[560, 61, 52, 19, 16, 9, 29, 24, 157, 73], [16, 732, 7, 10, 7, 8, 13, 13, 50, 144], [61, 23, 393, 84, 149, 68, 107, 63, 28, 24], [20, 29, 64, 363, 46, 171, 167, 70, 26, 44], [31, 24, 112, 56, 425, 43, 146, 117, 29, 17], [10, 18, 70, 202, 44, 409, 107, 100, 22, 18], [4, 22, 55, 64, 100, 26, 674, 20, 11, 24], [21, 22, 31, 59, 64, 82, 40, 630, 10, 41], [87, 94, 8, 10, 13, 15, 12, 11, 677, 73], [27, 230, 4, 18, 6, 8, 28, 29, 59, 591]]"
4,4,20,0.5307,0.5626,0.5626,"[[598, 48, 51, 18, 18, 4, 24, 24, 141, 74], [25, 728, 13, 10, 6, 4, 13, 10, 52, 139], [66, 21, 431, 80, 129, 61, 99, 63, 30, 20], [29, 28, 67, 395, 52, 155, 147, 66, 29, 32], [33, 20, 129, 59, 445, 34, 125, 111, 33, 11], [13, 11, 78, 230, 47, 393, 92, 92, 24, 20], [5, 15, 63, 62, 113, 22, 678, 15, 10, 17], [21, 16, 35, 66, 63, 66, 39, 646, 12, 36], [87, 82, 7, 16, 12, 10, 10, 12, 712, 52], [30, 220, 5, 18, 7, 6, 25, 27, 62, 600]]"
5,5,20,0.54736,0.572,0.572,"[[592, 61, 61, 17, 20, 7, 33, 25, 130, 54], [29, 748, 14, 11, 6, 5, 16, 9, 41, 121], [62, 19, 420, 74, 124, 66, 135, 57, 24, 19], [25, 23, 59, 370, 51, 188, 178, 54, 25, 27], [31, 16, 109, 60, 446, 39, 161, 101, 28, 9], [12, 9, 70, 196, 43, 450, 110, 77, 18, 15], [4, 11, 51, 44, 80, 17, 757, 15, 8, 13], [19, 14, 30, 61, 62, 85, 50, 643, 9, 27], [87, 85, 14, 24, 12, 17, 12, 7, 692, 50], [26, 221, 7, 22, 5, 5, 34, 21, 57, 602]]"
6,6,20,0.56142,0.5868,0.5868,"[[606, 47, 54, 20, 17, 6, 26, 18, 140, 66], [23, 738, 15, 9, 3, 5, 19, 8, 43, 137], [70, 16, 435, 81, 111, 69, 123, 44, 29, 22], [22, 22, 59, 423, 51, 167, 146, 46, 30, 34], [30, 12, 108, 70, 442, 40, 159, 98, 32, 9], [17, 7, 76, 200, 40, 460, 97, 62, 21, 20], [3, 8, 46, 64, 67, 16, 759, 11, 9, 17], [19, 13, 31, 64, 62, 78, 47, 631, 11, 44], [86, 69, 12, 23, 9, 10, 10, 5, 720, 56], [27, 177, 8, 20, 5, 7, 26, 22, 54, 654]]"
7,7,20,0.57774,0.5947,0.5947,"[[610, 45, 45, 20, 20, 10, 19, 17, 148, 66], [25, 758, 9, 9, 6, 5, 13, 10, 46, 119], [71, 19, 430, 88, 123, 60, 105, 52, 33, 19], [26, 23, 53, 420, 59, 171, 138, 48, 29, 33], [31, 11, 101, 65, 476, 39, 127, 108, 30, 12], [14, 9, 58, 215, 50, 467, 75, 65, 23, 24], [4, 14, 39, 81, 79, 15, 724, 16, 12, 16], [20, 9, 24, 63, 60, 77, 38, 658, 13, 38], [78, 65, 15, 17, 7, 13, 9, 5, 740, 51], [26, 184, 9, 20, 3, 4, 18, 17, 55, 664]]"
8,8,20,0.58576,0.6067,0.6067,"[[633, 39, 58, 22, 16, 10, 16, 17, 140, 49], [26, 761, 17, 9, 2, 5, 14, 12, 41, 113], [66, 21, 515, 64, 79, 62, 101, 44, 28, 20], [25, 19, 77, 404, 48, 187, 136, 46, 29, 29], [32, 9, 134, 67, 436, 37, 138, 107, 30, 10], [14, 10, 81, 180, 37, 501, 75, 63, 20, 19], [5, 13, 60, 61, 57, 28, 740, 12, 7, 17], [23, 11, 31, 52, 58, 77, 39, 659, 12, 38], [81, 65, 11, 18, 9, 14, 8, 3, 746, 45], [29, 162, 11, 22, 3, 6, 23, 15, 57, 672]]"
9,9,20,0.59034,0.6096,0.6096,"[[656, 38, 56, 19, 16, 9, 20, 20, 124, 42], [28, 776, 15, 10, 3, 7, 15, 8, 44, 94], [63, 21, 496, 69, 88, 64, 113, 39, 25, 22], [25, 19, 76, 434, 55, 171, 132, 41, 29, 18], [29, 10, 124, 66, 460, 37, 137, 101, 26, 10], [13, 7, 77, 205, 38, 493, 80, 56, 16, 15], [7, 14, 54, 71, 49, 25, 751, 11, 5, 13], [23, 12, 32, 60, 66, 81, 40, 643, 12, 31], [87, 59, 13, 21, 9, 13, 9, 3, 743, 43], [37, 181, 12, 23, 4, 10, 22, 12, 55, 644]]"
