,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.4557,0,0
1,1,5,0,0.5451,0,0
2,2,5,0,0.5887,0,0
3,3,5,0,0.6118,0,0
4,4,5,0,0.6297,0,0
5,5,5,0,0.6372,0,0
6,6,5,0,0.6533,0,0
7,7,5,0,0.6571,0,0
8,8,5,0,0.6616,0,0
9,9,5,0,0.6665,0,0
10,10,5,0,0.6714,0,0
11,11,5,0,0.6738,0,0
12,12,5,0,0.6769,0,0
13,13,5,0,0.6818,0,0
14,14,5,0,0.6813,0,0
15,15,5,0,0.6852,0,0
16,16,5,0,0.6862,0,0
17,17,5,0,0.6859,0,0
18,18,5,0,0.687,0,0
19,19,5,0,0.6877,0,0
20,20,5,0,0.6908,0,0
21,21,5,0,0.6902,0,0
22,22,5,0,0.6945,0,0
23,23,5,0,0.6948,0,0
24,24,5,0,0.6943,0,0
25,25,5,0,0.6959,0,0
26,26,5,0,0.6969,0,0
27,27,5,0,0.6962,0,0
28,28,5,0,0.6977,0,0
29,29,5,0,0.6954,0,0
30,30,5,0,0.6981,0,0
31,31,5,0,0.7003,0,0
32,32,5,0,0.6993,0,0
33,33,5,0,0.6993,0,0
34,34,5,0,0.6998,0,0
35,35,5,0,0.7019,0,0
36,36,5,0,0.706,0,0
37,37,5,0,0.703,0,0
38,38,5,0,0.7012,0,0
39,39,5,0,0.7061,0,0
40,40,5,0,0.7034,0,0
41,41,5,0,0.7048,0,0
42,42,5,0,0.7071,0,0
43,43,5,0,0.7096,0,0
44,44,5,0,0.7071,0,0
45,45,5,0,0.7107,0,0
46,46,5,0,0.7086,0,0
47,47,5,0,0.7085,0,0
48,48,5,0,0.71,0,0
49,49,5,0,0.7124,0,0
