,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.0948,0.0974,"[[0, 0, 182, 0, 0, 0, 0, 818, 0, 0], [0, 0, 190, 0, 0, 0, 0, 810, 0, 0], [0, 0, 107, 0, 0, 0, 0, 893, 0, 0], [0, 0, 114, 0, 0, 0, 0, 886, 0, 0], [0, 0, 47, 0, 0, 0, 0, 953, 0, 0], [0, 0, 172, 0, 0, 0, 0, 828, 0, 0], [0, 0, 59, 0, 0, 0, 0, 941, 0, 0], [0, 0, 133, 0, 0, 0, 0, 867, 0, 0], [0, 0, 194, 0, 0, 0, 0, 806, 0, 0], [0, 0, 189, 0, 0, 0, 0, 811, 0, 0]]"
1,1,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,2,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
3,3,0.10004,0.0997,"[[0, 0, 996, 0, 0, 0, 0, 0, 4, 0], [0, 0, 962, 0, 0, 0, 0, 0, 38, 0], [0, 0, 984, 0, 0, 0, 0, 0, 16, 0], [0, 0, 982, 0, 0, 0, 0, 0, 18, 0], [0, 0, 994, 0, 0, 0, 0, 0, 6, 0], [0, 0, 967, 0, 0, 0, 0, 0, 33, 0], [0, 0, 984, 0, 0, 0, 0, 0, 16, 0], [0, 0, 988, 0, 0, 0, 0, 0, 12, 0], [0, 0, 987, 0, 0, 0, 0, 0, 13, 0], [0, 0, 992, 0, 0, 0, 0, 0, 8, 0]]"
4,4,0.13508,0.1394,"[[0, 0, 617, 0, 0, 0, 0, 0, 383, 0], [0, 0, 550, 0, 0, 0, 0, 0, 450, 0], [0, 0, 805, 0, 0, 0, 0, 0, 195, 0], [0, 0, 757, 0, 0, 0, 0, 0, 243, 0], [0, 0, 846, 0, 0, 0, 0, 0, 154, 0], [0, 0, 638, 0, 0, 0, 0, 0, 362, 0], [0, 0, 752, 0, 0, 0, 0, 0, 248, 0], [0, 0, 763, 0, 0, 0, 0, 0, 237, 0], [0, 0, 411, 0, 0, 0, 0, 0, 589, 0], [0, 0, 623, 0, 0, 0, 0, 0, 377, 0]]"
5,5,0.10438,0.1039,"[[1, 0, 16, 0, 0, 0, 0, 0, 983, 0], [0, 0, 24, 0, 0, 0, 0, 1, 975, 0], [0, 0, 48, 0, 0, 0, 0, 1, 951, 0], [0, 0, 100, 0, 0, 0, 0, 9, 891, 0], [0, 0, 82, 0, 0, 0, 0, 4, 914, 0], [1, 0, 75, 0, 0, 0, 0, 1, 923, 0], [0, 0, 67, 0, 0, 0, 0, 0, 933, 0], [0, 0, 91, 0, 0, 0, 0, 0, 909, 0], [0, 0, 10, 0, 0, 0, 0, 0, 990, 0], [0, 0, 16, 0, 0, 0, 0, 0, 984, 0]]"
6,6,0.15738,0.1607,"[[235, 2, 115, 18, 0, 0, 0, 9, 607, 14], [71, 3, 100, 54, 0, 0, 0, 11, 731, 30], [128, 3, 344, 45, 0, 1, 0, 20, 445, 14], [99, 1, 340, 111, 0, 1, 0, 49, 377, 22], [51, 0, 439, 103, 0, 1, 0, 26, 374, 6], [77, 2, 258, 110, 0, 2, 0, 37, 501, 13], [60, 1, 432, 80, 0, 0, 0, 23, 389, 15], [94, 0, 314, 80, 0, 1, 0, 37, 428, 46], [46, 1, 71, 48, 0, 0, 0, 2, 812, 20], [99, 0, 98, 14, 0, 0, 0, 15, 711, 63]]"
7,7,0.17622,0.1789,"[[210, 1, 31, 14, 0, 68, 0, 62, 597, 17], [39, 1, 29, 39, 0, 91, 2, 48, 716, 35], [144, 1, 137, 68, 0, 138, 0, 115, 383, 14], [77, 0, 85, 127, 0, 233, 2, 138, 310, 28], [61, 0, 149, 151, 0, 161, 5, 156, 306, 11], [66, 0, 56, 100, 0, 257, 0, 139, 365, 17], [50, 0, 153, 129, 0, 205, 2, 132, 309, 20], [81, 0, 45, 81, 0, 117, 1, 210, 400, 65], [44, 1, 11, 23, 0, 122, 0, 10, 766, 23], [51, 0, 24, 17, 0, 34, 0, 57, 738, 79]]"
8,8,0.21808,0.2288,"[[423, 33, 8, 59, 0, 11, 15, 37, 378, 36], [142, 99, 17, 72, 0, 37, 50, 41, 469, 73], [270, 28, 44, 220, 1, 28, 163, 89, 129, 28], [204, 24, 22, 300, 4, 83, 132, 109, 82, 40], [162, 17, 42, 231, 2, 20, 297, 116, 77, 36], [225, 22, 27, 229, 5, 132, 111, 120, 106, 23], [133, 29, 37, 196, 7, 59, 350, 109, 57, 23], [190, 47, 8, 178, 0, 37, 104, 176, 145, 115], [210, 32, 2, 70, 0, 43, 4, 8, 581, 50], [193, 29, 9, 39, 1, 9, 39, 59, 441, 181]]"
9,9,0.23456,0.2394,"[[209, 3, 27, 15, 0, 49, 35, 39, 542, 81], [57, 17, 17, 10, 0, 101, 107, 47, 547, 97], [84, 3, 70, 58, 0, 158, 331, 77, 172, 47], [44, 3, 62, 94, 0, 246, 278, 108, 104, 61], [48, 1, 55, 55, 0, 120, 518, 71, 79, 53], [60, 3, 51, 70, 0, 297, 274, 74, 135, 36], [17, 2, 53, 38, 0, 129, 608, 83, 35, 35], [46, 7, 43, 76, 0, 129, 231, 183, 130, 155], [86, 6, 16, 7, 0, 88, 12, 28, 652, 105], [43, 3, 33, 15, 0, 37, 82, 80, 443, 264]]"
