,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.08848,0.0921,"[[0, 0, 402, 0, 0, 0, 0, 598, 0, 0], [0, 0, 425, 0, 0, 0, 0, 575, 0, 0], [0, 0, 264, 0, 0, 0, 0, 736, 0, 0], [0, 0, 317, 0, 0, 0, 0, 683, 0, 0], [0, 0, 188, 0, 0, 0, 0, 812, 0, 0], [0, 0, 410, 0, 0, 0, 0, 590, 0, 0], [0, 0, 290, 0, 0, 0, 0, 710, 0, 0], [0, 0, 343, 0, 0, 0, 0, 657, 0, 0], [0, 0, 430, 0, 0, 0, 0, 570, 0, 0], [0, 0, 395, 0, 0, 0, 0, 605, 0, 0]]"
1,1,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
2,2,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
3,3,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 999, 0, 1, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
4,4,0.1001,0.1007,"[[0, 0, 996, 0, 4, 0, 0, 0, 0, 0], [0, 0, 988, 0, 12, 0, 0, 0, 0, 0], [0, 0, 978, 0, 22, 0, 0, 0, 0, 0], [0, 0, 977, 0, 23, 0, 0, 0, 0, 0], [0, 0, 971, 0, 29, 0, 0, 0, 0, 0], [0, 0, 985, 0, 15, 0, 0, 0, 0, 0], [0, 0, 991, 0, 9, 0, 0, 0, 0, 0], [0, 0, 994, 0, 6, 0, 0, 0, 0, 0], [0, 0, 997, 0, 3, 0, 0, 0, 0, 0], [0, 0, 990, 0, 10, 0, 0, 0, 0, 0]]"
5,5,0.10748,0.1118,"[[0, 0, 577, 0, 423, 0, 0, 0, 0, 0], [0, 0, 414, 0, 586, 0, 0, 0, 0, 0], [0, 0, 375, 0, 625, 0, 0, 0, 0, 0], [0, 0, 379, 0, 621, 0, 0, 0, 0, 0], [0, 0, 257, 0, 743, 0, 0, 0, 0, 0], [0, 0, 491, 0, 509, 0, 0, 0, 0, 0], [0, 0, 231, 0, 769, 0, 0, 0, 0, 0], [0, 0, 408, 0, 592, 0, 0, 0, 0, 0], [0, 0, 563, 0, 437, 0, 0, 0, 0, 0], [0, 0, 432, 0, 568, 0, 0, 0, 0, 0]]"
6,6,0.1086,0.112,"[[0, 0, 729, 0, 271, 0, 0, 0, 0, 0], [0, 0, 556, 0, 444, 0, 0, 0, 0, 0], [0, 0, 469, 0, 531, 0, 0, 0, 0, 0], [0, 0, 476, 0, 524, 0, 0, 0, 0, 0], [0, 0, 349, 0, 651, 0, 0, 0, 0, 0], [0, 0, 598, 0, 402, 0, 0, 0, 0, 0], [0, 0, 308, 0, 692, 0, 0, 0, 0, 0], [0, 0, 514, 0, 486, 0, 0, 0, 0, 0], [0, 0, 712, 0, 288, 0, 0, 0, 0, 0], [0, 0, 572, 0, 428, 0, 0, 0, 0, 0]]"
7,7,0.10452,0.1076,"[[0, 0, 256, 0, 744, 0, 0, 0, 0, 0], [0, 0, 122, 0, 878, 0, 0, 0, 0, 0], [0, 0, 112, 0, 888, 0, 0, 0, 0, 0], [0, 0, 97, 0, 903, 0, 0, 0, 0, 0], [0, 0, 36, 0, 964, 0, 0, 0, 0, 0], [0, 0, 169, 0, 831, 0, 0, 0, 0, 0], [0, 0, 19, 0, 981, 0, 0, 0, 0, 0], [0, 0, 93, 0, 907, 0, 0, 0, 0, 0], [0, 0, 228, 0, 772, 0, 0, 0, 0, 0], [0, 0, 143, 0, 857, 0, 0, 0, 0, 0]]"
8,8,0.11036,0.1136,"[[0, 0, 642, 0, 350, 0, 0, 0, 8, 0], [0, 0, 379, 0, 615, 0, 0, 0, 6, 0], [0, 0, 250, 0, 749, 0, 0, 0, 1, 0], [0, 0, 242, 0, 757, 0, 0, 0, 1, 0], [0, 0, 123, 0, 877, 0, 0, 0, 0, 0], [0, 0, 335, 0, 663, 0, 0, 0, 2, 0], [0, 0, 85, 0, 915, 0, 0, 0, 0, 0], [0, 0, 238, 0, 759, 0, 0, 0, 3, 0], [0, 0, 613, 0, 378, 0, 0, 0, 9, 0], [0, 0, 376, 0, 622, 0, 0, 0, 2, 0]]"
9,9,0.14598,0.1497,"[[1, 0, 480, 0, 137, 0, 0, 0, 382, 0], [1, 0, 391, 0, 332, 0, 0, 0, 276, 0], [0, 0, 303, 0, 621, 0, 0, 0, 76, 0], [0, 0, 344, 0, 616, 0, 0, 0, 40, 0], [0, 0, 198, 0, 784, 0, 0, 0, 18, 0], [0, 0, 392, 0, 522, 0, 0, 0, 86, 0], [0, 0, 155, 0, 842, 0, 0, 0, 3, 0], [0, 0, 344, 0, 607, 0, 0, 0, 49, 0], [0, 0, 474, 0, 117, 0, 0, 0, 409, 0], [1, 0, 490, 0, 329, 0, 0, 0, 180, 0]]"
