,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
1,1,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
2,2,20,0.0996,0.1001,0.1001,"[[0, 0, 0, 0, 9, 0, 0, 0, 0, 991], [0, 0, 0, 0, 8, 0, 0, 0, 0, 992], [0, 0, 0, 0, 5, 0, 0, 0, 0, 995], [0, 0, 0, 0, 9, 0, 0, 0, 0, 991], [0, 0, 0, 0, 5, 0, 0, 0, 0, 995], [0, 0, 0, 0, 3, 0, 0, 0, 0, 997], [0, 0, 0, 0, 1, 0, 0, 0, 0, 999], [0, 0, 0, 0, 12, 0, 0, 0, 0, 988], [0, 0, 0, 0, 10, 0, 0, 0, 0, 990], [0, 0, 0, 0, 4, 0, 0, 0, 0, 996]]"
3,3,20,0.11374,0.1113,0.1113,"[[0, 0, 0, 0, 529, 0, 0, 0, 0, 471], [0, 0, 0, 0, 387, 0, 0, 0, 0, 613], [0, 0, 0, 0, 487, 0, 0, 0, 0, 513], [0, 0, 0, 0, 491, 0, 0, 0, 0, 509], [0, 0, 0, 0, 483, 0, 0, 0, 0, 517], [0, 0, 0, 0, 386, 0, 0, 0, 0, 614], [0, 0, 0, 0, 444, 0, 0, 0, 0, 556], [0, 0, 0, 0, 444, 0, 0, 0, 0, 556], [0, 0, 0, 0, 539, 0, 0, 0, 0, 461], [0, 0, 1, 0, 369, 0, 0, 0, 0, 630]]"
4,4,20,0.11004,0.1124,0.1124,"[[0, 0, 0, 0, 926, 0, 0, 0, 0, 74], [0, 0, 0, 0, 856, 0, 0, 0, 0, 144], [0, 0, 0, 0, 943, 0, 0, 0, 0, 57], [0, 0, 0, 0, 919, 0, 0, 0, 0, 81], [0, 0, 0, 0, 967, 0, 0, 0, 0, 33], [0, 0, 0, 0, 865, 0, 0, 0, 0, 135], [0, 0, 0, 0, 942, 0, 0, 0, 0, 58], [0, 0, 0, 0, 903, 0, 0, 0, 0, 97], [0, 0, 0, 0, 930, 0, 0, 0, 0, 70], [0, 0, 1, 0, 842, 0, 0, 0, 0, 157]]"
5,5,20,0.1005,0.1003,0.1003,"[[0, 0, 0, 0, 997, 0, 0, 0, 0, 3], [0, 0, 0, 0, 991, 0, 0, 0, 0, 9], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 997, 0, 0, 0, 0, 3], [0, 0, 0, 0, 999, 0, 0, 0, 0, 1], [0, 0, 0, 0, 996, 0, 0, 0, 0, 4], [0, 0, 0, 0, 998, 0, 0, 0, 0, 2], [0, 0, 0, 0, 997, 0, 0, 0, 0, 3], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 3, 0, 993, 0, 0, 0, 0, 4]]"
6,6,20,0.10002,0.1,0.1,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 1, 0, 999, 0, 0, 0, 0, 0]]"
7,7,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 1, 0, 999, 0, 0, 0, 0, 0]]"
8,8,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 1, 0, 999, 0, 0, 0, 0, 0]]"
9,9,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 1, 0, 999, 0, 0, 0, 0, 0]]"
