round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 61.050551891326904
1, 0.1, 0.1, 0.1, 118.67321801185608
2, 0.0996, 0.1001, 0.1001, 177.56756353378296
3, 0.11374, 0.1113, 0.1113, 233.65615844726562
4, 0.11004, 0.1124, 0.1124, 290.4533143043518
5, 0.1005, 0.1003, 0.1003, 345.64703488349915
6, 0.10002, 0.1, 0.1, 401.99099469184875
7, 0.1, 0.1, 0.1, 459.21709418296814
8, 0.1, 0.1, 0.1, 515.5509660243988
9, 0.1, 0.1, 0.1, 572.4632699489594
10, 0.10002, 0.1, 0.1, 626.3938548564911
11, 0.10002, 0.1, 0.1, 681.6338269710541
12, 0.10002, 0.1, 0.1, 735.82737159729
13, 0.1, 0.1, 0.1, 790.951899766922
14, 0.10002, 0.1, 0.1, 845.3524532318115
15, 0.09998, 0.1, 0.1, 899.9925484657288
16, 0.1, 0.0999, 0.0999, 954.4311037063599
17, 0.1001, 0.0999, 0.0999, 1013.04771733284
18, 0.10006, 0.1, 0.1, 1071.7622773647308
19, 0.10002, 0.0998, 0.0998, 1129.5763704776764
20, 0.10008, 0.0998, 0.0998, 1186.7384524345398
21, 0.1002, 0.1007, 0.1007, 1240.991688489914
22, 0.10008, 0.1007, 0.1007, 1295.9797251224518
23, 0.10024, 0.1008, 0.1008, 1352.1182322502136
24, 0.10098, 0.1014, 0.1014, 1410.962217092514
25, 0.10086, 0.1019, 0.1019, 1475.7796483039856
26, 0.09972, 0.1019, 0.1019, 1568.6607854366302
27, 0.10354, 0.1022, 0.1022, 1662.728676557541
28, 0.10472, 0.1046, 0.1046, 1791.0371270179749
29, 0.10424, 0.1013, 0.1013, 1920.1063477993011
30, 0.108, 0.1103, 0.1103, 2047.3038685321808
31, 0.1111, 0.1112, 0.1112, 2174.5832436084747
32, 0.10458, 0.1018, 0.1018, 2299.694324016571
33, 0.10764, 0.1066, 0.1066, 2423.1219930648804
34, 0.12902, 0.1277, 0.1277, 2546.1387186050415
35, 0.14076, 0.1403, 0.1403, 2669.377604484558
36, 0.12848, 0.1303, 0.1303, 2794.001242876053
37, 0.14718, 0.147, 0.147, 2918.5356204509735
38, 0.14252, 0.1458, 0.1458, 3039.6880235671997
39, 0.14828, 0.1467, 0.1467, 3161.7191042900085
40, 0.14846, 0.1479, 0.1479, 3286.517751932144
41, 0.14912, 0.1498, 0.1498, 3408.073741674423
42, 0.15204, 0.1512, 0.1512, 3530.4188854694366
43, 0.15022, 0.1538, 0.1538, 3654.7534880638123
44, 0.15178, 0.152, 0.152, 3778.514751434326
45, 0.15322, 0.1548, 0.1548, 3900.0545110702515
46, 0.153, 0.1524, 0.1524, 4023.854943752289
47, 0.15336, 0.1555, 0.1555, 4146.6235435009
48, 0.15682, 0.1605, 0.1605, 4269.709625005722
49, 0.15354, 0.1569, 0.1569, 4392.55029296875
50, 0.15716, 0.1587, 0.1587, 4515.365393161774
51, 0.1577, 0.1576, 0.1576, 4637.842486143112
52, 0.15626, 0.1602, 0.1602, 4760.301317930222
53, 0.15642, 0.1587, 0.1587, 4882.121876478195
54, 0.15686, 0.1599, 0.1599, 5005.728907108307
55, 0.15866, 0.1604, 0.1604, 5126.129647254944
56, 0.1649, 0.1696, 0.1696, 5246.60652256012
57, 0.15884, 0.1605, 0.1605, 5370.686398267746
58, 0.16272, 0.1632, 0.1632, 5494.252803564072
59, 0.16238, 0.1647, 0.1647, 5614.703346729279
60, 0.16442, 0.1679, 0.1679, 5737.509866476059
61, 0.16268, 0.1683, 0.1683, 5858.654730319977
62, 0.16908, 0.1745, 0.1745, 5982.438260555267
63, 0.1617, 0.1636, 0.1636, 6104.440807104111
64, 0.1717, 0.1807, 0.1807, 6228.303347826004
65, 0.1614, 0.1619, 0.1619, 6350.645532369614
66, 0.17446, 0.1809, 0.1809, 6472.352232933044
67, 0.1623, 0.1655, 0.1655, 6593.4102239608765
68, 0.17862, 0.1889, 0.1889, 6715.042612552643
69, 0.16366, 0.1684, 0.1684, 6835.391249656677
70, 0.17798, 0.1851, 0.1851, 6955.933695793152
71, 0.1665, 0.1749, 0.1749, 7079.709182024002
72, 0.1738, 0.1827, 0.1827, 7198.3338458538055
73, 0.1684, 0.1746, 0.1746, 7318.252495765686
74, 0.17716, 0.1818, 0.1818, 7440.359070301056
75, 0.17268, 0.1844, 0.1844, 7562.2508890628815
76, 0.17694, 0.185, 0.185, 7682.615877389908
77, 0.1726, 0.1824, 0.1824, 7805.0768229961395
78, 0.17534, 0.1841, 0.1841, 7925.384074926376
79, 0.1725, 0.1795, 0.1795, 8045.112505674362
80, 0.17772, 0.1818, 0.1818, 8165.552534580231
81, 0.17954, 0.1859, 0.1859, 8286.714515209198
82, 0.17994, 0.1854, 0.1854, 8407.424869060516
83, 0.17254, 0.1838, 0.1838, 8528.898101091385
84, 0.1827, 0.1868, 0.1868, 8648.892356395721
85, 0.17306, 0.1831, 0.1831, 8768.840078830719
86, 0.1791, 0.1861, 0.1861, 8888.19044971466
87, 0.18092, 0.1855, 0.1855, 9007.918455123901
88, 0.18176, 0.189, 0.189, 9127.849771976471
89, 0.17952, 0.1852, 0.1852, 9247.619445800781
90, 0.18352, 0.1871, 0.1871, 9367.33371090889
91, 0.18258, 0.1888, 0.1888, 9488.01377749443
92, 0.18292, 0.193, 0.193, 9609.978333234787
93, 0.18214, 0.1861, 0.1861, 9728.04926776886
94, 0.18524, 0.1916, 0.1916, 9848.155564785004
95, 0.1849, 0.1857, 0.1857, 9967.127222299576
