,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.1,0,0
5,5,10,0,0.1,0,0
6,6,10,0,0.1,0,0
7,7,10,0,0.1,0,0
8,8,10,0,0.1,0,0
9,9,10,0,0.1,0,0
10,10,10,0,0.1,0,0
11,11,10,0,0.1,0,0
12,12,10,0,0.1,0,0
13,13,10,0,0.1,0,0
14,14,10,0,0.1,0,0
15,15,10,0,0.1,0,0
16,16,10,0,0.1,0,0
17,17,10,0,0.1,0,0
18,18,10,0,0.1,0,0
19,19,10,0,0.1,0,0
20,20,10,0,0.1,0,0
21,21,10,0,0.1,0,0
22,22,10,0,0.1,0,0
23,23,10,0,0.1,0,0
24,24,10,0,0.1,0,0
25,25,10,0,0.1,0,0
26,26,10,0,0.1,0,0
27,27,10,0,0.1,0,0
28,28,10,0,0.1,0,0
29,29,10,0,0.1,0,0
30,30,10,0,0.1,0,0
31,31,10,0,0.1,0,0
32,32,10,0,0.1,0,0
33,33,10,0,0.1006,0,0
34,34,10,0,0.1,0,0
35,35,10,0,0.1039,0,0
36,36,10,0,0.1017,0,0
37,37,10,0,0.1038,0,0
38,38,10,0,0.1165,0,0
39,39,10,0,0.111,0,0
40,40,10,0,0.1322,0,0
41,41,10,0,0.1375,0,0
42,42,10,0,0.142,0,0
43,43,10,0,0.1664,0,0
44,44,10,0,0.1606,0,0
45,45,10,0,0.1688,0,0
46,46,10,0,0.1709,0,0
47,47,10,0,0.1831,0,0
48,48,10,0,0.1746,0,0
49,49,10,0,0.1806,0,0
50,50,10,0,0.1789,0,0
51,51,10,0,0.177,0,0
52,52,10,0,0.1815,0,0
53,53,10,0,0.1844,0,0
54,54,10,0,0.1868,0,0
55,55,10,0,0.184,0,0
56,56,10,0,0.19,0,0
57,57,10,0,0.189,0,0
58,58,10,0,0.1932,0,0
59,59,10,0,0.1996,0,0
60,60,10,0,0.1977,0,0
61,61,10,0,0.2109,0,0
62,62,10,0,0.198,0,0
63,63,10,0,0.202,0,0
64,64,10,0,0.2105,0,0
65,65,10,0,0.2168,0,0
66,66,10,0,0.23,0,0
67,67,10,0,0.2194,0,0
68,68,10,0,0.2275,0,0
69,69,10,0,0.2139,0,0
70,70,10,0,0.2304,0,0
71,71,10,0,0.229,0,0
72,72,10,0,0.229,0,0
73,73,10,0,0.2292,0,0
74,74,10,0,0.2251,0,0
75,75,10,0,0.2261,0,0
76,76,10,0,0.2443,0,0
77,77,10,0,0.2411,0,0
78,78,10,0,0.2279,0,0
79,79,10,0,0.2374,0,0
80,80,10,0,0.2337,0,0
81,81,10,0,0.2383,0,0
82,82,10,0,0.2379,0,0
83,83,10,0,0.2336,0,0
84,84,10,0,0.2278,0,0
85,85,10,0,0.2432,0,0
86,86,10,0,0.246,0,0
87,87,10,0,0.234,0,0
88,88,10,0,0.25,0,0
89,89,10,0,0.2455,0,0
90,90,10,0,0.2604,0,0
91,91,10,0,0.256,0,0
92,92,10,0,0.258,0,0
93,93,10,0,0.2518,0,0
94,94,10,0,0.2575,0,0
95,95,10,0,0.2625,0,0
96,96,10,0,0.2551,0,0
97,97,10,0,0.248,0,0
98,98,10,0,0.2563,0,0
99,99,10,0,0.2646,0,0
100,100,10,0,0.2562,0,0
101,101,10,0,0.2573,0,0
102,102,10,0,0.2628,0,0
103,103,10,0,0.2567,0,0
104,104,10,0,0.2544,0,0
105,105,10,0,0.2653,0,0
106,106,10,0,0.2553,0,0
107,107,10,0,0.2544,0,0
108,108,10,0,0.2617,0,0
109,109,10,0,0.2611,0,0
110,110,10,0,0.2574,0,0
111,111,10,0,0.2577,0,0
