round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 20.957087755203247
1, 0, 0.1, 0, 42.032745599746704
2, 0, 0.1, 0, 62.93479561805725
3, 0, 0.1, 0, 83.84026384353638
4, 0, 0.1, 0, 104.66981530189514
5, 0, 0.1, 0, 125.54478764533997
6, 0, 0.1, 0, 146.43956422805786
7, 0, 0.1, 0, 167.81436347961426
8, 0, 0.1, 0, 188.64767575263977
9, 0, 0.1, 0, 209.31422400474548
10, 0, 0.1, 0, 229.88752365112305
11, 0, 0.1, 0, 250.3786859512329
12, 0, 0.1, 0, 272.8909912109375
13, 0, 0.1, 0, 294.34115743637085
14, 0, 0.1, 0, 315.37399458885193
15, 0, 0.1, 0, 336.8776807785034
16, 0, 0.1, 0, 357.9760739803314
17, 0, 0.1, 0, 379.402113199234
18, 0, 0.1, 0, 400.76001739501953
19, 0, 0.1, 0, 421.76282119750977
20, 0, 0.1, 0, 442.74394726753235
21, 0, 0.1, 0, 463.81798791885376
22, 0, 0.1, 0, 484.91678285598755
23, 0, 0.1, 0, 505.7819378376007
24, 0, 0.1, 0, 526.6595101356506
25, 0, 0.1, 0, 547.3447506427765
26, 0, 0.1, 0, 568.0735659599304
27, 0, 0.1, 0, 588.8605830669403
28, 0, 0.1, 0, 609.5909943580627
29, 0, 0.1, 0, 630.3690073490143
30, 0, 0.1, 0, 650.9040954113007
31, 0, 0.1, 0, 671.6220607757568
32, 0, 0.1, 0, 692.7312519550323
33, 0, 0.1, 0, 713.6148343086243
34, 0, 0.1, 0, 734.6235959529877
35, 0, 0.1, 0, 755.5316631793976
36, 0, 0.1, 0, 776.4321053028107
37, 0, 0.1, 0, 797.3245596885681
38, 0, 0.1, 0, 818.1686453819275
39, 0, 0.1, 0, 839.020870923996
40, 0, 0.1, 0, 859.7693071365356
41, 0, 0.1, 0, 880.3601460456848
42, 0, 0.1, 0, 902.0296719074249
43, 0, 0.1, 0, 923.9300303459167
44, 0, 0.1, 0, 945.0114784240723
45, 0, 0.1, 0, 966.3871862888336
46, 0, 0.1, 0, 987.6818518638611
47, 0, 0.1, 0, 1009.3408124446869
48, 0, 0.1, 0, 1030.3892195224762
49, 0, 0.1, 0, 1051.4796929359436
50, 0, 0.1, 0, 1072.814352273941
51, 0, 0.1, 0, 1093.5735728740692
52, 0, 0.1, 0, 1114.276471376419
53, 0, 0.1, 0, 1134.8955540657043
54, 0, 0.1, 0, 1155.5299372673035
55, 0, 0.1, 0, 1176.203664779663
56, 0, 0.1, 0, 1196.8688168525696
57, 0, 0.1, 0, 1217.3182730674744
58, 0, 0.1, 0, 1238.0149669647217
59, 0, 0.1, 0, 1259.014010667801
60, 0, 0.1, 0, 1279.922758102417
61, 0, 0.1, 0, 1300.7456786632538
62, 0, 0.1, 0, 1321.470563173294
63, 0, 0.1, 0, 1342.2348799705505
64, 0, 0.1, 0, 1363.007474899292
65, 0, 0.1, 0, 1383.7794063091278
66, 0, 0.1, 0, 1404.4619317054749
67, 0, 0.1, 0, 1425.8072755336761
68, 0, 0.1, 0, 1448.0952520370483
69, 0, 0.1, 0, 1469.2417862415314
70, 0, 0.1, 0, 1490.8655445575714
71, 0, 0.1, 0, 1511.9741060733795
72, 0, 0.1, 0, 1533.3787031173706
73, 0, 0.1, 0, 1554.2953321933746
74, 0, 0.1, 0, 1575.1752095222473
75, 0, 0.1, 0, 1596.0511572360992
76, 0, 0.1, 0, 1616.9661393165588
77, 0, 0.1, 0, 1637.653710603714
78, 0, 0.1, 0, 1658.377135515213
79, 0, 0.1, 0, 1679.0605478286743
80, 0, 0.1, 0, 1699.7345895767212
81, 0, 0.1, 0, 1720.4741168022156
82, 0, 0.1, 0, 1741.2062773704529
83, 0, 0.1, 0, 1761.8344569206238
84, 0, 0.1, 0, 1782.7304122447968
85, 0, 0.1, 0, 1803.5133254528046
86, 0, 0.1, 0, 1824.4121956825256
87, 0, 0.1, 0, 1845.260535955429
88, 0, 0.1, 0, 1866.1033883094788
89, 0, 0.1, 0, 1886.8472890853882
90, 0, 0.1, 0, 1907.4561948776245
91, 0, 0.1, 0, 1928.1378107070923
92, 0, 0.1, 0, 1948.743174314499
93, 0, 0.1, 0, 1971.4163615703583
94, 0, 0.1, 0, 1992.7498226165771
95, 0, 0.1, 0, 2014.2611467838287
96, 0, 0.1, 0, 2035.3618850708008
97, 0, 0.1, 0, 2057.1341626644135
98, 0, 0.1, 0, 2078.4186034202576
99, 0, 0.1, 0, 2099.359844684601
100, 0, 0.1, 0, 2120.24849152565
101, 0, 0.1, 0, 2141.225264787674
102, 0, 0.1, 0, 2161.8531465530396
103, 0, 0.1, 0, 2182.4445147514343
104, 0, 0.1, 0, 2203.1607673168182
105, 0, 0.1, 0, 2223.988672018051
106, 0, 0.1, 0, 2244.7872574329376
107, 0, 0.1, 0, 2265.453222513199
108, 0, 0.1, 0, 2286.144364595413
109, 0, 0.1, 0, 2307.3713245391846
110, 0, 0.1, 0, 2328.9544780254364
111, 0, 0.1, 0, 2350.122674703598
112, 0, 0.1, 0, 2371.306180715561
113, 0, 0.1, 0, 2392.5445640087128
