,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.09996,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 1, 999, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 1, 999, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
1,1,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0]]"
2,2,20,0.10012,0.1001,0.1001,"[[999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [998, 0, 2, 0, 0, 0, 0, 0, 0, 0], [994, 0, 6, 0, 0, 0, 0, 0, 0, 0], [999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [992, 0, 8, 0, 0, 0, 0, 0, 0, 0], [996, 0, 4, 0, 0, 0, 0, 0, 0, 0], [997, 0, 3, 0, 0, 0, 0, 0, 0, 0], [999, 0, 1, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
3,3,20,0.10186,0.1031,0.1031,"[[0, 34, 0, 0, 0, 966, 0, 0, 0, 0], [0, 36, 0, 0, 0, 964, 0, 0, 0, 0], [0, 8, 0, 0, 0, 992, 0, 0, 0, 0], [0, 5, 0, 0, 0, 995, 0, 0, 0, 0], [0, 4, 0, 0, 0, 996, 0, 0, 0, 0], [0, 5, 0, 0, 0, 995, 0, 0, 0, 0], [0, 0, 0, 0, 0, 1000, 0, 0, 0, 0], [0, 23, 0, 0, 0, 977, 0, 0, 0, 0], [0, 38, 0, 0, 0, 962, 0, 0, 0, 0], [0, 33, 0, 0, 0, 967, 0, 0, 0, 0]]"
4,4,20,0.10502,0.1067,0.1067,"[[0, 0, 0, 0, 863, 0, 0, 137, 0, 0], [0, 0, 0, 0, 825, 0, 0, 175, 0, 0], [0, 0, 0, 0, 964, 0, 0, 36, 0, 0], [0, 0, 0, 0, 960, 0, 0, 40, 0, 0], [0, 0, 0, 0, 966, 0, 0, 34, 0, 0], [0, 0, 0, 0, 956, 0, 0, 44, 0, 0], [0, 0, 0, 0, 989, 0, 0, 11, 0, 0], [0, 0, 0, 0, 899, 0, 0, 101, 0, 0], [0, 0, 0, 0, 704, 0, 0, 296, 0, 0], [0, 0, 0, 0, 757, 0, 0, 243, 0, 0]]"
5,5,20,0.12334,0.1244,0.1244,"[[840, 0, 0, 1, 0, 159, 0, 0, 0, 0], [809, 0, 0, 2, 0, 189, 0, 0, 0, 0], [779, 0, 0, 2, 0, 219, 0, 0, 0, 0], [596, 0, 0, 8, 0, 396, 0, 0, 0, 0], [684, 0, 0, 6, 0, 310, 0, 0, 0, 0], [599, 0, 0, 5, 0, 396, 0, 0, 0, 0], [682, 0, 0, 2, 0, 316, 0, 0, 0, 0], [733, 0, 0, 3, 0, 264, 0, 0, 0, 0], [798, 0, 0, 3, 0, 199, 0, 0, 0, 0], [918, 0, 0, 0, 0, 82, 0, 0, 0, 0]]"
6,6,20,0.10164,0.1017,0.1017,"[[23, 0, 0, 0, 977, 0, 0, 0, 0, 0], [23, 0, 0, 0, 977, 0, 0, 0, 0, 0], [5, 0, 0, 0, 995, 0, 0, 0, 0, 0], [9, 0, 0, 0, 991, 0, 0, 0, 0, 0], [6, 0, 0, 0, 994, 0, 0, 0, 0, 0], [5, 0, 0, 0, 995, 0, 0, 0, 0, 0], [0, 0, 0, 0, 1000, 0, 0, 0, 0, 0], [17, 0, 0, 0, 983, 0, 0, 0, 0, 0], [50, 0, 0, 0, 950, 0, 0, 0, 0, 0], [54, 0, 0, 0, 946, 0, 0, 0, 0, 0]]"
7,7,20,0.1,0.1,0.1,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
8,8,20,0.1,0.1,0.1,"[[1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1000, 0, 0, 0, 0, 0, 0, 0, 0, 0]]"
9,9,20,0.10182,0.1014,0.1014,"[[19, 0, 981, 0, 0, 0, 0, 0, 0, 0], [27, 0, 973, 0, 0, 0, 0, 0, 0, 0], [5, 0, 995, 0, 0, 0, 0, 0, 0, 0], [10, 0, 990, 0, 0, 0, 0, 0, 0, 0], [6, 0, 994, 0, 0, 0, 0, 0, 0, 0], [5, 0, 995, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [11, 0, 989, 0, 0, 0, 0, 0, 0, 0], [46, 0, 954, 0, 0, 0, 0, 0, 0, 0], [42, 0, 958, 0, 0, 0, 0, 0, 0, 0]]"
