round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 1610.875717639923
1, 0, 0.1, 0, 3230.853246450424
2, 0, 0.1, 0, 4845.39909362793
3, 0, 0.1437, 0, 6461.553218841553
4, 0, 0.1469, 0, 8083.876964092255
5, 0, 0.1893, 0, 9693.58685183525
6, 0, 0.2285, 0, 11312.293081760406
7, 0, 0.2507, 0, 12923.918769836426
8, 0, 0.2641, 0, 14536.02433180809
9, 0, 0.274, 0, 16148.427119970322
10, 0, 0.2866, 0, 17756.122352838516
11, 0, 0.2934, 0, 19362.646515846252
12, 0, 0.3219, 0, 20977.474377393723
13, 0, 0.3407, 0, 22579.21313214302
14, 0, 0.3536, 0, 24186.982569932938
15, 0, 0.3673, 0, 25805.190371751785
16, 0, 0.3737, 0, 27409.098785161972
17, 0, 0.3904, 0, 29024.31037378311
18, 0, 0.3939, 0, 30628.967242479324
19, 0, 0.4063, 0, 32232.8750436306
20, 0, 0.4132, 0, 33836.04309153557
21, 0, 0.4143, 0, 35444.96916389465
22, 0, 0.4278, 0, 37049.69586467743
23, 0, 0.4294, 0, 38646.898168325424
24, 0, 0.4351, 0, 40245.105907440186
25, 0, 0.4445, 0, 41830.578020095825
26, 0, 0.4438, 0, 43343.08525109291
27, 0, 0.4517, 0, 44797.65190863609
28, 0, 0.457, 0, 46219.13584470749
29, 0, 0.466, 0, 47647.0013461113
30, 0, 0.468, 0, 49116.78391337395
31, 0, 0.4711, 0, 50567.51163172722
32, 0, 0.4718, 0, 52025.239725112915
33, 0, 0.4788, 0, 53473.867396354675
34, 0, 0.4842, 0, 54953.38220477104
35, 0, 0.4895, 0, 56431.28787660599
36, 0, 0.4913, 0, 57880.96796107292
37, 0, 0.491, 0, 59310.269297361374
38, 0, 0.4951, 0, 60728.19811010361
39, 0, 0.4957, 0, 62093.2453455925
40, 0, 0.4962, 0, 63452.06736040115
41, 0, 0.5026, 0, 64812.37876367569
42, 0, 0.5047, 0, 66175.10397672653
43, 0, 0.5055, 0, 67540.02658772469
44, 0, 0.5097, 0, 68897.76553702354
45, 0, 0.51, 0, 70257.72778534889
46, 0, 0.5136, 0, 71623.00100398064
47, 0, 0.5126, 0, 72985.71787309647
48, 0, 0.5169, 0, 74349.06517505646
49, 0, 0.5161, 0, 75710.12490534782
