,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.1,0,0
1,1,5,0,0.1,0,0
2,2,5,0,0.1,0,0
3,3,5,0,0.1264,0,0
4,4,5,0,0.1973,0,0
5,5,5,0,0.1165,0,0
6,6,5,0,0.1402,0,0
7,7,5,0,0.2146,0,0
8,8,5,0,0.2567,0,0
9,9,5,0,0.2684,0,0
10,10,5,0,0.2754,0,0
11,11,5,0,0.2841,0,0
12,12,5,0,0.2894,0,0
13,13,5,0,0.2944,0,0
14,14,5,0,0.3075,0,0
15,15,5,0,0.3279,0,0
16,16,5,0,0.3329,0,0
17,17,5,0,0.3412,0,0
18,18,5,0,0.3588,0,0
19,19,5,0,0.3625,0,0
20,20,5,0,0.3708,0,0
21,21,5,0,0.3766,0,0
22,22,5,0,0.3867,0,0
23,23,5,0,0.3906,0,0
24,24,5,0,0.3986,0,0
25,25,5,0,0.3986,0,0
26,26,5,0,0.4063,0,0
27,27,5,0,0.4138,0,0
28,28,5,0,0.4172,0,0
29,29,5,0,0.4216,0,0
30,30,5,0,0.428,0,0
31,31,5,0,0.4362,0,0
32,32,5,0,0.437,0,0
33,33,5,0,0.4469,0,0
34,34,5,0,0.4536,0,0
35,35,5,0,0.4594,0,0
36,36,5,0,0.4602,0,0
37,37,5,0,0.4663,0,0
38,38,5,0,0.465,0,0
39,39,5,0,0.4693,0,0
40,40,5,0,0.4757,0,0
41,41,5,0,0.4791,0,0
42,42,5,0,0.4792,0,0
43,43,5,0,0.4851,0,0
44,44,5,0,0.4813,0,0
45,45,5,0,0.4881,0,0
46,46,5,0,0.4901,0,0
47,47,5,0,0.4912,0,0
48,48,5,0,0.4958,0,0
49,49,5,0,0.498,0,0
