round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 1549.968986749649
1, 0, 0.1, 0, 3097.1224448680878
2, 0, 0.1, 0, 4645.952925205231
3, 0, 0.1001, 0, 6193.081960439682
4, 0, 0.1, 0, 7739.913099527359
5, 0, 0.1, 0, 9289.225736379623
6, 0, 0.1006, 0, 10836.814285039902
7, 0, 0.1232, 0, 12384.357669115067
8, 0, 0.1806, 0, 13930.884548187256
9, 0, 0.2013, 0, 15475.633839607239
10, 0, 0.1433, 0, 17019.498649597168
11, 0, 0.1432, 0, 18564.61216855049
12, 0, 0.1873, 0, 20112.032088041306
13, 0, 0.2245, 0, 21658.34899711609
14, 0, 0.2569, 0, 23206.075694084167
15, 0, 0.2566, 0, 24752.287425994873
16, 0, 0.2601, 0, 26293.875259399414
17, 0, 0.2674, 0, 27720.41016626358
18, 0, 0.2691, 0, 29108.313755989075
19, 0, 0.2757, 0, 30496.37797999382
20, 0, 0.2797, 0, 31887.10763835907
21, 0, 0.2855, 0, 33280.733947992325
22, 0, 0.2858, 0, 34668.38833999634
23, 0, 0.2935, 0, 36050.04424405098
24, 0, 0.2952, 0, 37431.32808351517
25, 0, 0.312, 0, 38811.595881938934
26, 0, 0.323, 0, 40177.22297620773
27, 0, 0.3185, 0, 41509.622017383575
28, 0, 0.3341, 0, 42839.20942258835
29, 0, 0.341, 0, 44171.535323381424
30, 0, 0.3471, 0, 45504.26379394531
31, 0, 0.3512, 0, 46835.249774217606
32, 0, 0.3547, 0, 48166.849210739136
33, 0, 0.3645, 0, 49499.64908719063
34, 0, 0.3678, 0, 50832.31197977066
35, 0, 0.3745, 0, 52165.399107694626
36, 0, 0.3745, 0, 53498.10053730011
37, 0, 0.3796, 0, 54832.52236247063
38, 0, 0.3775, 0, 56166.50192642212
39, 0, 0.3896, 0, 57499.558406591415
40, 0, 0.3888, 0, 58832.71332001686
41, 0, 0.3943, 0, 60165.45868206024
42, 0, 0.3962, 0, 61498.83901453018
43, 0, 0.3969, 0, 62831.3908598423
44, 0, 0.4069, 0, 64164.84338402748
45, 0, 0.4156, 0, 65568.5956120491
46, 0, 0.414, 0, 67020.18124675751
47, 0, 0.4153, 0, 68472.45948672295
48, 0, 0.4171, 0, 69856.0075764656
49, 0, 0.4216, 0, 71175.97420024872
