,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
1,1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
2,2,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
3,3,0.10014,0.1001,"[[0, 0, 4, 0, 0, 0, 0, 0, 996, 0], [0, 0, 2, 0, 0, 0, 0, 0, 998, 0], [0, 0, 2, 0, 0, 0, 0, 0, 998, 0], [0, 0, 2, 0, 0, 0, 0, 0, 998, 0], [0, 0, 1, 0, 0, 0, 0, 0, 999, 0], [0, 0, 3, 0, 0, 0, 0, 0, 997, 0], [0, 0, 1, 0, 0, 0, 0, 0, 999, 0], [0, 0, 3, 0, 0, 0, 0, 0, 997, 0], [0, 0, 1, 0, 0, 0, 0, 0, 999, 0], [0, 0, 1, 0, 0, 0, 0, 0, 999, 0]]"
4,4,0.09988,0.1,"[[0, 0, 995, 0, 0, 0, 0, 0, 5, 0], [0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 996, 0, 0, 0, 0, 0, 4, 0], [0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 995, 0, 0, 0, 0, 0, 5, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 992, 0, 0, 0, 0, 0, 8, 0], [0, 0, 996, 0, 0, 0, 0, 0, 4, 0], [0, 0, 996, 0, 0, 0, 0, 0, 4, 0]]"
5,5,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
6,6,0.09998,0.1001,"[[0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 999, 0, 0, 0, 0, 0, 1, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
7,7,0.1399,0.1387,"[[0, 0, 301, 0, 0, 0, 0, 0, 699, 0], [0, 0, 587, 0, 0, 0, 0, 0, 413, 0], [0, 0, 770, 0, 0, 0, 0, 0, 230, 0], [0, 0, 804, 0, 0, 0, 0, 0, 196, 0], [0, 0, 892, 0, 0, 0, 0, 0, 108, 0], [0, 0, 761, 0, 0, 0, 0, 0, 239, 0], [0, 0, 951, 0, 0, 0, 0, 0, 49, 0], [0, 0, 797, 0, 0, 0, 0, 0, 203, 0], [0, 0, 383, 0, 0, 0, 0, 0, 617, 0], [0, 0, 677, 0, 0, 0, 0, 0, 323, 0]]"
8,8,0.15376,0.1523,"[[83, 0, 109, 0, 0, 0, 0, 0, 808, 0], [0, 0, 282, 0, 0, 0, 0, 0, 718, 0], [8, 0, 553, 0, 0, 0, 0, 0, 439, 0], [2, 0, 582, 0, 0, 0, 0, 0, 416, 0], [2, 0, 723, 0, 0, 0, 0, 0, 275, 0], [3, 0, 484, 0, 0, 0, 0, 0, 513, 0], [0, 0, 800, 0, 0, 0, 0, 0, 200, 0], [0, 0, 561, 0, 0, 0, 0, 0, 439, 0], [15, 0, 98, 0, 0, 0, 0, 0, 887, 0], [2, 0, 313, 0, 0, 0, 0, 0, 685, 0]]"
9,9,0.15034,0.1589,"[[600, 0, 45, 0, 0, 0, 4, 0, 351, 0], [248, 0, 121, 0, 0, 0, 23, 1, 607, 0], [156, 0, 330, 0, 0, 0, 42, 0, 472, 0], [113, 0, 346, 0, 0, 0, 28, 3, 510, 0], [59, 0, 447, 0, 0, 0, 99, 1, 394, 0], [180, 0, 285, 0, 0, 0, 27, 4, 504, 0], [23, 0, 490, 0, 0, 0, 160, 3, 324, 0], [84, 0, 298, 0, 0, 0, 22, 1, 595, 0], [476, 0, 26, 0, 0, 0, 0, 0, 498, 0], [197, 0, 128, 0, 0, 0, 8, 0, 667, 0]]"
10,10,0.15152,0.1631,"[[808, 0, 23, 0, 0, 0, 19, 0, 150, 0], [539, 0, 45, 0, 0, 0, 69, 4, 343, 0], [290, 0, 147, 0, 0, 0, 193, 2, 368, 0], [256, 0, 152, 0, 0, 0, 169, 10, 413, 0], [140, 0, 159, 0, 0, 0, 350, 6, 345, 0], [358, 0, 130, 0, 0, 0, 154, 12, 346, 0], [83, 0, 148, 0, 0, 0, 475, 7, 287, 0], [223, 0, 156, 0, 0, 0, 110, 9, 502, 0], [790, 0, 11, 0, 0, 0, 6, 1, 192, 0], [482, 0, 58, 0, 0, 0, 42, 6, 412, 0]]"
11,11,0.19948,0.2098,"[[551, 1, 5, 3, 0, 0, 48, 36, 328, 28], [225, 3, 21, 6, 0, 0, 131, 74, 491, 49], [133, 0, 24, 18, 0, 0, 410, 135, 242, 38], [64, 1, 56, 40, 0, 0, 419, 123, 256, 41], [59, 0, 27, 10, 0, 0, 613, 104, 152, 35], [64, 1, 44, 31, 0, 0, 376, 120, 325, 39], [8, 1, 12, 13, 0, 0, 737, 100, 92, 37], [51, 0, 20, 10, 0, 0, 325, 174, 307, 113], [423, 0, 8, 8, 0, 0, 30, 36, 460, 35], [194, 0, 11, 5, 0, 0, 117, 88, 476, 109]]"
12,12,0.22986,0.2408,"[[244, 110, 11, 49, 0, 23, 66, 84, 232, 181], [36, 225, 0, 55, 0, 54, 184, 114, 208, 124], [50, 69, 5, 102, 0, 22, 501, 140, 57, 54], [6, 53, 7, 134, 0, 55, 522, 156, 19, 48], [14, 32, 4, 68, 0, 10, 691, 110, 32, 39], [6, 79, 2, 139, 0, 89, 484, 147, 21, 33], [2, 10, 2, 56, 0, 2, 808, 99, 5, 16], [5, 56, 5, 70, 0, 34, 409, 276, 26, 119], [102, 136, 4, 32, 0, 37, 49, 94, 304, 242], [29, 92, 3, 33, 0, 13, 156, 189, 162, 323]]"
