round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 584.3566262722015
1, 0.1, 0.1, 0.1, 1174.1092100143433
2, 0.1, 0.1, 0.1, 1771.051293849945
3, 0.10014, 0.1001, 0.1001, 2366.406345844269
4, 0.09988, 0.1, 0.1, 2963.9581859111786
5, 0.1, 0.1, 0.1, 3546.1385951042175
6, 0.09998, 0.1001, 0.1001, 4125.9810564517975
7, 0.1399, 0.1387, 0.1387, 4706.05632352829
8, 0.15376, 0.1523, 0.1523, 5293.309242963791
9, 0.15034, 0.1589, 0.1589, 5885.691432714462
10, 0.15152, 0.1631, 0.1631, 6476.707065582275
11, 0.19948, 0.2098, 0.2098, 7060.11844086647
12, 0.22986, 0.2408, 0.2408, 7655.729917526245
13, 0.23692, 0.2512, 0.2512, 8238.191738843918
14, 0.24914, 0.2624, 0.2624, 8831.917526960373
15, 0.25854, 0.2718, 0.2718, 9427.522327423096
16, 0.26224, 0.278, 0.278, 10004.609345197678
17, 0.27214, 0.2892, 0.2892, 10590.87097811699
18, 0.27994, 0.3043, 0.3043, 11169.573661088943
19, 0.2889, 0.3062, 0.3062, 11757.534965753555
20, 0.2951, 0.3179, 0.3179, 12344.092254161835
21, 0.30202, 0.3247, 0.3247, 12936.347924470901
22, 0.3071, 0.3363, 0.3363, 13529.481962442398
23, 0.3135, 0.3435, 0.3435, 14124.946839571
24, 0.32192, 0.3509, 0.3509, 14718.7064807415
25, 0.32572, 0.3586, 0.3586, 15319.446407556534
26, 0.33146, 0.3682, 0.3682, 15910.279584169388
27, 0.33956, 0.3773, 0.3773, 16496.371786117554
28, 0.34368, 0.382, 0.382, 17082.610891342163
29, 0.34902, 0.388, 0.388, 17667.616166353226
30, 0.35932, 0.3987, 0.3987, 18258.257097244263
31, 0.3618, 0.4044, 0.4044, 18862.938418388367
32, 0.37094, 0.4092, 0.4092, 19464.76519060135
33, 0.37444, 0.4162, 0.4162, 20057.891971349716
34, 0.38268, 0.4238, 0.4238, 20638.775696516037
35, 0.3819, 0.4235, 0.4235, 21220.86283659935
36, 0.39006, 0.4321, 0.4321, 21802.61152935028
37, 0.39106, 0.4345, 0.4345, 22383.62350344658
38, 0.39674, 0.4388, 0.4388, 22965.13206100464
39, 0.40264, 0.4435, 0.4435, 23546.599157094955
40, 0.40736, 0.4494, 0.4494, 24128.961616516113
41, 0.40572, 0.4516, 0.4516, 24710.13117480278
42, 0.41462, 0.4504, 0.4504, 25291.65544104576
43, 0.41296, 0.4541, 0.4541, 25872.872398853302
44, 0.4198, 0.463, 0.463, 26454.328864574432
45, 0.42154, 0.463, 0.463, 27034.160975933075
46, 0.42476, 0.4667, 0.4667, 27616.911816120148
47, 0.4261, 0.4634, 0.4634, 28201.05023789406
48, 0.43188, 0.471, 0.471, 28785.996567726135
49, 0.43232, 0.4724, 0.4724, 29370.69490790367
