round, train_acc, test_acc, f1, time_stamp
0, 0.09986, 0.1003, 0.1003, 591.876309633255
1, 0.1, 0.1, 0.1, 1173.5760281085968
2, 0.1, 0.1, 0.1, 1751.849467754364
3, 0.1, 0.1, 0.1, 2344.100425004959
4, 0.1, 0.1, 0.1, 2937.950784921646
5, 0.1, 0.1, 0.1, 3524.655243873596
6, 0.1, 0.1, 0.1, 4121.704026460648
7, 0.1, 0.1, 0.1, 4719.0163230896
8, 0.1, 0.1, 0.1, 5312.936575889587
9, 0.1, 0.1, 0.1, 5905.303988456726
10, 0.1, 0.1, 0.1, 6498.702055215836
11, 0.10064, 0.1005, 0.1005, 7093.9133088588715
12, 0.11606, 0.1143, 0.1143, 7679.684553861618
13, 0.1386, 0.1382, 0.1382, 8262.941475868225
14, 0.14368, 0.145, 0.145, 8849.480855703354
15, 0.14666, 0.1463, 0.1463, 9444.651955127716
16, 0.14866, 0.1476, 0.1476, 10036.847207307816
17, 0.14874, 0.1483, 0.1483, 10633.909010887146
18, 0.1432, 0.1433, 0.1433, 11233.060332775116
19, 0.14334, 0.1402, 0.1402, 11831.415804862976
20, 0.14068, 0.1382, 0.1382, 12430.291594266891
21, 0.1494, 0.1492, 0.1492, 13031.530132055283
22, 0.15286, 0.151, 0.151, 13633.088508605957
23, 0.14304, 0.1471, 0.1471, 14229.558495998383
24, 0.14204, 0.1466, 0.1466, 14826.145334482193
25, 0.15032, 0.1541, 0.1541, 15418.465460062027
26, 0.15418, 0.1628, 0.1628, 16015.034746408463
27, 0.17016, 0.178, 0.178, 16608.37114596367
28, 0.18064, 0.1885, 0.1885, 17200.192090272903
29, 0.19058, 0.1985, 0.1985, 17796.02508878708
30, 0.20814, 0.2147, 0.2147, 18394.96211886406
31, 0.21008, 0.2249, 0.2249, 18985.59957909584
32, 0.22378, 0.2394, 0.2394, 19580.364374160767
33, 0.23, 0.2431, 0.2431, 20174.621193885803
34, 0.23616, 0.2505, 0.2505, 20772.225231409073
35, 0.23892, 0.2554, 0.2554, 21356.73210144043
36, 0.24518, 0.2604, 0.2604, 21951.273460388184
37, 0.24524, 0.2596, 0.2596, 22546.155272722244
38, 0.25214, 0.2651, 0.2651, 23105.73469352722
39, 0.25252, 0.2688, 0.2688, 23668.875878334045
40, 0.25372, 0.2707, 0.2707, 24229.625888586044
41, 0.26058, 0.2739, 0.2739, 24793.387178182602
42, 0.25898, 0.2759, 0.2759, 25348.938103199005
43, 0.26446, 0.2797, 0.2797, 25907.19970202446
44, 0.26758, 0.283, 0.283, 26467.511286258698
45, 0.26782, 0.2848, 0.2848, 27048.998998880386
46, 0.27276, 0.2878, 0.2878, 27612.951690673828
47, 0.27908, 0.2934, 0.2934, 28175.23018026352
48, 0.2796, 0.2956, 0.2956, 28740.353380680084
49, 0.28826, 0.3038, 0.3038, 29293.819197893143
