,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.2236,0,0
1,1,10,0,0.2817,0,0
2,2,10,0,0.3401,0,0
3,3,10,0,0.3908,0,0
4,4,10,0,0.4273,0,0
5,5,10,0,0.4551,0,0
6,6,10,0,0.4727,0,0
7,7,10,0,0.4819,0,0
8,8,10,0,0.4997,0,0
9,9,10,0,0.5075,0,0
10,10,10,0,0.5168,0,0
11,11,10,0,0.5238,0,0
12,12,10,0,0.5308,0,0
13,13,10,0,0.5384,0,0
14,14,10,0,0.5414,0,0
15,15,10,0,0.5523,0,0
16,16,10,0,0.5585,0,0
17,17,10,0,0.5602,0,0
18,18,10,0,0.5672,0,0
19,19,10,0,0.5657,0,0
20,20,10,0,0.5782,0,0
21,21,10,0,0.5794,0,0
22,22,10,0,0.5792,0,0
23,23,10,0,0.5846,0,0
24,24,10,0,0.5912,0,0
25,25,10,0,0.5891,0,0
26,26,10,0,0.5965,0,0
27,27,10,0,0.5986,0,0
28,28,10,0,0.6016,0,0
29,29,10,0,0.6052,0,0
30,30,10,0,0.606,0,0
31,31,10,0,0.6092,0,0
32,32,10,0,0.6114,0,0
33,33,10,0,0.6098,0,0
34,34,10,0,0.6106,0,0
35,35,10,0,0.6177,0,0
36,36,10,0,0.6156,0,0
37,37,10,0,0.6231,0,0
38,38,10,0,0.6261,0,0
39,39,10,0,0.6244,0,0
40,40,10,0,0.6261,0,0
41,41,10,0,0.6259,0,0
42,42,10,0,0.6272,0,0
43,43,10,0,0.6296,0,0
44,44,10,0,0.6324,0,0
45,45,10,0,0.6303,0,0
46,46,10,0,0.6321,0,0
47,47,10,0,0.6338,0,0
48,48,10,0,0.6372,0,0
49,49,10,0,0.6361,0,0
