,Round,Train Accuracy,Test Accuracy,Confusion Matrix
0,0,0.1,0.1,"[[0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0], [0, 0, 1000, 0, 0, 0, 0, 0, 0, 0]]"
1,1,0.11312,0.1116,"[[106, 0, 877, 0, 0, 0, 0, 0, 16, 1], [118, 0, 812, 0, 0, 0, 0, 0, 65, 5], [32, 0, 958, 0, 0, 0, 0, 0, 10, 0], [28, 0, 956, 0, 0, 0, 0, 0, 16, 0], [18, 0, 974, 0, 0, 0, 0, 0, 7, 1], [27, 0, 955, 0, 0, 0, 0, 0, 16, 2], [4, 0, 989, 0, 0, 0, 0, 0, 7, 0], [48, 0, 932, 0, 0, 0, 0, 0, 20, 0], [182, 0, 767, 0, 0, 0, 0, 0, 49, 2], [124, 0, 840, 0, 0, 0, 0, 0, 33, 3]]"
2,2,0.16464,0.1663,"[[262, 1, 167, 0, 12, 33, 0, 11, 482, 32], [93, 0, 110, 0, 30, 51, 0, 8, 642, 66], [256, 0, 323, 0, 42, 34, 0, 8, 319, 18], [135, 0, 327, 0, 91, 108, 0, 24, 277, 38], [161, 0, 393, 0, 110, 43, 0, 8, 269, 16], [142, 0, 260, 0, 59, 137, 0, 18, 364, 20], [126, 0, 397, 0, 65, 58, 0, 13, 322, 19], [166, 0, 273, 0, 61, 49, 0, 21, 360, 70], [61, 1, 97, 0, 21, 80, 0, 1, 679, 60], [136, 0, 89, 0, 12, 11, 0, 12, 609, 131]]"
3,3,0.21042,0.2272,"[[227, 37, 9, 10, 81, 175, 0, 206, 122, 133], [107, 144, 15, 1, 158, 141, 1, 79, 151, 203], [86, 22, 29, 5, 470, 130, 3, 168, 33, 54], [41, 8, 17, 8, 474, 198, 4, 175, 16, 59], [39, 19, 11, 1, 634, 83, 3, 138, 11, 61], [54, 16, 8, 1, 374, 322, 5, 165, 19, 36], [21, 24, 6, 1, 645, 94, 4, 162, 4, 39], [39, 47, 11, 5, 353, 95, 0, 266, 45, 139], [131, 31, 11, 6, 67, 195, 0, 62, 242, 255], [103, 39, 15, 1, 108, 66, 1, 136, 135, 396]]"
4,4,0.22046,0.2377,"[[421, 54, 39, 5, 38, 92, 71, 157, 5, 118], [192, 202, 27, 1, 51, 144, 152, 121, 4, 106], [98, 27, 24, 3, 121, 75, 506, 116, 1, 29], [17, 13, 20, 5, 146, 136, 471, 170, 1, 21], [39, 4, 15, 0, 109, 35, 678, 86, 1, 33], [17, 10, 16, 2, 100, 241, 482, 116, 0, 16], [6, 2, 8, 1, 58, 26, 798, 93, 0, 8], [27, 20, 19, 3, 82, 88, 387, 296, 0, 78], [326, 101, 33, 0, 30, 138, 40, 113, 7, 212], [147, 80, 24, 1, 33, 56, 131, 246, 8, 274]]"
5,5,0.2523,0.2691,"[[442, 31, 14, 26, 30, 41, 44, 45, 256, 71], [121, 124, 20, 4, 36, 101, 122, 60, 315, 97], [138, 25, 34, 43, 190, 89, 341, 56, 53, 31], [77, 16, 29, 42, 233, 188, 261, 101, 21, 32], [70, 5, 25, 16, 195, 63, 511, 58, 25, 32], [65, 16, 26, 40, 191, 265, 279, 59, 29, 30], [19, 8, 17, 19, 137, 60, 666, 52, 4, 18], [54, 33, 29, 30, 154, 94, 241, 219, 35, 111], [213, 27, 11, 8, 19, 79, 19, 42, 467, 115], [123, 33, 18, 11, 40, 33, 98, 128, 279, 237]]"
6,6,0.26892,0.2828,"[[521, 87, 1, 19, 0, 30, 52, 62, 158, 70], [127, 310, 1, 6, 2, 60, 128, 82, 186, 98], [152, 75, 2, 54, 22, 130, 418, 92, 25, 30], [68, 65, 1, 51, 25, 241, 357, 127, 19, 46], [77, 26, 0, 19, 18, 106, 614, 95, 17, 28], [48, 106, 0, 52, 21, 275, 356, 85, 20, 37], [26, 28, 1, 30, 7, 76, 728, 79, 2, 23], [63, 87, 2, 38, 18, 87, 283, 296, 26, 100], [237, 108, 0, 7, 1, 57, 22, 46, 398, 124], [139, 108, 2, 10, 4, 28, 116, 153, 211, 229]]"
7,7,0.27722,0.2963,"[[366, 88, 0, 11, 3, 45, 47, 37, 296, 107], [17, 346, 0, 1, 5, 51, 121, 45, 270, 144], [120, 82, 1, 23, 39, 183, 373, 68, 54, 57], [44, 71, 2, 24, 24, 305, 326, 86, 47, 71], [52, 27, 0, 7, 43, 131, 573, 74, 43, 50], [25, 95, 1, 12, 18, 362, 322, 59, 44, 62], [14, 27, 1, 12, 14, 118, 707, 48, 11, 48], [29, 83, 1, 21, 27, 118, 267, 233, 45, 176], [95, 103, 0, 2, 2, 62, 17, 25, 539, 155], [26, 112, 1, 3, 7, 43, 104, 63, 299, 342]]"
8,8,0.28942,0.3117,"[[317, 79, 6, 6, 22, 57, 32, 39, 350, 92], [8, 385, 9, 1, 9, 55, 100, 49, 253, 131], [106, 73, 19, 7, 217, 214, 201, 58, 70, 35], [42, 45, 24, 8, 135, 352, 213, 84, 57, 40], [36, 22, 9, 4, 267, 172, 332, 70, 55, 33], [32, 58, 15, 6, 132, 422, 204, 55, 53, 23], [9, 29, 8, 6, 149, 164, 552, 41, 22, 20], [25, 65, 18, 8, 133, 179, 155, 249, 58, 110], [73, 101, 8, 3, 6, 68, 14, 30, 590, 107], [16, 128, 5, 1, 15, 45, 89, 73, 320, 308]]"
9,9,0.1578,0.1629,"[[348, 5, 518, 63, 35, 20, 11, 0, 0, 0], [153, 24, 569, 90, 59, 27, 77, 0, 0, 1], [60, 3, 362, 87, 389, 74, 25, 0, 0, 0], [36, 1, 392, 104, 323, 118, 26, 0, 0, 0], [52, 2, 228, 64, 563, 47, 44, 0, 0, 0], [24, 1, 428, 64, 321, 138, 24, 0, 0, 0], [9, 0, 161, 53, 626, 61, 90, 0, 0, 0], [72, 11, 333, 217, 271, 46, 50, 0, 0, 0], [425, 4, 441, 86, 22, 17, 5, 0, 0, 0], [297, 30, 358, 184, 49, 11, 71, 0, 0, 0]]"
