,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1023,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.1,0,0
3,3,10,0,0.1,0,0
4,4,10,0,0.1317,0,0
5,5,10,0,0.1041,0,0
6,6,10,0,0.1125,0,0
7,7,10,0,0.1021,0,0
8,8,10,0,0.1046,0,0
9,9,10,0,0.1546,0,0
10,10,10,0,0.1383,0,0
11,11,10,0,0.1711,0,0
12,12,10,0,0.1762,0,0
13,13,10,0,0.1364,0,0
14,14,10,0,0.2062,0,0
15,15,10,0,0.1839,0,0
16,16,10,0,0.2359,0,0
17,17,10,0,0.2287,0,0
18,18,10,0,0.2016,0,0
19,19,10,0,0.2063,0,0
20,20,10,0,0.2377,0,0
21,21,10,0,0.2385,0,0
22,22,10,0,0.2517,0,0
23,23,10,0,0.2576,0,0
24,24,10,0,0.2772,0,0
25,25,10,0,0.2753,0,0
26,26,10,0,0.2874,0,0
27,27,10,0,0.2882,0,0
28,28,10,0,0.2911,0,0
29,29,10,0,0.2887,0,0
30,30,10,0,0.2938,0,0
31,31,10,0,0.2994,0,0
32,32,10,0,0.2974,0,0
33,33,10,0,0.3011,0,0
34,34,10,0,0.3091,0,0
35,35,10,0,0.3061,0,0
36,36,10,0,0.303,0,0
37,37,10,0,0.3163,0,0
38,38,10,0,0.3192,0,0
39,39,10,0,0.3227,0,0
40,40,10,0,0.3273,0,0
41,41,10,0,0.3273,0,0
42,42,10,0,0.3344,0,0
43,43,10,0,0.3402,0,0
44,44,10,0,0.3387,0,0
45,45,10,0,0.3431,0,0
46,46,10,0,0.3486,0,0
47,47,10,0,0.3558,0,0
48,48,10,0,0.3515,0,0
49,49,10,0,0.362,0,0
