round, train_acc, test_acc, f1, time_stamp
0, 0.10002, 0.1, 0.1, 596.5225749015808
1, 0.1, 0.1, 0.1, 1194.3643009662628
2, 0.1, 0.1, 0.1, 1792.1441266536713
3, 0.1, 0.1, 0.1, 2390.722416639328
4, 0.1, 0.1, 0.1, 2988.5113146305084
5, 0.1, 0.1, 0.1, 3586.5684673786163
6, 0.1, 0.1, 0.1, 4184.626795530319
7, 0.1, 0.1, 0.1, 4782.882616281509
8, 0.1, 0.1, 0.1, 5380.807002544403
9, 0.1, 0.1, 0.1, 5979.456031560898
10, 0.1, 0.1, 0.1, 6577.746070623398
11, 0.1, 0.1, 0.1, 7176.432753324509
12, 0.1, 0.1, 0.1, 7774.656289577484
13, 0.1, 0.1, 0.1, 8374.253029823303
14, 0.1, 0.1, 0.1, 8969.704305171967
15, 0.1, 0.1, 0.1, 9563.47592329979
16, 0.11244, 0.1107, 0.1107, 10157.063380718231
17, 0.12282, 0.1191, 0.1191, 10751.084078550339
18, 0.16596, 0.1679, 0.1679, 11344.876523256302
19, 0.18788, 0.1897, 0.1897, 11938.639274597168
20, 0.20024, 0.2032, 0.2032, 12532.57890677452
21, 0.18072, 0.176, 0.176, 13133.497951030731
22, 0.2096, 0.2166, 0.2166, 13727.444944620132
23, 0.1959, 0.1953, 0.1953, 14325.98139166832
24, 0.19908, 0.2014, 0.2014, 14919.52547621727
25, 0.1014, 0.1008, 0.1008, 15509.675248861313
26, 0.1, 0.1, 0.1, 16095.471259593964
27, 0.1, 0.1, 0.1, 16680.015183210373
28, 0.1, 0.1, 0.1, 17269.57723069191
29, 0.1, 0.1, 0.1, 17853.42038345337
30, 0.1, 0.1, 0.1, 18436.92254638672
31, 0.1, 0.1, 0.1, 19020.21205687523
32, 0.1, 0.1, 0.1, 19609.005296945572
33, 0.1, 0.1, 0.1, 20221.46610546112
34, 0.1, 0.1, 0.1, 20814.961482048035
35, 0.1, 0.1, 0.1, 21404.335039377213
36, 0.1, 0.1, 0.1, 21993.10062599182
37, 0.1, 0.1, 0.1, 22583.814301490784
38, 0.1, 0.1, 0.1, 23173.591540813446
39, 0.1, 0.1, 0.1, 23764.05871272087
40, 0.1, 0.1, 0.1, 24355.25495147705
41, 0.1, 0.1, 0.1, 24946.938114643097
42, 0.1, 0.1, 0.1, 25536.513748168945
43, 0.1, 0.1, 0.1, 26125.193893671036
44, 0.1, 0.1, 0.1, 26721.472105264664
45, 0.1, 0.1, 0.1, 27322.067872285843
46, 0.1, 0.1, 0.1, 27911.188270568848
47, 0.1, 0.1, 0.1, 28501.69890499115
48, 0.1, 0.1, 0.1, 29094.41602063179
49, 0.1, 0.1, 0.1, 29683.398481607437
