,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
1,1,20,0.1,0.1,0.1,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000]]"
2,2,20,0.1019,0.101,0.101,"[[0, 0, 0, 3, 0, 0, 0, 0, 0, 997], [0, 0, 0, 15, 0, 0, 0, 0, 0, 985], [0, 0, 0, 5, 0, 0, 0, 0, 0, 995], [0, 0, 0, 14, 0, 0, 0, 0, 0, 986], [0, 0, 0, 21, 0, 0, 0, 0, 0, 979], [0, 0, 0, 14, 0, 0, 0, 0, 0, 986], [0, 0, 0, 9, 0, 0, 0, 0, 0, 991], [0, 0, 0, 5, 0, 0, 0, 0, 0, 995], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1000], [0, 0, 0, 4, 0, 0, 0, 0, 0, 996]]"
3,3,20,0.12328,0.1223,0.1223,"[[896, 0, 0, 7, 0, 0, 0, 0, 0, 97], [743, 0, 0, 37, 0, 0, 0, 0, 0, 220], [468, 0, 0, 30, 0, 0, 0, 0, 0, 502], [379, 0, 0, 44, 0, 0, 0, 0, 0, 577], [264, 0, 0, 93, 0, 0, 0, 0, 0, 643], [489, 0, 0, 44, 0, 0, 0, 0, 0, 467], [197, 0, 0, 133, 0, 0, 0, 0, 0, 670], [453, 0, 0, 25, 0, 0, 0, 0, 0, 522], [900, 0, 0, 0, 0, 0, 0, 0, 0, 100], [704, 0, 0, 13, 0, 0, 0, 0, 0, 283]]"
4,4,20,0.1829,0.1883,0.1883,"[[838, 5, 3, 36, 6, 1, 26, 0, 54, 31], [686, 5, 11, 74, 18, 8, 74, 0, 59, 65], [278, 2, 9, 192, 44, 13, 276, 0, 92, 94], [213, 4, 11, 252, 66, 20, 231, 0, 77, 126], [152, 1, 3, 179, 50, 12, 466, 1, 40, 96], [289, 6, 11, 230, 62, 21, 213, 0, 60, 108], [62, 5, 1, 190, 59, 17, 551, 1, 40, 74], [283, 9, 1, 170, 70, 29, 154, 3, 139, 142], [840, 4, 6, 38, 4, 4, 8, 0, 62, 34], [599, 3, 1, 66, 28, 18, 43, 0, 150, 92]]"
5,5,20,0.21138,0.228,0.228,"[[444, 60, 30, 12, 1, 90, 90, 62, 83, 128], [219, 148, 54, 19, 4, 129, 183, 59, 96, 89], [82, 30, 19, 31, 9, 102, 601, 52, 31, 43], [14, 13, 8, 55, 16, 114, 635, 100, 11, 34], [37, 5, 4, 10, 7, 60, 779, 52, 14, 32], [14, 17, 14, 55, 10, 178, 626, 57, 12, 17], [3, 1, 4, 17, 9, 44, 869, 40, 4, 9], [26, 19, 22, 40, 11, 93, 480, 203, 15, 91], [328, 82, 34, 27, 0, 118, 65, 64, 149, 133], [194, 61, 21, 9, 9, 92, 177, 148, 81, 208]]"
6,6,20,0.24424,0.2619,0.2619,"[[354, 84, 1, 14, 0, 24, 43, 49, 319, 112], [119, 257, 0, 21, 2, 44, 100, 103, 266, 88], [80, 72, 2, 55, 2, 93, 419, 124, 104, 49], [31, 58, 2, 126, 4, 115, 379, 164, 55, 66], [40, 26, 0, 47, 2, 58, 632, 106, 37, 52], [21, 99, 2, 97, 2, 155, 378, 116, 75, 55], [8, 24, 0, 39, 0, 74, 702, 115, 6, 32], [33, 96, 4, 52, 1, 57, 253, 306, 45, 153], [236, 88, 0, 36, 0, 29, 21, 38, 421, 131], [135, 74, 0, 17, 1, 30, 81, 130, 238, 294]]"
7,7,20,0.26172,0.2804,0.2804,"[[477, 106, 0, 20, 0, 26, 39, 58, 161, 113], [137, 310, 0, 14, 1, 56, 88, 106, 174, 114], [109, 69, 1, 70, 18, 100, 392, 131, 64, 46], [38, 57, 0, 148, 5, 144, 329, 179, 41, 59], [55, 20, 0, 61, 13, 60, 607, 118, 24, 42], [35, 81, 1, 112, 10, 180, 341, 133, 61, 46], [12, 23, 0, 49, 15, 69, 674, 132, 5, 21], [42, 91, 0, 66, 30, 63, 198, 361, 31, 118], [293, 109, 0, 39, 0, 32, 20, 40, 315, 152], [109, 94, 0, 27, 0, 27, 67, 157, 194, 325]]"
8,8,20,0.2826,0.3003,0.3003,"[[400, 113, 2, 26, 8, 28, 35, 74, 187, 127], [56, 357, 0, 26, 11, 52, 79, 95, 183, 141], [94, 67, 2, 80, 72, 98, 354, 133, 57, 43], [27, 51, 1, 143, 34, 153, 309, 184, 39, 59], [35, 23, 0, 56, 120, 60, 518, 121, 26, 41], [18, 75, 2, 114, 66, 203, 293, 135, 45, 49], [5, 23, 0, 45, 51, 71, 648, 127, 7, 23], [24, 80, 2, 64, 90, 70, 142, 387, 32, 109], [163, 136, 0, 46, 2, 30, 22, 44, 365, 192], [42, 113, 1, 32, 8, 26, 64, 145, 191, 378]]"
9,9,20,0.2981,0.3196,0.3196,"[[460, 99, 3, 33, 9, 30, 29, 63, 190, 84], [89, 345, 2, 32, 18, 47, 64, 81, 184, 138], [105, 65, 8, 99, 123, 106, 279, 123, 54, 38], [31, 46, 2, 201, 76, 141, 232, 158, 47, 66], [51, 18, 3, 73, 224, 62, 385, 126, 25, 33], [23, 64, 7, 155, 88, 208, 229, 123, 53, 50], [7, 25, 2, 70, 104, 68, 573, 114, 7, 30], [31, 75, 7, 76, 112, 73, 86, 388, 36, 116], [204, 117, 0, 54, 3, 26, 17, 35, 371, 173], [64, 98, 1, 43, 10, 22, 52, 97, 195, 418]]"
