round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 457.1154978275299
1, 0.1, 0.1, 0.1, 868.5562326908112
2, 0.1019, 0.101, 0.101, 1270.4366736412048
3, 0.12328, 0.1223, 0.1223, 1682.634080171585
4, 0.1829, 0.1883, 0.1883, 2086.3309559822083
5, 0.21138, 0.228, 0.228, 2487.525349378586
6, 0.24424, 0.2619, 0.2619, 2889.514089345932
7, 0.26172, 0.2804, 0.2804, 3291.1837961673737
8, 0.2826, 0.3003, 0.3003, 3683.129580259323
9, 0.2981, 0.3196, 0.3196, 4064.725243806839
10, 0.30902, 0.3313, 0.3313, 4455.308868408203
11, 0.31492, 0.3403, 0.3403, 4852.260326385498
12, 0.32808, 0.3563, 0.3563, 5247.84925031662
13, 0.34226, 0.3668, 0.3668, 5645.233899593353
14, 0.35018, 0.3763, 0.3763, 6042.626012802124
15, 0.35912, 0.3949, 0.3949, 6393.597259283066
16, 0.36812, 0.404, 0.404, 6723.915363311768
17, 0.37192, 0.4107, 0.4107, 7014.897718429565
18, 0.3911, 0.4259, 0.4259, 7275.149217605591
19, 0.39666, 0.436, 0.436, 7547.895446538925
20, 0.40542, 0.4437, 0.4437, 7821.490925788879
21, 0.41134, 0.4517, 0.4517, 8094.81867146492
22, 0.41992, 0.4621, 0.4621, 8366.481988668442
23, 0.42508, 0.4652, 0.4652, 8637.949700117111
24, 0.4311, 0.4729, 0.4729, 8909.377617120743
25, 0.43828, 0.4765, 0.4765, 9181.343585729599
26, 0.439, 0.4786, 0.4786, 9452.473988771439
27, 0.44576, 0.4795, 0.4795, 9723.29716348648
28, 0.44424, 0.4847, 0.4847, 9993.996489048004
29, 0.45244, 0.4874, 0.4874, 10264.057564735413
30, 0.44952, 0.485, 0.485, 10534.224817276001
31, 0.452, 0.4908, 0.4908, 10798.480145215988
32, 0.4574, 0.4903, 0.4903, 11062.014358520508
33, 0.46052, 0.4955, 0.4955, 11329.45772266388
34, 0.46184, 0.4944, 0.4944, 11595.556342840195
35, 0.46258, 0.4906, 0.4906, 11858.802207946777
36, 0.46614, 0.4986, 0.4986, 12123.443139076233
37, 0.474, 0.5002, 0.5002, 12386.954461574554
38, 0.47126, 0.5026, 0.5026, 12650.318578481674
39, 0.47296, 0.5002, 0.5002, 12911.298598051071
40, 0.47282, 0.5028, 0.5028, 13172.510675907135
41, 0.46918, 0.503, 0.503, 13433.434194087982
42, 0.47718, 0.5049, 0.5049, 13694.464903831482
43, 0.47464, 0.5005, 0.5005, 13955.880598068237
44, 0.47956, 0.5086, 0.5086, 14214.438486814499
45, 0.48028, 0.5104, 0.5104, 14516.135857105255
46, 0.1, 0.1, 0.1, 14896.638293504715
47, 0.1, 0.1, 0.1, 15271.994893074036
48, 0.1, 0.1, 0.1, 15650.673813343048
49, 0.1, 0.1, 0.1, 16028.122821569443
50, 0.1, 0.1, 0.1, 16406.72244143486
51, 0.1, 0.1, 0.1, 16785.186124801636
52, 0.1, 0.1, 0.1, 17145.365916252136
53, 0.1, 0.1, 0.1, 17512.11891913414
54, 0.1, 0.1, 0.1, 17887.5079061985
55, 0.1, 0.1, 0.1, 18263.41964864731
56, 0.1, 0.1, 0.1, 18640.1576526165
57, 0.1, 0.1, 0.1, 19015.15598344803
58, 0.1, 0.1, 0.1, 19384.816774129868
59, 0.1, 0.1, 0.1, 19758.923189163208
60, 0.1, 0.1, 0.1, 20128.691792964935
61, 0.1, 0.1, 0.1, 20501.169563531876
62, 0.1, 0.1, 0.1, 20876.343455553055
63, 0.1, 0.1, 0.1, 21251.523590564728
64, 0.1, 0.1, 0.1, 21625.011567115784
65, 0.1, 0.1, 0.1, 21986.28439474106
66, 0.1, 0.1, 0.1, 22359.79578113556
67, 0.1, 0.1, 0.1, 22730.88081550598
68, 0.1, 0.1, 0.1, 23103.511835098267
69, 0.1, 0.1, 0.1, 23477.895226716995
70, 0.1, 0.1, 0.1, 23847.637630939484
71, 0.1, 0.1, 0.1, 24220.890711069107
72, 0.1, 0.1, 0.1, 24570.52793455124
73, 0.1, 0.1, 0.1, 24947.198685884476
74, 0.1, 0.1, 0.1, 25322.124066114426
75, 0.1, 0.1, 0.1, 25696.653552532196
76, 0.1, 0.1, 0.1, 26070.188613176346
77, 0.1, 0.1, 0.1, 26446.68077301979
78, 0.1, 0.1, 0.1, 26813.39430832863
79, 0.1, 0.1, 0.1, 27177.87112045288
80, 0.1, 0.1, 0.1, 27551.057928085327
81, 0.1, 0.1, 0.1, 27921.37527036667
82, 0.1, 0.1, 0.1, 28293.14811873436
83, 0.1, 0.1, 0.1, 28662.63510298729
84, 0.1, 0.1, 0.1, 29031.924219608307
85, 0.1, 0.1, 0.1, 29394.084404706955
86, 0.1, 0.1, 0.1, 29765.590976953506
87, 0.1, 0.1, 0.1, 30139.652291297913
88, 0.1, 0.1, 0.1, 30512.146828889847
89, 0.1, 0.1, 0.1, 30889.139837026596
90, 0.1, 0.1, 0.1, 31263.391741275787
91, 0.1, 0.1, 0.1, 31639.06965327263
92, 0.1, 0.1, 0.1, 31993.88697552681
93, 0.1, 0.1, 0.1, 32365.319338560104
94, 0.1, 0.1, 0.1, 32740.581525802612
95, 0.1, 0.1, 0.1, 33113.29354953766
96, 0.1, 0.1, 0.1, 33488.24582886696
97, 0.1, 0.1, 0.1, 33861.33399319649
98, 0.1, 0.1, 0.1, 34221.70606660843
99, 0.1, 0.1, 0.1, 34589.837884902954
