round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 985.8810739517212
1, 0, 0.1235, 0, 2103.5725531578064
2, 0, 0.1487, 0, 3227.0663347244263
3, 0, 0.2126, 0, 4338.318044662476
4, 0, 0.2488, 0, 5457.550006866455
5, 0, 0.2705, 0, 6589.221221208572
6, 0, 0.317, 0, 7724.693487644196
7, 0, 0.3207, 0, 8854.799402952194
8, 0, 0.3801, 0, 9990.020855665207
9, 0, 0.3942, 0, 11122.328246593475
10, 0, 0.4025, 0, 12241.070280313492
11, 0, 0.4262, 0, 13377.90172123909
12, 0, 0.429, 0, 14500.125774621964
13, 0, 0.4445, 0, 15612.5872194767
14, 0, 0.454, 0, 16756.75431370735
15, 0, 0.4717, 0, 17924.134786367416
16, 0, 0.4791, 0, 19070.632481575012
17, 0, 0.4779, 0, 20237.686165571213
18, 0, 0.4906, 0, 21406.260803937912
19, 0, 0.4976, 0, 22556.77592253685
20, 0, 0.5057, 0, 23739.859652996063
21, 0, 0.5103, 0, 24917.224553585052
22, 0, 0.5085, 0, 26066.832240343094
23, 0, 0.5143, 0, 27225.359403848648
24, 0, 0.5257, 0, 28393.938304901123
25, 0, 0.5252, 0, 29554.492723464966
26, 0, 0.5272, 0, 30696.066150188446
27, 0, 0.5347, 0, 31855.301480293274
28, 0, 0.5211, 0, 33000.66204953194
29, 0, 0.5338, 0, 34148.68998837471
30, 0, 0.5365, 0, 35308.34213805199
31, 0, 0.5376, 0, 36458.16379594803
32, 0, 0.5428, 0, 37622.29071235657
33, 0, 0.5457, 0, 38799.72370529175
34, 0, 0.5499, 0, 39953.93877387047
35, 0, 0.5492, 0, 41110.809374809265
36, 0, 0.5511, 0, 42264.10799741745
37, 0, 0.5543, 0, 43402.53148674965
38, 0, 0.5602, 0, 44510.65670847893
39, 0, 0.5622, 0, 45655.186982393265
40, 0, 0.5648, 0, 46784.530054330826
41, 0, 0.5665, 0, 47902.23980975151
42, 0, 0.5682, 0, 49023.38002586365
43, 0, 0.5689, 0, 50150.02886581421
44, 0, 0.5733, 0, 51282.22695708275
45, 0, 0.5689, 0, 52411.41983127594
46, 0, 0.5746, 0, 53544.52707147598
47, 0, 0.5801, 0, 54679.287422418594
48, 0, 0.5784, 0, 55813.58741354942
49, 0, 0.5818, 0, 56931.94158196449
50, 0, 0.5826, 0, 58079.29653906822
51, 0, 0.5816, 0, 59196.771926641464
52, 0, 0.582, 0, 60283.49708390236
53, 0, 0.5862, 0, 61388.7373418808
54, 0, 0.5903, 0, 62481.77863454819
55, 0, 0.5896, 0, 63609.175443172455
56, 0, 0.5943, 0, 64756.247839689255
57, 0, 0.5944, 0, 65880.47643756866
58, 0, 0.5906, 0, 67007.56558299065
59, 0, 0.5977, 0, 68128.27953529358
60, 0, 0.5972, 0, 69266.80131411552
61, 0, 0.5986, 0, 70425.9714474678
62, 0, 0.6014, 0, 71660.99701595306
63, 0, 0.5992, 0, 72842.468791008
64, 0, 0.6015, 0, 74076.25752806664
65, 0, 0.6023, 0, 75233.90537428856
66, 0, 0.6013, 0, 76365.60124731064
67, 0, 0.6032, 0, 77490.17166757584
68, 0, 0.6106, 0, 78612.96169400215
69, 0, 0.6097, 0, 79716.44542264938
70, 0, 0.6113, 0, 80819.1034348011
71, 0, 0.6064, 0, 81942.03504157066
72, 0, 0.6118, 0, 83056.93303489685
73, 0, 0.6092, 0, 84171.7609846592
74, 0, 0.6116, 0, 85288.16982674599
75, 0, 0.6066, 0, 86422.86209535599
76, 0, 0.617, 0, 87559.73366308212
77, 0, 0.6149, 0, 88710.84339213371
78, 0, 0.6118, 0, 89865.68393039703
79, 0, 0.6153, 0, 91033.32719302177
80, 0, 0.6176, 0, 92220.42394638062
81, 0, 0.6181, 0, 93409.3432340622
82, 0, 0.6188, 0, 94592.14497685432
83, 0, 0.619, 0, 95793.67425823212
84, 0, 0.6233, 0, 96981.10816645622
85, 0, 0.6188, 0, 98209.43793487549
86, 0, 0.6217, 0, 99425.3006927967
87, 0, 0.6212, 0, 100627.0530807972
88, 0, 0.6201, 0, 101781.06901979446
89, 0, 0.6188, 0, 102966.14487099648
90, 0, 0.6223, 0, 104145.50865864754
91, 0, 0.626, 0, 105318.13163948059
92, 0, 0.6189, 0, 106486.8858499527
93, 0, 0.6289, 0, 107723.76452994347
94, 0, 0.6265, 0, 108964.4409866333
95, 0, 0.6225, 0, 110236.39624905586
96, 0, 0.6244, 0, 111497.26725912094
97, 0, 0.6243, 0, 112773.07662129402
98, 0, 0.6258, 0, 114049.47424411774
99, 0, 0.6266, 0, 115310.66370725632
