,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,25,0.10744,0.1071,0.1071,"[[0, 0, 0, 0, 0, 18, 0, 0, 0, 982], [0, 0, 0, 0, 0, 28, 0, 0, 0, 972], [0, 0, 0, 0, 0, 25, 0, 0, 0, 975], [0, 0, 0, 0, 0, 78, 0, 0, 0, 922], [0, 0, 0, 0, 0, 24, 0, 0, 0, 976], [0, 0, 0, 0, 0, 78, 0, 0, 0, 922], [0, 0, 0, 0, 0, 16, 0, 0, 0, 984], [0, 1, 0, 0, 0, 39, 0, 0, 0, 960], [0, 0, 0, 0, 0, 54, 0, 0, 0, 946], [0, 0, 0, 0, 0, 7, 0, 0, 0, 993]]"
1,1,25,0.15706,0.1558,0.1558,"[[65, 0, 1, 0, 1, 109, 0, 0, 587, 237], [9, 1, 3, 0, 0, 222, 0, 0, 399, 366], [39, 2, 10, 0, 1, 322, 0, 0, 447, 179], [28, 2, 6, 1, 2, 455, 1, 0, 288, 217], [10, 3, 9, 2, 3, 460, 2, 0, 299, 212], [15, 0, 8, 0, 0, 417, 0, 0, 386, 174], [24, 5, 6, 1, 0, 512, 3, 0, 239, 210], [35, 1, 1, 0, 0, 328, 0, 0, 265, 370], [12, 0, 1, 0, 0, 152, 0, 0, 464, 371], [10, 0, 3, 0, 0, 91, 1, 0, 301, 594]]"
2,2,25,0.2393,0.2497,0.2497,"[[476, 9, 13, 3, 3, 79, 37, 12, 162, 206], [131, 42, 18, 10, 9, 148, 119, 12, 237, 274], [173, 12, 62, 26, 19, 198, 328, 21, 36, 125], [83, 5, 41, 39, 21, 354, 255, 28, 30, 144], [63, 9, 45, 36, 18, 169, 503, 19, 21, 117], [106, 14, 31, 25, 13, 391, 236, 27, 47, 110], [21, 5, 35, 28, 16, 148, 614, 30, 8, 95], [49, 39, 45, 31, 24, 202, 216, 39, 45, 310], [235, 9, 8, 2, 1, 115, 13, 14, 281, 322], [78, 15, 12, 15, 6, 66, 83, 21, 169, 535]]"
3,3,25,0.2592,0.2754,0.2754,"[[499, 21, 3, 7, 0, 67, 43, 39, 197, 124], [93, 118, 7, 16, 3, 130, 125, 62, 299, 147], [173, 22, 22, 36, 6, 171, 385, 92, 32, 61], [79, 15, 13, 81, 5, 283, 305, 123, 26, 70], [66, 7, 5, 45, 4, 121, 581, 77, 27, 67], [74, 14, 17, 49, 4, 364, 286, 96, 52, 44], [22, 7, 8, 28, 1, 114, 679, 104, 6, 31], [49, 38, 7, 50, 7, 151, 249, 201, 42, 206], [258, 18, 2, 11, 1, 95, 14, 39, 378, 184], [64, 25, 2, 14, 3, 58, 89, 98, 239, 408]]"
4,4,25,0.2881,0.3074,0.3074,"[[481, 48, 1, 17, 1, 38, 38, 53, 209, 114], [61, 301, 5, 34, 7, 55, 97, 75, 217, 148], [168, 56, 27, 68, 31, 148, 309, 113, 32, 48], [66, 31, 15, 159, 24, 218, 225, 160, 40, 62], [62, 14, 9, 84, 59, 104, 473, 110, 36, 49], [46, 42, 28, 115, 21, 302, 219, 110, 70, 47], [22, 13, 7, 57, 8, 117, 609, 122, 8, 37], [47, 65, 13, 71, 51, 115, 157, 296, 36, 149], [187, 64, 2, 33, 3, 47, 9, 48, 423, 184], [46, 81, 1, 24, 7, 35, 65, 106, 218, 417]]"
5,5,25,0.3134,0.3326,0.3326,"[[463, 61, 18, 22, 8, 31, 26, 65, 221, 85], [53, 352, 10, 31, 19, 41, 77, 73, 184, 160], [145, 61, 62, 82, 74, 143, 250, 115, 32, 36], [57, 34, 39, 175, 62, 207, 175, 142, 42, 67], [58, 11, 39, 82, 161, 96, 357, 123, 39, 34], [32, 38, 48, 123, 55, 327, 171, 117, 55, 34], [16, 12, 29, 67, 64, 106, 547, 107, 6, 46], [42, 65, 23, 65, 81, 110, 99, 359, 33, 123], [154, 77, 2, 30, 4, 46, 8, 55, 461, 163], [39, 98, 5, 24, 12, 31, 57, 99, 216, 419]]"
6,6,25,0.33278,0.356,0.356,"[[429, 55, 37, 24, 10, 22, 28, 65, 220, 110], [39, 417, 12, 25, 18, 21, 78, 59, 115, 216], [115, 58, 107, 111, 108, 94, 227, 103, 35, 42], [41, 32, 57, 212, 70, 156, 185, 131, 38, 78], [53, 15, 56, 84, 231, 59, 313, 120, 40, 29], [26, 33, 70, 159, 63, 289, 175, 106, 42, 37], [9, 12, 49, 90, 88, 65, 544, 76, 7, 60], [24, 60, 43, 66, 91, 92, 96, 372, 32, 124], [130, 82, 4, 37, 6, 28, 9, 46, 465, 193], [25, 119, 13, 33, 13, 15, 56, 83, 149, 494]]"
7,7,25,0.34464,0.3767,0.3767,"[[430, 70, 40, 20, 21, 15, 26, 63, 217, 98], [28, 470, 12, 17, 18, 15, 68, 54, 92, 226], [97, 64, 152, 112, 140, 73, 186, 115, 31, 30], [37, 40, 66, 213, 81, 149, 174, 138, 26, 76], [51, 24, 78, 76, 273, 48, 263, 127, 35, 25], [21, 43, 94, 150, 70, 289, 152, 118, 29, 34], [7, 14, 60, 93, 111, 48, 525, 84, 9, 49], [26, 61, 44, 55, 94, 81, 78, 447, 26, 88], [118, 105, 8, 32, 13, 21, 9, 44, 477, 173], [19, 147, 12, 29, 12, 16, 54, 96, 124, 491]]"
8,8,25,0.36482,0.3931,0.3931,"[[470, 81, 38, 27, 20, 8, 21, 56, 201, 78], [32, 531, 7, 26, 18, 11, 47, 42, 81, 205], [99, 64, 158, 138, 122, 70, 173, 114, 32, 30], [45, 40, 64, 264, 56, 142, 163, 124, 25, 77], [63, 28, 84, 91, 263, 38, 251, 122, 36, 24], [23, 37, 90, 206, 49, 289, 130, 113, 30, 33], [7, 16, 71, 129, 86, 40, 520, 82, 9, 40], [35, 59, 39, 76, 82, 70, 62, 469, 25, 83], [143, 117, 7, 29, 20, 16, 7, 33, 487, 141], [33, 168, 9, 47, 10, 15, 39, 80, 119, 480]]"
9,9,25,0.37846,0.411,0.411,"[[452, 97, 39, 14, 27, 7, 22, 53, 203, 86], [20, 578, 7, 22, 15, 8, 41, 37, 66, 206], [91, 58, 194, 109, 107, 75, 180, 125, 27, 34], [39, 45, 66, 219, 52, 161, 178, 131, 25, 84], [61, 38, 95, 66, 268, 38, 241, 128, 38, 27], [18, 45, 85, 162, 48, 319, 131, 122, 35, 35], [5, 20, 78, 83, 89, 49, 548, 65, 10, 53], [31, 65, 40, 54, 76, 76, 62, 485, 26, 85], [114, 120, 11, 17, 21, 16, 10, 28, 524, 139], [23, 196, 8, 39, 10, 13, 31, 64, 93, 523]]"
