round, train_acc, test_acc, f1, time_stamp
0, 0.10744, 0.1071, 0.1071, 814.5708117485046
1, 0.15706, 0.1558, 0.1558, 1628.7979702949524
2, 0.2393, 0.2497, 0.2497, 2441.278207540512
3, 0.2592, 0.2754, 0.2754, 3253.728343963623
4, 0.2881, 0.3074, 0.3074, 4067.2255153656006
5, 0.3134, 0.3326, 0.3326, 4880.323143959045
6, 0.33278, 0.356, 0.356, 5691.358150720596
7, 0.34464, 0.3767, 0.3767, 6501.734695196152
8, 0.36482, 0.3931, 0.3931, 7312.468994379044
9, 0.37846, 0.411, 0.411, 8123.470156908035
10, 0.3887, 0.4296, 0.4296, 8934.501563072205
11, 0.39712, 0.4355, 0.4355, 9744.973261594772
12, 0.40688, 0.4465, 0.4465, 10554.380121946335
13, 0.41544, 0.4527, 0.4527, 11363.570453166962
14, 0.41976, 0.4546, 0.4546, 12174.495220422745
15, 0.42256, 0.4592, 0.4592, 12983.616643190384
16, 0.42834, 0.4641, 0.4641, 13790.01994729042
17, 0.43008, 0.4677, 0.4677, 14599.791936159134
18, 0.43316, 0.4717, 0.4717, 15408.33299779892
19, 0.4342, 0.4696, 0.4696, 16214.492894887924
20, 0.43582, 0.4703, 0.4703, 17021.786267518997
21, 0.4389, 0.4734, 0.4734, 17829.6374502182
22, 0.44024, 0.4749, 0.4749, 18637.545976161957
23, 0.44336, 0.4778, 0.4778, 19443.509339809418
24, 0.44528, 0.4789, 0.4789, 20249.966448307037
25, 0.43256, 0.4639, 0.4639, 21057.353348970413
26, 0.44644, 0.4825, 0.4825, 21865.60332775116
27, 0.45086, 0.4817, 0.4817, 22675.785046339035
28, 0.45352, 0.4873, 0.4873, 23482.750329971313
29, 0.45196, 0.4877, 0.4877, 24291.524960041046
30, 0.45558, 0.4874, 0.4874, 25097.339993476868
31, 0.45402, 0.4925, 0.4925, 25905.06822347641
32, 0.45786, 0.4958, 0.4958, 26711.425307512283
33, 0.45988, 0.4907, 0.4907, 27521.29800748825
34, 0.46226, 0.4942, 0.4942, 28327.491520166397
35, 0.46406, 0.4931, 0.4931, 29134.33036017418
36, 0.46368, 0.4949, 0.4949, 29945.924692869186
37, 0.46396, 0.4949, 0.4949, 30756.086812019348
38, 0.46662, 0.4945, 0.4945, 31564.65796470642
39, 0.46226, 0.4942, 0.4942, 32369.636238098145
40, 0.46862, 0.497, 0.497, 33176.02712368965
41, 0.4657, 0.4979, 0.4979, 33983.87262535095
42, 0.46876, 0.4996, 0.4996, 34788.35933995247
43, 0.47144, 0.4989, 0.4989, 35596.39451789856
44, 0.47352, 0.5004, 0.5004, 36403.28883981705
45, 0.4709, 0.5013, 0.5013, 37208.68012213707
46, 0.4736, 0.501, 0.501, 38015.403049230576
47, 0.4753, 0.5051, 0.5051, 38821.46236419678
48, 0.47676, 0.5045, 0.5045, 39629.60668516159
49, 0.47834, 0.5061, 0.5061, 40434.39511871338
50, 0.4783, 0.5042, 0.5042, 41240.5703523159
51, 0.47818, 0.5053, 0.5053, 42047.07739281654
52, 0.4789, 0.5041, 0.5041, 42854.248314380646
53, 0.25368, 0.2573, 0.2573, 43660.60034370422
54, 0.44152, 0.4725, 0.4725, 44472.24302506447
55, 0.45824, 0.4889, 0.4889, 45278.65089774132
56, 0.46632, 0.4941, 0.4941, 46086.848266363144
57, 0.4685, 0.4932, 0.4932, 46893.99757933617
58, 0.46692, 0.4873, 0.4873, 47702.143582582474
59, 0.4725, 0.4987, 0.4987, 48508.89055085182
60, 0.4764, 0.4977, 0.4977, 49322.38058447838
61, 0.47442, 0.4984, 0.4984, 50132.69276857376
