,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0999,0,0
1,1,10,0,0.1004,0,0
2,2,10,0,0.1024,0,0
3,3,10,0,0.1018,0,0
4,4,10,0,0.2436,0,0
5,5,10,0,0.1988,0,0
6,6,10,0,0.2043,0,0
7,7,10,0,0.2529,0,0
8,8,10,0,0.2739,0,0
9,9,10,0,0.279,0,0
10,10,10,0,0.2912,0,0
11,11,10,0,0.299,0,0
12,12,10,0,0.2858,0,0
13,13,10,0,0.2943,0,0
14,14,10,0,0.2996,0,0
15,15,10,0,0.3186,0,0
16,16,10,0,0.3132,0,0
17,17,10,0,0.3493,0,0
18,18,10,0,0.3825,0,0
19,19,10,0,0.3804,0,0
20,20,10,0,0.401,0,0
21,21,10,0,0.4025,0,0
22,22,10,0,0.4182,0,0
23,23,10,0,0.4252,0,0
24,24,10,0,0.4224,0,0
25,25,10,0,0.441,0,0
26,26,10,0,0.4474,0,0
27,27,10,0,0.4449,0,0
28,28,10,0,0.4503,0,0
29,29,10,0,0.4615,0,0
30,30,10,0,0.4551,0,0
31,31,10,0,0.4659,0,0
32,32,10,0,0.4645,0,0
33,33,10,0,0.4742,0,0
34,34,10,0,0.4649,0,0
35,35,10,0,0.4666,0,0
36,36,10,0,0.4708,0,0
37,37,10,0,0.4861,0,0
38,38,10,0,0.4887,0,0
39,39,10,0,0.4899,0,0
40,40,10,0,0.4932,0,0
41,41,10,0,0.4929,0,0
42,42,10,0,0.4943,0,0
43,43,10,0,0.5004,0,0
44,44,10,0,0.5031,0,0
45,45,10,0,0.5031,0,0
46,46,10,0,0.5009,0,0
47,47,10,0,0.5099,0,0
48,48,10,0,0.5079,0,0
49,49,10,0,0.5088,0,0
