round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 150.54132199287415
1, 0.10002, 0.0998, 0.0998, 300.8820950984955
2, 0.08808, 0.092, 0.092, 452.04695749282837
3, 0.0984, 0.0991, 0.0991, 602.885381937027
4, 0.0999, 0.1, 0.1, 753.5858070850372
5, 0.1, 0.1, 0.1, 904.1325678825378
6, 0.1, 0.1, 0.1, 1054.8440914154053
7, 0.1, 0.1, 0.1, 1205.6563580036163
8, 0.1, 0.1, 0.1, 1356.3881323337555
9, 0.1, 0.1, 0.1, 1507.1288979053497
10, 0.1, 0.1, 0.1, 1658.0446186065674
11, 0.1, 0.1, 0.1, 1808.6828949451447
12, 0.09996, 0.1, 0.1, 1960.2339067459106
13, 0.1071, 0.1074, 0.1074, 2111.1154839992523
14, 0.13798, 0.1425, 0.1425, 2261.8459022045135
15, 0.10992, 0.1091, 0.1091, 2412.8946771621704
16, 0.1196, 0.1173, 0.1173, 2563.5089843273163
17, 0.10558, 0.1046, 0.1046, 2714.535019636154
18, 0.11006, 0.1083, 0.1083, 2865.2714252471924
19, 0.11832, 0.1152, 0.1152, 3016.2803263664246
20, 0.14866, 0.1472, 0.1472, 3167.2511937618256
21, 0.17418, 0.1754, 0.1754, 3317.822149991989
22, 0.20808, 0.2111, 0.2111, 3468.6473290920258
23, 0.2208, 0.2297, 0.2297, 3619.6046080589294
24, 0.22974, 0.2365, 0.2365, 3770.5961956977844
25, 0.237, 0.245, 0.245, 3921.5262825489044
26, 0.24988, 0.2586, 0.2586, 4072.3704957962036
27, 0.24486, 0.2555, 0.2555, 4223.155511856079
28, 0.25762, 0.2759, 0.2759, 4374.17275428772
29, 0.24754, 0.2558, 0.2558, 4524.914615869522
30, 0.26412, 0.2814, 0.2814, 4675.165885210037
31, 0.26216, 0.2767, 0.2767, 4825.780721902847
32, 0.2659, 0.2824, 0.2824, 4976.983134508133
33, 0.26912, 0.2855, 0.2855, 5128.498358011246
34, 0.27466, 0.2942, 0.2942, 5280.472939014435
35, 0.28044, 0.2994, 0.2994, 5431.541669130325
36, 0.28092, 0.301, 0.301, 5582.486100196838
37, 0.28336, 0.3015, 0.3015, 5733.533750772476
38, 0.28646, 0.3041, 0.3041, 5884.523811340332
39, 0.28644, 0.3005, 0.3005, 6036.075628995895
40, 0.29104, 0.3116, 0.3116, 6186.821191072464
41, 0.29504, 0.3187, 0.3187, 6338.364177942276
42, 0.29606, 0.3208, 0.3208, 6489.3908150196075
43, 0.30676, 0.3318, 0.3318, 6640.5133175849915
44, 0.30632, 0.3298, 0.3298, 6791.550979375839
45, 0.31418, 0.338, 0.338, 6943.008008956909
46, 0.31214, 0.3351, 0.3351, 7094.03323507309
47, 0.3206, 0.3396, 0.3396, 7245.126850128174
48, 0.32344, 0.3495, 0.3495, 7396.533668994904
49, 0.32856, 0.3533, 0.3533, 7548.083036184311
