,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,5,0,0.1,0,0
1,1,5,0,0.1,0,0
2,2,5,0,0.1,0,0
3,3,5,0,0.1465,0,0
4,4,5,0,0.1224,0,0
5,5,5,0,0.2168,0,0
6,6,5,0,0.2481,0,0
7,7,5,0,0.2581,0,0
8,8,5,0,0.2856,0,0
9,9,5,0,0.2992,0,0
10,10,5,0,0.3167,0,0
11,11,5,0,0.3273,0,0
12,12,5,0,0.3533,0,0
13,13,5,0,0.3577,0,0
14,14,5,0,0.3816,0,0
15,15,5,0,0.3902,0,0
16,16,5,0,0.3991,0,0
17,17,5,0,0.3988,0,0
18,18,5,0,0.4182,0,0
19,19,5,0,0.4188,0,0
20,20,5,0,0.4299,0,0
21,21,5,0,0.4312,0,0
22,22,5,0,0.434,0,0
23,23,5,0,0.4479,0,0
24,24,5,0,0.4517,0,0
25,25,5,0,0.4477,0,0
26,26,5,0,0.4634,0,0
27,27,5,0,0.4678,0,0
28,28,5,0,0.4723,0,0
29,29,5,0,0.4709,0,0
30,30,5,0,0.4806,0,0
31,31,5,0,0.4865,0,0
32,32,5,0,0.4892,0,0
33,33,5,0,0.4869,0,0
34,34,5,0,0.4941,0,0
35,35,5,0,0.4938,0,0
36,36,5,0,0.5003,0,0
37,37,5,0,0.4998,0,0
38,38,5,0,0.5011,0,0
39,39,5,0,0.5045,0,0
40,40,5,0,0.4972,0,0
41,41,5,0,0.5075,0,0
42,42,5,0,0.5121,0,0
43,43,5,0,0.5139,0,0
44,44,5,0,0.5154,0,0
45,45,5,0,0.516,0,0
46,46,5,0,0.5174,0,0
47,47,5,0,0.5188,0,0
48,48,5,0,0.5228,0,0
49,49,5,0,0.5232,0,0
