round, train_acc, test_acc, f1, time_stamp
0, 0.1, 0.1, 0.1, 323.9629693031311
1, 0.11312, 0.1116, 0.1116, 648.1568174362183
2, 0.16464, 0.1663, 0.1663, 973.5258188247681
3, 0.21042, 0.2272, 0.2272, 1298.0690376758575
4, 0.22046, 0.2377, 0.2377, 1621.9289364814758
5, 0.2523, 0.2691, 0.2691, 1943.58154296875
6, 0.26892, 0.2828, 0.2828, 2265.6157627105713
7, 0.27722, 0.2963, 0.2963, 2588.2735571861267
8, 0.28942, 0.3117, 0.3117, 2909.6424765586853
9, 0.1578, 0.1629, 0.1629, 3230.8064515590668
10, 0.1, 0.1, 0.1, 3551.1838567256927
11, 0.1, 0.1, 0.1, 3873.951387643814
12, 0.1, 0.1, 0.1, 4195.874338626862
13, 0.1, 0.1, 0.1, 4519.487243652344
14, 0.1, 0.1, 0.1, 4842.375086069107
15, 0.1, 0.1, 0.1, 5163.93075299263
16, 0.1, 0.1, 0.1, 5486.261287689209
17, 0.1, 0.1, 0.1, 5808.576446294785
18, 0.1, 0.1, 0.1, 6130.516829252243
19, 0.1, 0.1, 0.1, 6449.282611131668
20, 0.1, 0.1, 0.1, 6770.131747245789
21, 0.1, 0.1, 0.1, 7092.202938079834
22, 0.1, 0.1, 0.1, 7414.874744176865
23, 0.1, 0.1, 0.1, 7734.63729095459
24, 0.1, 0.1, 0.1, 8053.7647840976715
25, 0.1, 0.1, 0.1, 8373.397834539413
26, 0.1, 0.1, 0.1, 8692.92402768135
27, 0.1, 0.1, 0.1, 9012.889934539795
28, 0.1, 0.1, 0.1, 9332.706514835358
29, 0.1, 0.1, 0.1, 9652.02563714981
30, 0.1, 0.1, 0.1, 9971.035645484924
31, 0.1, 0.1, 0.1, 10290.610083341599
32, 0.1, 0.1, 0.1, 10610.21235704422
33, 0.1, 0.1, 0.1, 10929.244884252548
34, 0.1, 0.1, 0.1, 11248.694267749786
35, 0.1, 0.1, 0.1, 11568.405482530594
36, 0.1, 0.1, 0.1, 11888.04920721054
37, 0.1, 0.1, 0.1, 12207.956092357635
38, 0.1, 0.1, 0.1, 12527.43858909607
39, 0.1, 0.1, 0.1, 12847.179995775223
40, 0.1, 0.1, 0.1, 13166.661081314087
41, 0.1, 0.1, 0.1, 13486.952550649643
42, 0.1, 0.1, 0.1, 13807.244814872742
43, 0.1, 0.1, 0.1, 14127.375442266464
44, 0.1, 0.1, 0.1, 14446.484817504883
45, 0.1, 0.1, 0.1, 14765.203157424927
46, 0.1, 0.1, 0.1, 15083.914836883545
47, 0.1, 0.1, 0.1, 15401.53386425972
48, 0.1, 0.1, 0.1, 15719.860018968582
49, 0.1, 0.1, 0.1, 16039.564367771149
