,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0.1344,0.1396,0.1396,"[[0, 0, 152, 27, 213, 201, 217, 0, 12, 178], [0, 0, 71, 53, 269, 84, 364, 0, 9, 150], [0, 0, 106, 40, 281, 179, 363, 0, 0, 31], [0, 0, 64, 56, 261, 173, 430, 0, 2, 14], [0, 0, 37, 31, 328, 148, 443, 0, 0, 13], [0, 0, 66, 117, 200, 156, 452, 0, 0, 9], [0, 0, 28, 53, 217, 123, 574, 0, 0, 5], [0, 0, 48, 85, 281, 199, 349, 0, 1, 37], [0, 0, 94, 25, 259, 154, 301, 0, 29, 138], [0, 0, 81, 75, 355, 110, 216, 0, 16, 147]]"
1,1,10,0.23552,0.2461,0.2461,"[[50, 28, 0, 4, 4, 107, 37, 56, 521, 193], [4, 118, 1, 5, 16, 163, 109, 79, 370, 135], [18, 27, 0, 16, 43, 268, 319, 113, 122, 74], [4, 17, 0, 42, 22, 341, 280, 172, 47, 75], [4, 7, 0, 16, 38, 195, 523, 101, 50, 66], [1, 24, 0, 50, 29, 401, 262, 108, 64, 61], [0, 6, 0, 25, 28, 170, 617, 113, 6, 35], [4, 30, 1, 20, 41, 213, 208, 284, 56, 143], [12, 35, 0, 7, 4, 134, 14, 45, 537, 212], [3, 37, 0, 8, 14, 84, 81, 139, 260, 374]]"
2,2,10,0.2657,0.282,0.282,"[[357, 27, 0, 0, 14, 135, 47, 111, 172, 137], [45, 175, 0, 0, 29, 174, 111, 106, 224, 136], [94, 34, 5, 0, 120, 173, 389, 129, 24, 32], [16, 11, 1, 0, 103, 275, 348, 183, 19, 44], [31, 6, 0, 0, 139, 122, 548, 102, 11, 41], [10, 9, 0, 0, 101, 364, 344, 132, 24, 16], [4, 3, 0, 0, 80, 89, 693, 111, 3, 17], [19, 18, 0, 0, 155, 162, 182, 364, 19, 81], [123, 49, 0, 0, 11, 144, 29, 78, 362, 204], [27, 53, 0, 0, 30, 83, 98, 188, 160, 361]]"
3,3,10,0.31896,0.3431,0.3431,"[[475, 78, 4, 4, 19, 37, 34, 77, 154, 118], [54, 384, 1, 2, 17, 43, 83, 82, 134, 200], [125, 60, 16, 10, 210, 137, 228, 156, 22, 36], [44, 42, 11, 18, 126, 247, 224, 190, 19, 79], [59, 17, 9, 4, 323, 109, 299, 135, 14, 31], [30, 37, 11, 6, 143, 351, 202, 154, 32, 34], [9, 22, 3, 7, 155, 84, 555, 124, 3, 38], [35, 50, 6, 8, 150, 119, 80, 435, 20, 97], [169, 101, 1, 1, 6, 63, 17, 43, 389, 210], [36, 114, 1, 6, 9, 22, 78, 103, 146, 485]]"
4,4,10,0.35368,0.3807,0.3807,"[[436, 77, 27, 11, 18, 21, 26, 64, 201, 119], [31, 471, 2, 7, 10, 20, 67, 33, 80, 279], [109, 63, 59, 54, 195, 114, 197, 140, 28, 41], [44, 36, 26, 92, 96, 223, 199, 163, 22, 99], [51, 26, 33, 29, 355, 78, 236, 140, 19, 33], [24, 32, 31, 52, 124, 353, 161, 152, 31, 40], [6, 27, 20, 45, 151, 67, 529, 96, 6, 53], [30, 46, 13, 30, 117, 98, 70, 484, 17, 95], [123, 120, 3, 18, 3, 29, 14, 30, 445, 215], [23, 146, 2, 19, 7, 13, 60, 37, 110, 583]]"
5,5,10,0.37858,0.4088,0.4088,"[[484, 88, 37, 12, 17, 7, 26, 52, 218, 59], [27, 562, 2, 11, 5, 14, 42, 24, 100, 213], [96, 60, 91, 73, 181, 102, 191, 150, 31, 25], [44, 46, 43, 137, 60, 206, 202, 155, 18, 89], [48, 30, 52, 39, 339, 52, 220, 166, 25, 29], [26, 31, 56, 97, 86, 344, 146, 154, 31, 29], [5, 28, 32, 66, 138, 36, 556, 76, 10, 53], [25, 51, 25, 45, 89, 74, 66, 544, 15, 66], [154, 128, 8, 14, 3, 15, 15, 21, 525, 117], [30, 191, 5, 27, 3, 9, 43, 45, 141, 506]]"
6,6,10,0.3965,0.4295,0.4295,"[[513, 97, 45, 15, 19, 8, 22, 39, 170, 72], [26, 617, 3, 8, 4, 10, 21, 21, 68, 222], [87, 52, 126, 88, 196, 97, 160, 138, 26, 30], [37, 45, 53, 209, 53, 207, 157, 127, 16, 96], [59, 32, 58, 51, 357, 45, 181, 166, 22, 29], [27, 29, 62, 137, 69, 358, 102, 157, 23, 36], [5, 32, 21, 90, 161, 36, 516, 60, 14, 65], [28, 48, 33, 53, 73, 73, 50, 553, 10, 79], [175, 131, 12, 19, 4, 11, 12, 15, 485, 136], [23, 205, 5, 27, 3, 8, 28, 37, 103, 561]]"
7,7,10,0.41836,0.4545,0.4545,"[[468, 78, 43, 17, 22, 16, 25, 39, 225, 67], [16, 630, 4, 10, 4, 17, 28, 26, 79, 186], [71, 36, 179, 73, 196, 117, 152, 114, 34, 28], [23, 32, 53, 204, 63, 262, 155, 112, 18, 78], [48, 26, 76, 39, 383, 59, 163, 154, 29, 23], [16, 16, 75, 111, 58, 427, 91, 151, 26, 29], [3, 16, 28, 88, 151, 45, 564, 50, 14, 41], [24, 28, 30, 45, 73, 96, 54, 579, 14, 57], [128, 106, 12, 19, 4, 22, 14, 14, 573, 108], [23, 195, 6, 29, 2, 16, 33, 38, 120, 538]]"
8,8,10,0.43086,0.4664,0.4664,"[[489, 67, 48, 20, 26, 14, 24, 37, 205, 70], [26, 626, 5, 11, 4, 14, 24, 22, 74, 194], [74, 36, 194, 90, 182, 112, 144, 109, 31, 28], [23, 27, 48, 269, 55, 238, 152, 94, 17, 77], [44, 24, 89, 54, 350, 60, 187, 141, 30, 21], [15, 18, 66, 167, 55, 415, 91, 117, 25, 31], [2, 17, 24, 93, 122, 42, 600, 45, 16, 39], [23, 27, 30, 60, 71, 100, 52, 573, 13, 51], [134, 98, 10, 27, 7, 16, 10, 17, 581, 100], [19, 175, 11, 28, 2, 14, 30, 41, 113, 567]]"
9,9,10,0.444,0.4779,0.4779,"[[488, 69, 46, 15, 25, 16, 26, 39, 201, 75], [20, 646, 7, 9, 4, 16, 27, 20, 71, 180], [77, 32, 228, 68, 181, 107, 134, 114, 31, 28], [25, 24, 51, 226, 63, 246, 179, 100, 16, 70], [42, 23, 81, 51, 385, 61, 166, 145, 30, 16], [12, 14, 70, 124, 66, 433, 99, 131, 23, 28], [2, 11, 24, 73, 135, 41, 620, 48, 13, 33], [22, 23, 30, 44, 69, 105, 49, 610, 15, 33], [118, 99, 10, 20, 9, 18, 11, 16, 596, 103], [22, 186, 8, 32, 3, 15, 33, 46, 108, 547]]"
