,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.3798,0,0
1,1,10,0,0.4941,0,0
2,2,10,0,0.5285,0,0
3,3,10,0,0.5497,0,0
4,4,10,0,0.5833,0,0
5,5,10,0,0.5981,0,0
6,6,10,0,0.6115,0,0
7,7,10,0,0.6236,0,0
8,8,10,0,0.6291,0,0
9,9,10,0,0.6122,0,0
10,10,10,0,0.6287,0,0
11,11,10,0,0.6384,0,0
12,12,10,0,0.6325,0,0
13,13,10,0,0.6494,0,0
14,14,10,0,0.6504,0,0
15,15,10,0,0.6545,0,0
16,16,10,0,0.6544,0,0
17,17,10,0,0.6561,0,0
18,18,10,0,0.6407,0,0
19,19,10,0,0.6535,0,0
20,20,10,0,0.65,0,0
21,21,10,0,0.6438,0,0
22,22,10,0,0.6414,0,0
23,23,10,0,0.6625,0,0
24,24,10,0,0.6637,0,0
25,25,10,0,0.6696,0,0
26,26,10,0,0.6589,0,0
27,27,10,0,0.6586,0,0
28,28,10,0,0.65,0,0
29,29,10,0,0.6584,0,0
30,30,10,0,0.6665,0,0
31,31,10,0,0.6673,0,0
32,32,10,0,0.666,0,0
33,33,10,0,0.6646,0,0
34,34,10,0,0.668,0,0
35,35,10,0,0.6727,0,0
36,36,10,0,0.6607,0,0
37,37,10,0,0.6715,0,0
38,38,10,0,0.6718,0,0
39,39,10,0,0.6694,0,0
40,40,10,0,0.6663,0,0
41,41,10,0,0.6717,0,0
42,42,10,0,0.6751,0,0
43,43,10,0,0.6696,0,0
44,44,10,0,0.6694,0,0
45,45,10,0,0.6732,0,0
46,46,10,0,0.6699,0,0
47,47,10,0,0.6736,0,0
48,48,10,0,0.667,0,0
49,49,10,0,0.6686,0,0
