,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.1497,0,0
1,1,10,0,0.1801,0,0
2,2,10,0,0.3104,0,0
3,3,10,0,0.3728,0,0
4,4,10,0,0.4228,0,0
5,5,10,0,0.4276,0,0
6,6,10,0,0.443,0,0
7,7,10,0,0.4806,0,0
8,8,10,0,0.495,0,0
9,9,10,0,0.5,0,0
10,10,10,0,0.5022,0,0
11,11,10,0,0.5304,0,0
12,12,10,0,0.5329,0,0
13,13,10,0,0.5513,0,0
14,14,10,0,0.5306,0,0
15,15,10,0,0.561,0,0
16,16,10,0,0.5579,0,0
17,17,10,0,0.5725,0,0
18,18,10,0,0.585,0,0
19,19,10,0,0.5914,0,0
20,20,10,0,0.5763,0,0
21,21,10,0,0.5931,0,0
22,22,10,0,0.5987,0,0
23,23,10,0,0.6054,0,0
24,24,10,0,0.607,0,0
25,25,10,0,0.6065,0,0
26,26,10,0,0.6115,0,0
27,27,10,0,0.6155,0,0
28,28,10,0,0.6172,0,0
29,29,10,0,0.6254,0,0
30,30,10,0,0.6106,0,0
31,31,10,0,0.6163,0,0
32,32,10,0,0.624,0,0
33,33,10,0,0.6339,0,0
34,34,10,0,0.63,0,0
35,35,10,0,0.6339,0,0
36,36,10,0,0.6332,0,0
37,37,10,0,0.6352,0,0
38,38,10,0,0.6344,0,0
39,39,10,0,0.6372,0,0
40,40,10,0,0.6409,0,0
41,41,10,0,0.6396,0,0
42,42,10,0,0.6464,0,0
43,43,10,0,0.6443,0,0
44,44,10,0,0.6397,0,0
45,45,10,0,0.6414,0,0
46,46,10,0,0.6451,0,0
47,47,10,0,0.6458,0,0
48,48,10,0,0.647,0,0
49,49,10,0,0.6451,0,0
