round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 3245.1049535274506
1, 0, 0.1, 0, 6273.77508354187
2, 0, 0.1, 0, 9485.370574951172
3, 0, 0.1, 0, 12773.133572101593
4, 0, 0.1, 0, 16242.805019140244
5, 0, 0.1, 0, 19489.16295337677
6, 0, 0.1, 0, 22669.267791748047
7, 0, 0.1, 0, 25619.35363817215
8, 0, 0.1, 0, 28673.55934047699
9, 0, 0.1, 0, 31907.47188949585
10, 0, 0.1, 0, 35363.402473688126
11, 0, 0.1, 0, 38782.52392721176
12, 0, 0.1, 0, 42200.063774347305
13, 0, 0.1, 0, 45731.38900971413
14, 0, 0.1, 0, 49250.255762815475
15, 0, 0.1, 0, 52820.25731229782
16, 0, 0.1, 0, 56301.37012887001
17, 0, 0.1, 0, 59596.78355193138
18, 0, 0.1, 0, 62661.24047112465
19, 0, 0.1, 0, 65903.66771745682
20, 0, 0.1, 0, 69049.12688875198
21, 0, 0.1, 0, 72162.72399044037
22, 0, 0.1, 0, 75167.4827747345
23, 0, 0.1, 0, 78156.16510391235
24, 0, 0.1, 0, 81142.00980305672
