round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1, 0, 7200.177551746368
1, 0, 0.1, 0, 13367.899655342102
2, 0, 0.1, 0, 19500.388886213303
3, 0, 0.1, 0, 25628.930431604385
4, 0, 0.1, 0, 31768.08543896675
5, 0, 0.1, 0, 37909.7414495945
6, 0, 0.1, 0, 44075.71211695671
7, 0, 0.1, 0, 50259.512075185776
8, 0, 0.1, 0, 56074.893568992615
9, 0, 0.1, 0, 61735.11187171936
10, 0, 0.1, 0, 67424.13720202446
11, 0, 0.1, 0, 73125.08602070808
12, 0, 0.1, 0, 78882.10589504242
13, 0, 0.1, 0, 84710.20508670807
14, 0, 0.1, 0, 90774.65989899635
15, 0, 0.1, 0, 96693.00276637077
16, 0, 0.1, 0, 102358.8868842125
17, 0, 0.1, 0, 108331.41437458992
18, 0, 0.1, 0, 114461.06756329536
19, 0, 0.1, 0, 120300.38493466377
20, 0, 0.1, 0, 126129.21913290024
21, 0, 0.1, 0, 132127.60122609138
22, 0, 0.1, 0, 138285.1386668682
23, 0, 0.1, 0, 144557.075912714
24, 0, 0.1, 0, 150764.2862792015
