round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1252, 0, 3277.0628616809845
1, 0, 0.1373, 0, 6460.83925819397
2, 0, 0.1351, 0, 9611.778649806976
3, 0, 0.1286, 0, 12904.868967056274
4, 0, 0.1682, 0, 16036.112280607224
5, 0, 0.155, 0, 19465.171366214752
6, 0, 0.1646, 0, 22703.704948425293
7, 0, 0.1919, 0, 25939.393871307373
8, 0, 0.2275, 0, 29303.307729959488
9, 0, 0.2368, 0, 32565.581236362457
10, 0, 0.2312, 0, 35721.9464571476
11, 0, 0.2472, 0, 38952.47069001198
12, 0, 0.2452, 0, 42318.15857863426
13, 0, 0.2533, 0, 45545.389147758484
14, 0, 0.2582, 0, 48733.79976773262
15, 0, 0.2648, 0, 52085.5853266716
16, 0, 0.2668, 0, 55572.34428334236
17, 0, 0.2777, 0, 59065.90876674652
18, 0, 0.2744, 0, 62534.56643128395
19, 0, 0.2828, 0, 65972.97647833824
20, 0, 0.2821, 0, 69287.50836539268
21, 0, 0.2931, 0, 72457.12873888016
22, 0, 0.2935, 0, 75535.48056769371
23, 0, 0.2973, 0, 78563.26561117172
24, 0, 0.3073, 0, 81543.98610162735
