round, train_acc, test_acc, f1, time_stamp
0, 0.10232, 0.1024, 0.1024, 657.9481434822083
1, 0.14826, 0.1548, 0.1548, 1320.3057754039764
2, 0.16526, 0.1693, 0.1693, 1957.5983526706696
3, 0.20284, 0.2077, 0.2077, 2608.476508140564
4, 0.23018, 0.2418, 0.2418, 3272.196768760681
5, 0.24362, 0.263, 0.263, 3917.106714963913
6, 0.2556, 0.2728, 0.2728, 4563.994876861572
7, 0.25852, 0.2786, 0.2786, 5238.0188710689545
8, 0.2902, 0.3126, 0.3126, 5903.932113409042
9, 0.28056, 0.3044, 0.3044, 6526.073746204376
10, 0.3128, 0.3382, 0.3382, 7185.354624032974
11, 0.30704, 0.3336, 0.3336, 7870.474724531174
12, 0.33066, 0.356, 0.356, 8530.689507484436
13, 0.32544, 0.3553, 0.3553, 9179.875795602798
14, 0.3533, 0.3863, 0.3863, 9877.02693605423
15, 0.35358, 0.3898, 0.3898, 10541.595987319946
16, 0.37614, 0.4096, 0.4096, 11209.937267303467
17, 0.3816, 0.4194, 0.4194, 11879.837712526321
18, 0.38484, 0.4251, 0.4251, 12559.247978687286
19, 0.39676, 0.4356, 0.4356, 13239.782860040665
20, 0.40074, 0.4435, 0.4435, 13920.93812251091
21, 0.4109, 0.4506, 0.4506, 14589.034685850143
22, 0.41296, 0.4513, 0.4513, 15260.915488958359
23, 0.42014, 0.4578, 0.4578, 15920.200656175613
24, 0.42944, 0.4645, 0.4645, 16588.11411380768
