round, train_acc, test_acc, f1, time_stamp
0, 0, 0.0993, 0, 5724.953443288803
1, 0, 0.0999, 0, 11432.1216776371
2, 0, 0.1203, 0, 17441.08811545372
3, 0, 0.1429, 0, 23305.57092833519
4, 0, 0.1587, 0, 29188.647283554077
5, 0, 0.1702, 0, 35105.54536437988
6, 0, 0.1906, 0, 40927.79530501366
7, 0, 0.2095, 0, 46785.311007261276
8, 0, 0.2364, 0, 52671.58408021927
9, 0, 0.2304, 0, 60109.794370651245
10, 0, 0.2536, 0, 66336.5365447998
11, 0, 0.2633, 0, 72678.67460179329
12, 0, 0.2798, 0, 78768.09309720993
13, 0, 0.2859, 0, 85750.54761075974
14, 0, 0.309, 0, 92585.82669329643
15, 0, 0.3308, 0, 99153.32174992561
16, 0, 0.3391, 0, 106207.25854635239
17, 0, 0.3638, 0, 113301.59083724022
18, 0, 0.3836, 0, 120451.23680615425
19, 0, 0.3982, 0, 127823.33599972725
20, 0, 0.4094, 0, 135133.63664531708
21, 0, 0.4223, 0, 142560.6051647663
22, 0, 0.435, 0, 149620.25089406967
23, 0, 0.4424, 0, 155569.81140899658
24, 0, 0.4494, 0, 161389.00891423225
