round, train_acc, test_acc, f1, time_stamp
0, 0.11486, 0.1224, 0.1224, 338.0175750255585
1, 0.10904, 0.1148, 0.1148, 676.9129502773285
2, 0.11004, 0.1078, 0.1078, 1015.5818426609039
3, 0.1294, 0.1299, 0.1299, 1350.9237225055695
4, 0.13394, 0.1382, 0.1382, 1686.5296149253845
5, 0.13908, 0.1393, 0.1393, 2022.1396062374115
6, 0.13528, 0.1423, 0.1423, 2357.7804131507874
7, 0.13862, 0.1431, 0.1431, 2695.313609600067
8, 0.14054, 0.1472, 0.1472, 3032.0696833133698
9, 0.1466, 0.151, 0.151, 3365.1995532512665
10, 0.15004, 0.1588, 0.1588, 3697.9495074748993
11, 0.15186, 0.1591, 0.1591, 4030.047425508499
12, 0.1572, 0.1624, 0.1624, 4362.460139989853
13, 0.1632, 0.1715, 0.1715, 4695.015190601349
14, 0.16138, 0.1696, 0.1696, 5027.611149311066
15, 0.16528, 0.1751, 0.1751, 5359.80973815918
16, 0.1704, 0.1851, 0.1851, 5692.184046983719
17, 0.17126, 0.1849, 0.1849, 6024.578711271286
18, 0.17234, 0.1836, 0.1836, 6357.257986783981
19, 0.18426, 0.1967, 0.1967, 6690.549937963486
20, 0.18196, 0.1956, 0.1956, 7023.877799034119
21, 0.18554, 0.199, 0.199, 7356.584848880768
22, 0.18698, 0.2035, 0.2035, 7689.436095237732
23, 0.19308, 0.2068, 0.2068, 8022.5179352760315
24, 0.19172, 0.2058, 0.2058, 8355.52048778534
25, 0.2022, 0.2177, 0.2177, 8688.532295942307
26, 0.20876, 0.2223, 0.2223, 9021.4010181427
27, 0.22006, 0.2368, 0.2368, 9354.1272418499
28, 0.23244, 0.2493, 0.2493, 9686.92438197136
29, 0.23752, 0.2533, 0.2533, 10020.331733226776
30, 0.23898, 0.2605, 0.2605, 10353.521540880203
31, 0.23714, 0.2596, 0.2596, 10686.536444425583
32, 0.24136, 0.2636, 0.2636, 11019.801454544067
33, 0.2463, 0.2689, 0.2689, 11352.726897001266
34, 0.24504, 0.2659, 0.2659, 11685.771363973618
35, 0.25022, 0.272, 0.272, 12018.859009027481
36, 0.25132, 0.2731, 0.2731, 12352.225313663483
37, 0.2551, 0.2763, 0.2763, 12682.994680404663
38, 0.25072, 0.2777, 0.2777, 13007.279980421066
39, 0.25888, 0.2823, 0.2823, 13333.48954796791
40, 0.26154, 0.2855, 0.2855, 13659.99456501007
41, 0.26094, 0.2856, 0.2856, 13986.4497756958
42, 0.2653, 0.2899, 0.2899, 14313.02043747902
43, 0.26882, 0.2921, 0.2921, 14639.593298912048
44, 0.27036, 0.2946, 0.2946, 14965.763584852219
45, 0.26932, 0.2983, 0.2983, 15291.780971765518
46, 0.27592, 0.3007, 0.3007, 15618.026935815811
47, 0.27626, 0.3038, 0.3038, 15944.145666122437
48, 0.27996, 0.3041, 0.3041, 16270.5377099514
49, 0.27986, 0.3088, 0.3088, 16596.456212997437
