,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,20,0.10076,0.101,0.101,"[[0, 0, 0, 0, 0, 0, 0, 0, 1000, 0], [0, 0, 0, 2, 0, 0, 0, 0, 998, 0], [0, 0, 0, 3, 0, 0, 0, 0, 997, 0], [0, 0, 0, 11, 2, 0, 0, 0, 987, 0], [0, 0, 0, 4, 1, 0, 0, 0, 994, 1], [0, 0, 0, 5, 2, 0, 0, 0, 993, 0], [0, 0, 0, 3, 0, 0, 0, 0, 997, 0], [0, 0, 0, 6, 0, 0, 0, 0, 994, 0], [0, 0, 0, 2, 0, 0, 0, 0, 998, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1000, 0]]"
1,1,20,0.12502,0.1274,0.1274,"[[671, 3, 1, 325, 0, 0, 0, 0, 0, 0], [748, 1, 0, 251, 0, 0, 0, 0, 0, 0], [505, 1, 0, 494, 0, 0, 0, 0, 0, 0], [394, 4, 0, 602, 0, 0, 0, 0, 0, 0], [416, 0, 2, 582, 0, 0, 0, 0, 0, 0], [438, 0, 0, 561, 1, 0, 0, 0, 0, 0], [421, 0, 0, 579, 0, 0, 0, 0, 0, 0], [543, 0, 0, 457, 0, 0, 0, 0, 0, 0], [748, 1, 0, 251, 0, 0, 0, 0, 0, 0], [843, 1, 0, 155, 1, 0, 0, 0, 0, 0]]"
2,2,20,0.13052,0.1338,0.1338,"[[812, 16, 51, 94, 27, 0, 0, 0, 0, 0], [741, 34, 102, 86, 36, 1, 0, 0, 0, 0], [659, 12, 156, 129, 44, 0, 0, 0, 0, 0], [506, 12, 137, 288, 57, 0, 0, 0, 0, 0], [546, 7, 158, 240, 48, 1, 0, 0, 0, 0], [548, 10, 141, 246, 55, 0, 0, 0, 0, 0], [513, 3, 249, 173, 62, 0, 0, 0, 0, 0], [641, 15, 87, 211, 46, 0, 0, 0, 0, 0], [771, 30, 62, 114, 23, 0, 0, 0, 0, 0], [844, 41, 57, 38, 20, 0, 0, 0, 0, 0]]"
3,3,20,0.14048,0.1459,0.1459,"[[600, 57, 175, 159, 4, 5, 0, 0, 0, 0], [504, 122, 230, 124, 9, 11, 0, 0, 0, 0], [406, 31, 314, 230, 13, 6, 0, 0, 0, 0], [310, 27, 237, 407, 12, 7, 0, 0, 0, 0], [317, 24, 321, 323, 14, 1, 0, 0, 0, 0], [334, 19, 277, 361, 7, 2, 0, 0, 0, 0], [280, 19, 395, 285, 13, 8, 0, 0, 0, 0], [445, 56, 184, 293, 18, 4, 0, 0, 0, 0], [554, 122, 169, 151, 1, 3, 0, 0, 0, 0], [628, 149, 145, 69, 7, 2, 0, 0, 0, 0]]"
4,4,20,0.14606,0.1496,0.1496,"[[523, 72, 179, 202, 12, 12, 0, 0, 0, 0], [450, 156, 207, 120, 18, 49, 0, 0, 0, 0], [348, 40, 289, 256, 42, 25, 0, 0, 0, 0], [280, 30, 190, 447, 22, 30, 0, 0, 0, 1], [276, 34, 269, 368, 36, 17, 0, 0, 0, 0], [301, 23, 224, 388, 19, 45, 0, 0, 0, 0], [247, 32, 322, 301, 30, 68, 0, 0, 0, 0], [398, 72, 154, 324, 28, 24, 0, 0, 0, 0], [509, 158, 142, 157, 3, 31, 0, 0, 0, 0], [597, 169, 133, 79, 13, 9, 0, 0, 0, 0]]"
5,5,20,0.14966,0.1538,0.1538,"[[395, 101, 304, 172, 9, 17, 0, 0, 0, 2], [315, 240, 275, 100, 19, 47, 0, 0, 0, 4], [239, 53, 408, 225, 45, 27, 0, 0, 0, 3], [199, 44, 282, 399, 25, 47, 0, 0, 0, 4], [194, 46, 377, 325, 35, 22, 0, 0, 0, 1], [220, 32, 317, 356, 21, 51, 0, 0, 0, 3], [175, 54, 414, 256, 22, 78, 0, 0, 0, 1], [313, 96, 225, 312, 26, 24, 0, 0, 0, 4], [392, 216, 223, 129, 1, 37, 0, 0, 0, 2], [471, 230, 196, 75, 8, 10, 0, 0, 0, 10]]"
6,6,20,0.15684,0.162,0.162,"[[493, 85, 135, 142, 103, 34, 0, 0, 0, 8], [402, 202, 159, 76, 67, 82, 0, 0, 0, 12], [305, 51, 211, 196, 186, 45, 0, 0, 0, 6], [251, 33, 142, 356, 112, 100, 0, 0, 0, 6], [253, 38, 174, 279, 205, 50, 0, 0, 0, 1], [272, 30, 161, 303, 117, 113, 0, 0, 0, 4], [220, 50, 240, 209, 139, 141, 0, 0, 0, 1], [362, 80, 106, 281, 104, 51, 0, 0, 0, 16], [482, 187, 110, 112, 32, 66, 0, 0, 0, 11], [558, 173, 98, 65, 47, 19, 0, 0, 0, 40]]"
7,7,20,0.16562,0.1738,0.1738,"[[396, 116, 242, 137, 62, 31, 0, 1, 0, 15], [290, 287, 186, 71, 63, 77, 0, 2, 0, 24], [227, 69, 328, 184, 133, 51, 0, 0, 0, 8], [179, 47, 223, 338, 94, 105, 0, 4, 0, 10], [177, 50, 284, 252, 177, 51, 0, 0, 0, 9], [200, 42, 245, 292, 90, 124, 0, 1, 0, 6], [164, 76, 300, 206, 109, 143, 0, 0, 0, 2], [268, 117, 163, 279, 89, 51, 0, 5, 0, 28], [369, 256, 158, 98, 25, 67, 0, 0, 0, 27], [406, 246, 142, 60, 41, 19, 0, 3, 0, 83]]"
8,8,20,0.17616,0.1829,0.1829,"[[484, 100, 175, 139, 32, 41, 0, 4, 0, 25], [326, 265, 139, 75, 49, 100, 0, 6, 0, 40], [258, 69, 273, 193, 113, 83, 0, 0, 0, 11], [199, 40, 190, 330, 73, 143, 0, 9, 0, 16], [197, 42, 251, 259, 163, 73, 1, 2, 0, 12], [223, 35, 199, 264, 74, 188, 0, 4, 0, 13], [168, 72, 248, 218, 91, 195, 0, 1, 0, 7], [274, 103, 137, 272, 88, 65, 0, 15, 0, 46], [422, 223, 117, 82, 18, 91, 0, 0, 0, 47], [434, 207, 119, 61, 26, 32, 0, 10, 0, 111]]"
9,9,20,0.18752,0.1949,0.1949,"[[509, 102, 194, 84, 39, 33, 0, 6, 3, 30], [290, 281, 171, 55, 53, 83, 0, 9, 4, 54], [229, 70, 339, 151, 117, 80, 0, 0, 0, 14], [164, 42, 246, 276, 95, 142, 0, 14, 1, 20], [158, 40, 315, 212, 184, 70, 1, 4, 1, 15], [172, 36, 271, 222, 91, 187, 0, 8, 0, 13], [133, 71, 277, 168, 142, 195, 0, 5, 0, 9], [213, 112, 201, 216, 116, 60, 0, 22, 1, 59], [422, 227, 132, 61, 16, 80, 0, 0, 10, 52], [381, 196, 153, 44, 31, 30, 0, 10, 14, 141]]"
