,Round,Epoch,Train Accuracy,Test Accuracy,F1,Confusion Matrix
0,0,10,0,0.0999,0,0
1,1,10,0,0.1,0,0
2,2,10,0,0.0995,0,0
3,3,10,0,0.1016,0,0
4,4,10,0,0.1398,0,0
5,5,10,0,0.1585,0,0
6,6,10,0,0.1485,0,0
7,7,10,0,0.1508,0,0
8,8,10,0,0.1814,0,0
9,9,10,0,0.1852,0,0
10,10,10,0,0.2112,0,0
11,11,10,0,0.2432,0,0
12,12,10,0,0.2331,0,0
13,13,10,0,0.2372,0,0
14,14,10,0,0.2511,0,0
15,15,10,0,0.2557,0,0
16,16,10,0,0.273,0,0
17,17,10,0,0.2768,0,0
18,18,10,0,0.2826,0,0
19,19,10,0,0.2927,0,0
20,20,10,0,0.3005,0,0
21,21,10,0,0.3191,0,0
22,22,10,0,0.3243,0,0
23,23,10,0,0.3271,0,0
24,24,10,0,0.346,0,0
25,25,10,0,0.3436,0,0
26,26,10,0,0.3577,0,0
27,27,10,0,0.3631,0,0
28,28,10,0,0.3708,0,0
29,29,10,0,0.3776,0,0
30,30,10,0,0.3817,0,0
31,31,10,0,0.3863,0,0
32,32,10,0,0.3938,0,0
33,33,10,0,0.3977,0,0
34,34,10,0,0.4046,0,0
35,35,10,0,0.4049,0,0
36,36,10,0,0.4127,0,0
37,37,10,0,0.4178,0,0
38,38,10,0,0.421,0,0
39,39,10,0,0.4278,0,0
40,40,10,0,0.4304,0,0
41,41,10,0,0.4326,0,0
42,42,10,0,0.4394,0,0
43,43,10,0,0.4403,0,0
44,44,10,0,0.4421,0,0
45,45,10,0,0.446,0,0
46,46,10,0,0.4486,0,0
47,47,10,0,0.4528,0,0
48,48,10,0,0.4543,0,0
49,49,10,0,0.4586,0,0
