round, train_acc, test_acc, f1, time_stamp
0, 0, 0.1135, 0, 1467.304147720337
1, 0, 0.1001, 0, 2915.0975048542023
2, 0, 0.1614, 0, 4362.7548286914825
3, 0, 0.1633, 0, 5809.359314918518
4, 0, 0.1807, 0, 7255.3144273757935
5, 0, 0.1988, 0, 8704.571714639664
6, 0, 0.215, 0, 10145.355936050415
7, 0, 0.1896, 0, 11608.421052455902
8, 0, 0.2215, 0, 13083.02942442894
9, 0, 0.229, 0, 14554.805487155914
10, 0, 0.2325, 0, 16012.620882034302
11, 0, 0.2376, 0, 17468.639999866486
12, 0, 0.2389, 0, 18929.67131948471
13, 0, 0.2447, 0, 20388.17181968689
14, 0, 0.2417, 0, 21849.840435028076
15, 0, 0.2488, 0, 23306.893793344498
16, 0, 0.245, 0, 24760.443934440613
17, 0, 0.2594, 0, 26202.930643081665
18, 0, 0.259, 0, 27647.38692855835
19, 0, 0.2618, 0, 29106.137238502502
20, 0, 0.2834, 0, 30504.949624061584
21, 0, 0.283, 0, 31907.233055353165
22, 0, 0.2977, 0, 33339.1051800251
23, 0, 0.3098, 0, 34775.56412148476
